"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw"
1,"1.in",1,"1.Other",62003,"03:39.0",0.81,0.564,0.176,-0.404,"in","Other","water","surface","in"
1,"1.in",1,"1.Other",62004,"03:39.0",0.81,-1.216,-0.588,-0.028,"in","Other","water","surface",""
1,"1.in",1,"1.Other",62005,"03:39.0",0.78,-0.868,-0.492,-0.18,"in","Other","water","surface",""
1,"1.in",1,"1.Other",62006,"03:39.1",0.78,-1.328,-0.668,-0.34,"in","Other","water","surface",""
1,"1.in",1,"1.Other",62007,"03:39.1",0.81,-1.204,0.044,0.148,"in","Other","water","surface",""
1,"1.in",1,"1.Other",62008,"03:39.2",0.84,-1.452,0.468,0.78,"in","Other","water","surface",""
1,"1.in",1,"1.Other",62009,"03:39.2",0.84,-0.964,-0.048,1.028,"in","Other","water","surface",""
1,"1.in",1,"1.Other",62010,"03:39.2",0.96,-1.464,0.436,0.948,"in","Other","water","surface",""
1,"1.in",1,"1.Other",62011,"03:39.3",1.06,-0.864,0.356,1.312,"in","Other","water","surface",""
1,"1.in",1,"1.Other",62012,"03:39.3",1.15,-0.576,0.424,1.56,"in","Other","water","surface",""
1,"1.in",1,"1.Other",62013,"03:39.4",1.25,-0.58,0.244,1.616,"in","Other","water","surface",""
1,"1.in",1,"1.Other",62014,"03:39.4",1.37,-0.016,-0.144,1.932,"in","Other","water","surface",""
1,"1.in",1,"1.Other",62015,"03:39.4",1.34,0.288,-0.028,1.964,"in","Other","water","surface",""
1,"1.in",1,"1.Other",62016,"03:39.5",1.25,-0.132,0.26,1.584,"in","Other","water","surface",""
1,"1.in",1,"1.Other",62017,"03:39.5",1.18,-0.116,0.088,1.328,"in","Other","water","surface",""
1,"1.in",1,"1.Other",62018,"03:39.6",1.18,-0.076,-0.252,1.012,"in","Other","water","surface",""
1,"1.in",1,"1.Other",62019,"03:39.6",1.21,-0.128,-0.06,1.06,"in","Other","water","surface",""
1,"1.in",1,"1.Other",62020,"03:39.6",1.18,-0.088,-0.012,1.024,"in","Other","water","surface",""
1,"1.slow",2,"2.Travelling",62021,"03:39.7",1.18,-0.236,-0.08,1,"slow","Travelling","water","surface","slow"
1,"1.slow",2,"2.Travelling",62022,"03:39.7",1.15,-0.184,-0.204,1.044,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62023,"03:39.8",1.18,-0.144,-0.184,0.916,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62024,"03:39.8",1.18,-0.056,-0.06,1.152,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62025,"03:39.8",1.15,-0.044,0.12,1.068,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62026,"03:39.9",1.12,0.088,0.128,1.012,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62027,"03:39.9",1.12,0.04,-0.092,0.9,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62028,"03:40.0",1.12,0.012,-0.02,0.94,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62029,"03:40.0",1.06,0,0.028,0.892,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62030,"03:40.0",1.09,0.008,-0.028,0.916,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62031,"03:40.1",1.06,0.032,-0.012,0.864,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62032,"03:40.1",1.06,0.02,-0.024,0.892,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62033,"03:40.2",1.03,0.02,-0.072,0.872,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62034,"03:40.2",1.03,0.004,0.008,0.964,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62035,"03:40.2",1,-0.004,0.032,0.996,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62036,"03:40.3",1,-0.004,-0.032,0.96,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62037,"03:40.3",1,-0.144,-0.016,0.864,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62038,"03:40.4",1,-0.148,0.04,0.836,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62039,"03:40.4",1,-0.2,0.064,0.8,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62040,"03:40.4",1,-0.14,0.064,0.808,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62041,"03:40.5",1,-0.172,0.008,0.796,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62042,"03:40.5",1,-0.116,0.008,0.884,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62043,"03:40.6",1,-0.104,0.072,0.98,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",62044,"03:40.6",1,-0.172,0.032,0.944,"slow","Travelling","water","surface",""
1,"1.manipulation",3,"3.Foraging",62045,"03:40.6",1,-0.18,0.244,1.052,"manipulation","Foraging","water","surface","manipulation"
