"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw"
1,"1.slow",1,"1.Travelling",35157,"33:19.8",3.56,0.62,0.996,0.444,"slow","Travelling","water","underwater","slow"
1,"1.slow",1,"1.Travelling",35158,"33:19.8",3.53,0.448,0.92,0.416,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35159,"33:19.9",3.56,0.328,0.984,0.368,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35160,"33:19.9",3.53,0.076,1.036,0.24,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35161,"33:20.0",3.46,0.004,1,0.132,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35162,"33:20.0",3.5,0.136,1.08,0.144,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35163,"33:20.0",3.46,0.18,1.052,0.376,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35164,"33:20.1",3.5,0.244,0.988,0.424,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35165,"33:20.1",3.5,0.224,0.836,0.488,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35166,"33:20.2",3.53,0.268,0.768,0.572,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35167,"33:20.2",3.56,0.14,0.824,0.556,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35168,"33:20.2",3.53,0.144,0.84,0.66,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35169,"33:20.3",3.46,0.096,0.868,0.564,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35170,"33:20.3",3.4,-0.124,0.884,0.544,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35171,"33:20.4",3.31,-0.048,0.832,0.616,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35172,"33:20.4",3.37,0.092,0.656,0.624,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35173,"33:20.4",3.31,0.16,0.624,0.696,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35174,"33:20.5",3.34,-0.004,0.652,0.656,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35175,"33:20.5",3.31,0.112,0.624,0.728,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35176,"33:20.6",3.28,0.044,0.616,0.468,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35177,"33:20.6",3.31,0.2,0.672,0.78,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35178,"33:20.6",3.28,0.26,0.576,0.792,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35179,"33:20.7",3.31,0.096,0.54,0.656,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35180,"33:20.7",3.28,0.128,0.504,0.716,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35181,"33:20.8",3.31,0.348,0.54,0.772,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35182,"33:20.8",3.31,0.296,0.624,0.8,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35183,"33:20.8",3.28,0.26,0.668,0.848,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35184,"33:20.9",3.31,0.192,0.812,0.796,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35185,"33:20.9",3.25,0.288,0.712,0.688,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35186,"33:21.0",3.25,0.288,0.74,0.812,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35187,"33:21.0",3.21,0.432,0.844,0.868,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35188,"33:21.0",3.25,0.492,0.608,0.668,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35189,"33:21.1",3.25,0.488,0.684,0.656,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35190,"33:21.1",3.28,0.548,0.552,0.5,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35191,"33:21.2",3.21,0.488,0.492,0.524,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35192,"33:21.2",3.18,0.46,0.812,0.748,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35193,"33:21.2",3.18,0.592,0.672,0.584,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35194,"33:21.3",3.25,0.472,0.632,0.552,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35195,"33:21.3",3.25,0.396,0.608,0.56,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35196,"33:21.4",3.21,0.396,0.788,0.592,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35197,"33:21.4",3.21,0.364,0.8,0.64,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35198,"33:21.4",3.21,0.484,0.968,0.908,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35199,"33:21.5",3.21,0.688,0.752,0.856,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35200,"33:21.5",3.15,0.752,0.784,0.968,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35201,"33:21.6",3.15,0.72,0.896,0.828,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35202,"33:21.6",3.09,0.692,0.988,0.572,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35203,"33:21.6",2.93,0.704,1.076,0.728,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35204,"33:21.7",2.96,0.628,1.052,0.616,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35205,"33:21.7",2.96,0.396,0.644,0.604,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35206,"33:21.8",2.93,0.356,0.58,0.796,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35207,"33:21.8",2.93,0.472,0.48,0.652,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35208,"33:21.8",2.78,0.62,0.248,0.748,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35209,"33:21.9",2.81,0.616,0.072,0.64,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35210,"33:21.9",2.71,0.38,0.2,0.832,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35211,"33:22.0",2.65,0.508,-0.052,0.808,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35212,"33:22.0",2.65,0.744,-0.46,0.96,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35213,"33:22.0",2.65,0.712,-0.408,0.808,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35214,"33:22.1",2.71,0.656,-0.36,0.996,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35215,"33:22.1",2.65,1.088,-0.308,1.096,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35216,"33:22.2",2.62,1.176,-0.508,1.204,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35217,"33:22.2",2.53,1.344,-0.536,1.068,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35218,"33:22.2",2.4,1.756,-0.568,0.92,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35219,"33:22.3",2.31,1.68,-0.512,0.824,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35220,"33:22.3",2.21,1.384,-0.412,0.676,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35221,"33:22.4",2.15,0.936,-0.4,0.812,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35222,"33:22.4",2,1.084,-0.292,0.528,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35223,"33:22.4",1.9,1.088,-0.404,0.332,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35224,"33:22.5",1.87,1.016,-0.472,0.02,"slow","Travelling","water","underwater",""
1,"1.slow",1,"1.Travelling",35225,"33:22.5",1.68,1.004,-0.4,0.156,"slow","Travelling","water","surface",""
1,"1.slow",1,"1.Travelling",35226,"33:22.6",1.34,0.992,-0.496,0.308,"slow","Travelling","water","surface",""
1,"1.slow",1,"1.Travelling",35227,"33:22.6",1.31,0.88,-0.172,0.232,"slow","Travelling","water","surface",""
1,"1.slow",1,"1.Travelling",35228,"33:22.6",1.18,0.944,-0.164,0.28,"slow","Travelling","water","surface",""
1,"1.slow",1,"1.Travelling",35229,"33:22.7",1,0.82,-0.276,0.132,"slow","Travelling","water","surface",""
1,"1.slow",1,"1.Travelling",35230,"33:22.7",1,0.94,-0.292,0.148,"slow","Travelling","water","surface",""
1,"1.slow",1,"1.Travelling",35231,"33:22.8",0.84,0.876,-0.016,0.216,"slow","Travelling","water","surface",""
1,"1.slow",1,"1.Travelling",35232,"33:22.8",1.21,1.56,0.188,-1.536,"slow","Travelling","water","surface",""
1,"1.slow",1,"1.Travelling",35233,"33:22.8",1.03,1.204,0.132,-0.656,"slow","Travelling","water","surface",""
1,"1.slow",1,"1.Travelling",35234,"33:22.9",0.96,1.084,-0.188,-0.292,"slow","Travelling","water","surface",""
1,"1.slow",1,"1.Travelling",35235,"33:22.9",0.9,0.448,0.08,-0.396,"slow","Travelling","water","surface",""
1,"1.slow",1,"1.Travelling",35236,"33:23.0",0.9,0.436,0.048,-0.188,"slow","Travelling","water","surface",""
1,"1.slow",1,"1.Travelling",35237,"33:23.0",0.9,0.2,0.136,-0.216,"slow","Travelling","water","surface",""
1,"1.slow",1,"1.Travelling",35238,"33:23.0",0.87,0.052,0.128,-0.156,"slow","Travelling","water","surface",""
