"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw"
1,"1.still",1,"1.Resting",44226,"31:14.7",0.62,0.84,0.676,0.528,"still","Resting","water","surface","still"
1,"1.still",1,"1.Resting",44227,"31:14.8",0.62,0.352,0.58,0.344,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44228,"31:14.8",0.62,0.312,-0.028,0.32,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44229,"31:14.8",0.62,0.368,0.112,0.58,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44230,"31:14.9",0.62,0.548,-0.476,0.828,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44231,"31:14.9",0.62,0.352,-0.792,0.296,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44232,"31:15.0",0.62,0.66,-0.764,0.372,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44233,"31:15.0",0.62,0.808,-0.608,0.324,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44234,"31:15.0",0.62,0.724,-0.328,0.436,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44235,"31:15.1",0.62,0.768,0.06,0.436,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44236,"31:15.1",0.62,0.72,0.1,0.564,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44237,"31:15.2",0.62,0.68,0.204,0.416,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44238,"31:15.2",0.62,0.72,0.16,0.344,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44239,"31:15.2",0.62,0.676,0.08,0.296,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44240,"31:15.3",0.62,0.724,-0.048,0.288,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44241,"31:15.3",0.62,0.868,-0.092,0.328,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44242,"31:15.4",0.62,0.988,-0.12,0.392,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44243,"31:15.4",0.62,1.004,-0.096,0.364,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44244,"31:15.4",0.62,0.988,-0.072,0.348,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44245,"31:15.5",0.62,1.028,-0.072,0.348,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44246,"31:15.5",0.62,1.032,-0.068,0.344,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44247,"31:15.6",0.62,1.028,-0.04,0.364,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44248,"31:15.6",0.62,1.02,-0.072,0.316,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44249,"31:15.6",0.62,1.056,-0.084,0.32,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44250,"31:15.7",0.62,1.04,-0.084,0.324,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44251,"31:15.7",0.62,1.016,-0.1,0.3,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44252,"31:15.8",0.62,1.008,-0.088,0.292,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44253,"31:15.8",0.62,1.056,-0.104,0.272,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44254,"31:15.8",0.62,1.064,-0.128,0.272,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44255,"31:15.9",0.65,1.036,-0.156,0.268,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44256,"31:15.9",0.68,1.016,-0.136,0.296,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44257,"31:16.0",0.68,1.004,-0.152,0.248,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44258,"31:16.0",0.71,1.012,-0.116,0.284,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44259,"31:16.0",0.71,1.016,-0.1,0.312,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44260,"31:16.1",0.75,1.02,-0.1,0.344,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44261,"31:16.1",0.75,1.028,-0.116,0.368,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44262,"31:16.2",0.78,1.02,-0.148,0.38,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44263,"31:16.2",0.78,1,-0.164,0.4,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44264,"31:16.2",0.78,0.972,-0.184,0.408,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44265,"31:16.3",0.81,0.952,-0.192,0.396,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44266,"31:16.3",0.81,0.928,-0.192,0.424,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44267,"31:16.4",0.81,0.916,-0.208,0.436,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44268,"31:16.4",0.81,0.916,-0.208,0.456,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44269,"31:16.4",0.81,0.892,-0.212,0.456,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44270,"31:16.5",0.81,0.888,-0.18,0.456,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44271,"31:16.5",0.81,0.888,-0.164,0.472,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44272,"31:16.6",0.84,0.876,-0.148,0.46,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44273,"31:16.6",0.81,0.88,-0.144,0.464,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44274,"31:16.6",0.84,0.852,-0.148,0.508,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44275,"31:16.7",0.84,0.864,-0.18,0.504,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44276,"31:16.7",0.84,0.824,-0.2,0.532,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44277,"31:16.8",0.84,0.828,-0.208,0.536,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44278,"31:16.8",0.84,0.824,-0.204,0.536,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44279,"31:16.8",0.84,0.808,-0.212,0.508,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44280,"31:16.9",0.84,0.8,-0.216,0.5,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44281,"31:16.9",0.84,0.804,-0.212,0.508,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44282,"31:17.0",0.84,0.808,-0.196,0.516,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44283,"31:17.0",0.84,0.8,-0.204,0.508,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",44284,"31:17.0",0.84,0.776,-0.22,0.528,"still","Resting","water","surface",""
