"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw"
1,"1.moving",1,"1.Travelling",52221,"27:09.0",1.43,0.408,-0.284,-0.104,"moving","Travelling","land","land","moving"
1,"1.moving",1,"1.Travelling",52222,"27:09.1",1.43,0.52,0.26,0.288,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52223,"27:09.1",1.43,0.788,0.628,0.288,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52224,"27:09.2",1.43,1.224,0.76,0.476,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52225,"27:09.2",1.43,1.164,0.68,0.572,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52226,"27:09.2",1.43,0.972,0.664,0.44,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52227,"27:09.3",1.43,0.84,0.4,0.332,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52228,"27:09.3",1.43,0.632,0.212,0.26,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52229,"27:09.4",1.43,0.4,0.296,0.912,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52230,"27:09.4",1.43,0.492,0.384,0.996,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52231,"27:09.4",1.43,0.248,-0.344,0.776,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52232,"27:09.5",1.43,0.128,-0.352,0.76,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52233,"27:09.5",1.43,0.08,-0.444,0.928,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52234,"27:09.6",1.43,0.4,-0.408,1.04,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52235,"27:09.6",1.43,0.524,-0.16,1.216,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52236,"27:09.6",1.46,0.532,-0.676,1.112,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52237,"27:09.7",1.43,0.584,-0.808,0.916,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52238,"27:09.7",1.43,0.456,-0.672,0.492,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52239,"27:09.8",1.43,0.224,-0.468,0.192,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52240,"27:09.8",1.43,0.12,0.036,0.424,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52241,"27:09.8",1.43,0.496,0.872,0.688,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52242,"27:09.9",1.43,1.036,1.228,0.792,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52243,"27:09.9",1.43,0.888,0.756,0.788,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52244,"27:10.0",1.46,0.784,0.712,0.688,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52245,"27:10.0",1.43,0.712,0.496,0.428,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52246,"27:10.0",1.43,0.692,0.356,0.512,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52247,"27:10.1",1.43,0.692,0.264,0.992,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52248,"27:10.1",1.43,0.852,-0.348,0.92,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52249,"27:10.2",1.43,0.548,-0.692,0.776,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52250,"27:10.2",1.43,0.456,-0.7,0.7,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52251,"27:10.2",1.43,0.396,-0.608,0.756,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52252,"27:10.3",1.43,0.484,-0.612,0.684,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52253,"27:10.3",1.43,0.732,-0.408,0.752,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52254,"27:10.4",1.43,0.796,-0.348,0.768,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52255,"27:10.4",1.43,0.8,-0.28,0.708,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52256,"27:10.4",1.43,0.748,-0.196,0.488,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52257,"27:10.5",1.46,0.816,-0.032,0.42,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52258,"27:10.5",1.43,0.836,-0.02,0.416,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52259,"27:10.6",1.43,0.852,-0.18,0.7,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52260,"27:10.6",1.43,0.928,0.272,0.848,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52261,"27:10.6",1.43,0.668,0.352,0.556,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52262,"27:10.7",1.43,0.576,0.376,0.788,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52263,"27:10.7",1.43,0.376,0.544,0.792,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52264,"27:10.8",1.43,0.4,0.56,0.772,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52265,"27:10.8",1.43,0.504,0.636,0.776,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52266,"27:10.8",1.43,0.58,0.544,0.772,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52267,"27:10.9",1.43,0.66,0.452,0.752,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52268,"27:10.9",1.43,0.592,0.416,0.68,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52269,"27:11.0",1.43,0.568,0.336,0.608,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52270,"27:11.0",1.43,0.62,0.276,0.568,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52271,"27:11.0",1.43,0.624,0.188,0.424,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52272,"27:11.1",1.46,0.62,0.316,0.512,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52273,"27:11.1",1.46,0.704,0.144,0.424,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52274,"27:11.2",1.46,0.748,0.244,0.608,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52275,"27:11.2",1.43,0.936,0.1,0.944,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52276,"27:11.2",1.43,0.832,-0.416,0.52,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52277,"27:11.3",1.43,0.804,-0.232,0.616,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52278,"27:11.3",1.43,0.824,-0.272,0.668,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52279,"27:11.4",1.43,0.636,-0.5,0.744,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52280,"27:11.4",1.43,0.644,-0.636,0.62,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52281,"27:11.4",1.43,0.656,-0.488,0.724,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52282,"27:11.5",1.43,0.652,-0.348,0.692,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52283,"27:11.5",1.43,0.644,-0.436,0.616,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52284,"27:11.6",1.46,0.664,-0.308,0.48,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52285,"27:11.6",1.43,0.744,-0.34,0.736,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52286,"27:11.6",1.46,0.872,0.096,0.68,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52287,"27:11.7",1.43,0.796,0.248,0.74,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52288,"27:11.7",1.43,0.572,0.192,0.788,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52289,"27:11.8",1.43,0.34,0.436,0.7,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52290,"27:11.8",1.43,0.292,0.464,0.668,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52291,"27:11.8",1.46,0.36,0.388,0.824,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52292,"27:11.9",1.43,0.216,0.256,0.82,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52293,"27:11.9",1.46,0.204,0.292,0.772,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52294,"27:12.0",1.43,0.268,0.4,0.804,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52295,"27:12.0",1.46,0.344,0.472,0.688,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52296,"27:12.0",1.43,0.48,0.464,0.656,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52297,"27:12.1",1.43,0.56,0.532,0.512,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52298,"27:12.1",1.43,0.752,0.58,0.416,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52299,"27:12.2",1.43,1.044,0.228,0.66,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52300,"27:12.2",1.43,0.976,-0.204,0.46,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52301,"27:12.2",1.43,0.848,-0.356,0.616,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52302,"27:12.3",1.43,0.896,-0.448,0.66,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52303,"27:12.3",1.46,0.976,-0.624,0.476,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52304,"27:12.4",1.43,0.92,-0.68,0.54,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52305,"27:12.4",1.43,0.796,-0.48,0.564,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52306,"27:12.4",1.46,0.836,-0.348,0.44,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52307,"27:12.5",1.43,0.832,-0.376,0.356,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52308,"27:12.5",1.43,0.804,-0.324,0.144,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52309,"27:12.6",1.43,0.86,-0.332,0.292,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52310,"27:12.6",1.43,0.932,-0.256,0.352,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52311,"27:12.6",1.43,0.984,-0.264,0.248,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52312,"27:12.7",1.43,1.04,-0.272,0.28,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52313,"27:12.7",1.43,0.896,-0.404,0.492,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52314,"27:12.8",1.43,0.772,-0.72,0.3,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52315,"27:12.8",1.43,0.416,0.02,0.372,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52316,"27:12.8",1.43,0.332,0.98,0.552,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52317,"27:12.9",1.43,0.908,1.048,0.66,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52318,"27:12.9",1.43,0.996,0.556,0.352,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52319,"27:13.0",1.43,1.168,0.124,0.468,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52320,"27:13.0",1.43,1.048,-0.216,0.2,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52321,"27:13.0",1.43,0.656,-0.068,0.04,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52322,"27:13.1",1.46,0.368,0.308,0.432,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52323,"27:13.1",1.46,-0.26,1.156,0.88,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52324,"27:13.2",1.43,-0.04,0.628,0.304,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52325,"27:13.2",1.43,-0.148,-0.52,1.004,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52326,"27:13.2",1.43,0.464,-0.528,1.368,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",52327,"27:13.3",1.43,0.7,-0.448,1.584,"moving","Travelling","land","land",""
1,"1.in",2,"2.Other",52328,"27:13.3",1.43,0.272,-0.4,1.156,"in","Other","water","surface","in"
1,"1.in",2,"2.Other",52329,"27:13.4",1.43,0.56,0.208,1.028,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52330,"27:13.4",1.43,0.788,0.384,-0.292,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52331,"27:13.4",1.43,1.116,-0.648,0.364,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52332,"27:13.5",1.46,1.396,-0.124,0.592,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52333,"27:13.5",1.43,0.9,0.932,-1.356,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52334,"27:13.6",1.4,0.144,0.464,-0.812,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52335,"27:13.6",1.43,-1.096,1.144,0.488,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52336,"27:13.6",1.43,-1.64,0.512,0.372,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52337,"27:13.7",1.43,-1.392,-0.12,-0.124,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52338,"27:13.7",1.43,-0.048,-1.236,0.872,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52339,"27:13.8",1.43,0.664,-0.612,0.752,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52340,"27:13.8",1.43,0.628,0.368,0.22,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52341,"27:13.8",1.43,0.484,0.084,1.112,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52342,"27:13.9",1.43,-0.036,-0.064,0.036,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52343,"27:13.9",1.43,-0.952,-0.38,0.048,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52344,"27:14.0",1.4,-0.64,-0.152,-0.308,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52345,"27:14.0",1.21,-0.676,-0.804,0.076,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52346,"27:14.0",1.21,-0.1,0.208,1.772,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52347,"27:14.1",1.12,-2.488,-0.116,0.376,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52348,"27:14.1",1.09,-1.192,-0.308,-1.38,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52349,"27:14.2",1.12,-0.296,-0.928,1.296,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52350,"27:14.2",1.21,0.148,-0.492,2.152,"in","Other","water","surface",""
1,"1.in",2,"2.Other",52351,"27:14.2",1.28,-0.692,-0.176,1.092,"in","Other","water","surface",""
1,"1.swimming",3,"3.Travelling",52352,"27:14.3",1.34,0.1,-0.444,1.504,"swimming","Travelling","water","surface","swimming"
1,"1.swimming",3,"3.Travelling",52353,"27:14.3",1.46,0.352,-0.488,1.644,"swimming","Travelling","water","surface",""
1,"1.swimming",3,"3.Travelling",52354,"27:14.4",1.31,0.54,-0.296,1.608,"swimming","Travelling","water","surface",""
1,"1.swimming",3,"3.Travelling",52355,"27:14.4",1.34,0.656,-0.34,1.644,"swimming","Travelling","water","surface",""
