"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw"
1,"1.sitting",1,"1.Resting",45021,"37:28.3",1.31,0.056,0.62,0.684,"sitting","Resting","land","land","sitting"
1,"1.sitting",1,"1.Resting",45022,"37:28.4",1.31,0.092,0.52,0.728,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",45023,"37:28.4",1.28,-0.024,0.492,0.66,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",45024,"37:28.4",1.31,-0.292,0.524,0.564,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",45025,"37:28.5",1.31,-0.56,0.532,0.688,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",45026,"37:28.5",1.31,-0.696,0.588,0.612,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",45027,"37:28.6",1.31,-0.828,0.648,0.604,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",45028,"37:28.6",1.28,-0.756,0.604,0.656,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",45029,"37:28.6",1.31,-0.74,0.524,0.66,"sitting","Resting","land","land",""
1,"1.other",2,"2.Other",45030,"37:28.7",1.31,-0.736,0.492,0.612,"other","Other","land","land","other"
1,"1.other",2,"2.Other",45031,"37:28.7",1.31,-0.768,0.492,0.728,"other","Other","land","land",""
1,"1.other",2,"2.Other",45032,"37:28.8",1.31,-0.816,0.532,0.736,"other","Other","land","land",""
1,"1.other",2,"2.Other",45033,"37:28.8",1.31,-0.792,0.528,0.836,"other","Other","land","land",""
1,"1.other",2,"2.Other",45034,"37:28.8",1.31,-0.508,0.628,0.728,"other","Other","land","land",""
1,"1.other",2,"2.Other",45035,"37:28.9",1.28,-0.116,0.528,0.716,"other","Other","land","land",""
1,"1.other",2,"2.Other",45036,"37:28.9",1.31,0.344,0.476,0.644,"other","Other","land","land",""
1,"1.other",2,"2.Other",45037,"37:29.0",1.31,0.548,0.536,0.628,"other","Other","land","land",""
1,"1.other",2,"2.Other",45038,"37:29.0",1.28,1.088,0.452,0.504,"other","Other","land","land",""
1,"1.other",2,"2.Other",45039,"37:29.0",1.31,0.428,0.808,0.42,"other","Other","land","land",""
1,"1.other",2,"2.Other",45040,"37:29.1",1.31,0.368,0.896,0.052,"other","Other","land","land",""
1,"1.other",2,"2.Other",45041,"37:29.1",1.31,0.352,1.228,0.4,"other","Other","land","land",""
1,"1.other",2,"2.Other",45042,"37:29.2",1.31,0.256,0.836,0.36,"other","Other","land","land",""
1,"1.other",2,"2.Other",45043,"37:29.2",1.31,0.204,0.852,0.532,"other","Other","land","land",""
1,"1.other",2,"2.Other",45044,"37:29.2",1.28,0.352,1.02,0.748,"other","Other","land","land",""
1,"1.other",2,"2.Other",45045,"37:29.3",1.31,0.7,0.276,0.924,"other","Other","land","land",""
1,"1.other",2,"2.Other",45046,"37:29.3",1.31,0.088,0.444,0.392,"other","Other","land","land",""
1,"1.other",2,"2.Other",45047,"37:29.4",1.31,0.064,0.26,0.876,"other","Other","land","land",""
1,"1.other",2,"2.Other",45048,"37:29.4",1.31,0.116,0.02,0.72,"other","Other","land","land",""
1,"1.other",2,"2.Other",45049,"37:29.4",1.31,0.052,0.6,1.112,"other","Other","land","land",""
1,"1.other",2,"2.Other",45050,"37:29.5",1.31,0.4,0.564,0.788,"other","Other","land","land",""
1,"1.other",2,"2.Other",45051,"37:29.5",1.31,0.18,0.6,0.472,"other","Other","land","land",""
