"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw"
1,"1.moving",1,"1.Travelling",8081,"31:05.8",0.4,0.34,-0.052,1.048,"moving","Travelling","land","land","moving"
1,"1.moving",1,"1.Travelling",8082,"31:05.9",0.4,-0.104,0.208,0.896,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",8083,"31:05.9",0.37,-0.388,0.832,0.404,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",8084,"31:06.0",0.37,-0.016,0.208,-0.232,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",8085,"31:06.0",0.37,0.612,-0.004,-0.284,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",8086,"31:06.0",0.37,1.24,-0.828,-0.108,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",8087,"31:06.1",0.37,1.176,-2.4,-0.592,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",8088,"31:06.1",0.37,0.964,-1.748,-0.372,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",8089,"31:06.2",0.37,0.04,-0.616,-0.072,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",8090,"31:06.2",0.37,-0.536,-0.112,1.024,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",8091,"31:06.2",0.4,-0.32,-0.392,1.704,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",8092,"31:06.3",0.37,0.328,-0.868,1.444,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",8093,"31:06.3",0.37,0.732,0.304,1.1,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",8094,"31:06.4",0.37,0.284,0.832,0.888,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",8095,"31:06.4",0.37,0.232,0.756,0.208,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",8096,"31:06.4",0.37,0.48,0.332,-0.132,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",8097,"31:06.5",0.37,1.26,-0.22,-0.228,"moving","Travelling","land","land",""
