"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw"
1,"1.still",1,"1.Resting",45907,"52:55.1",1.15,0.916,0.176,0.424,"still","Resting","water","surface","still"
1,"1.still",1,"1.Resting",45908,"52:55.2",1.15,0.912,0.148,0.408,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45909,"52:55.2",1.15,0.884,0.152,0.404,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45910,"52:55.2",1.15,0.88,0.152,0.4,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45911,"52:55.3",1.15,0.892,0.128,0.304,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45912,"52:55.3",1.15,0.852,0.12,0.356,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45913,"52:55.4",1.15,0.82,0.152,0.424,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45914,"52:55.4",1.18,0.788,0.152,0.448,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45915,"52:55.4",1.18,0.804,0.116,0.436,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45916,"52:55.5",1.18,0.8,0.08,0.476,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45917,"52:55.5",1.18,0.848,0.096,0.528,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45918,"52:55.6",1.18,0.876,0.076,0.528,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45919,"52:55.6",1.18,0.908,0.048,0.508,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45920,"52:55.6",1.18,0.936,0.028,0.484,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45921,"52:55.7",1.18,0.992,0.072,0.508,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45922,"52:55.7",1.18,0.98,0.092,0.484,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45923,"52:55.8",1.18,0.976,0.116,0.472,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45924,"52:55.8",1.15,0.952,0.128,0.4,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45925,"52:55.8",1.15,0.936,0.108,0.38,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45926,"52:55.9",1.15,0.916,0.064,0.376,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45927,"52:55.9",1.15,0.888,0.02,0.396,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45928,"52:56.0",1.15,0.86,-0.012,0.436,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45929,"52:56.0",1.15,0.864,-0.044,0.464,"still","Resting","water","surface",""
1,"1.still",1,"1.Resting",45930,"52:56.0",1.12,0.872,-0.068,0.432,"still","Resting","water","surface",""
