"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw"
1,"1.moving",1,"1.Travelling",7922,"18:35.6",0.56,0.74,-0.028,0.628,"moving","Travelling","land","land","moving"
1,"1.moving",1,"1.Travelling",7923,"18:35.7",0.56,0.812,-0.064,0.564,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7924,"18:35.7",0.53,0.764,-0.036,0.616,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7925,"18:35.8",0.56,0.744,-0.012,0.692,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7926,"18:35.8",0.56,0.712,-0.144,0.732,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7927,"18:35.9",0.56,0.68,0.012,1.028,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7928,"18:35.9",0.56,0.428,-0.552,1.008,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7929,"18:36.0",0.53,-0.128,0.172,0.912,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7930,"18:36.0",0.53,0.792,0.352,1.236,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7931,"18:36.1",0.56,-0.052,0.544,1.036,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7932,"18:36.1",0.56,0.02,0.648,0.244,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7933,"18:36.2",0.53,0.464,0.328,-0.296,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7934,"18:36.3",0.53,0.928,0.42,-0.284,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7935,"18:36.3",0.53,0.92,-0.472,0.284,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7936,"18:36.3",0.53,1.2,-0.256,0.38,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7937,"18:36.4",0.53,0.544,-0.176,0.912,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7938,"18:36.4",0.53,-0.612,0.512,0.944,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7939,"18:36.5",0.53,-0.048,-0.62,1.78,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7940,"18:36.5",0.53,0.616,0.456,1.588,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7941,"18:36.6",0.53,-0.212,0.892,1.32,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7942,"18:36.6",0.53,0.32,0.688,0.456,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7943,"18:36.7",0.53,0.496,0.476,-0.456,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7944,"18:36.7",0.56,0.828,0.364,-0.44,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7945,"18:36.8",0.53,0.668,0.312,0.212,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7946,"18:36.8",0.53,-0.872,-0.78,0.7,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7947,"18:36.9",0.56,-1.34,0.924,1.336,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7948,"18:37.0",0.53,-0.2,1.064,1.752,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7949,"18:37.0",0.53,0.484,0.516,0.916,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7950,"18:37.0",0.53,0.112,0.612,1.056,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7951,"18:37.1",0.53,-0.06,0.792,-0.34,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7952,"18:37.1",0.53,0.8,0.608,-0.204,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7953,"18:37.2",0.53,0.956,0.004,-0.38,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7954,"18:37.2",0.53,1.664,-1.788,2.864,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7955,"18:37.3",0.53,-1.276,0.328,2.444,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7956,"18:37.3",0.53,1.576,-0.036,3.036,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7957,"18:37.4",0.53,0.784,0.232,0.972,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7958,"18:37.4",0.53,0.592,0.12,0.996,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7959,"18:37.5",0.53,-0.316,0.34,-0.148,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7960,"18:37.5",0.53,0.712,0.048,0.132,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7961,"18:37.6",0.53,1.76,0.124,-0.352,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7962,"18:37.6",0.53,-0.128,-0.412,-1.44,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7963,"18:37.7",0.56,-0.376,0.248,0.836,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7964,"18:37.7",0.53,0.084,-0.308,-0.032,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7965,"18:37.8",0.53,0.652,0.184,0.72,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7966,"18:37.8",0.53,0.136,0.124,-0.344,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7967,"18:37.9",0.53,0.364,-0.084,-0.38,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",7968,"18:37.9",0.53,1.516,0.996,-1.152,"moving","Travelling","land","land",""
1,"1.in",2,"2.Other",7969,"18:38.0",0.53,-0.592,0.02,-0.308,"in","Other","water","surface","in"
1,"1.in",2,"2.Other",7970,"18:38.0",0.53,-0.304,0.172,-0.236,"in","Other","water","surface",""
1,"1.in",2,"2.Other",7971,"18:38.1",0.53,0.272,0.484,-0.236,"in","Other","water","surface",""
1,"1.in",2,"2.Other",7972,"18:38.1",0.53,-0.324,0.204,0.22,"in","Other","water","surface",""
1,"1.in",2,"2.Other",7973,"18:38.2",0.53,-0.32,0.484,0.392,"in","Other","water","surface",""
1,"1.in",2,"2.Other",7974,"18:38.2",0.56,-0.764,0.38,0.644,"in","Other","water","surface",""
1,"1.in",2,"2.Other",7975,"18:38.3",0.53,-0.608,0.628,0.908,"in","Other","water","surface",""
1,"1.in",2,"2.Other",7976,"18:38.3",0.53,-0.3,0.932,1.076,"in","Other","water","surface",""
1,"1.in",2,"2.Other",7977,"18:38.4",0.59,0.084,0.72,1.008,"in","Other","water","surface",""
1,"1.in",2,"2.Other",7978,"18:38.4",0.62,0.3,0.96,0.996,"in","Other","water","surface",""
1,"1.in",2,"2.Other",7979,"18:38.5",0.65,0.604,0.972,0.896,"in","Other","water","surface",""
1,"1.in",2,"2.Other",7980,"18:38.5",0.65,0.736,0.832,0.624,"in","Other","water","surface",""
1,"1.slow",3,"3.Travelling",7981,"18:38.6",0.68,0.816,0.804,0.584,"slow","Travelling","water","surface","slow"
1,"1.slow",3,"3.Travelling",7982,"18:38.6",0.68,0.82,0.88,0.492,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",7983,"18:38.7",0.71,0.856,0.872,0.356,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",7984,"18:38.7",0.71,0.876,0.568,0.4,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",7985,"18:38.8",0.71,0.984,0.38,0.232,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",7986,"18:38.8",0.68,1.08,0.064,0.252,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",7987,"18:38.9",0.68,1.172,0.148,0.324,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",7988,"18:38.9",0.68,1.184,0.064,0.348,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",7989,"18:39.0",0.65,1.16,-0.096,0.352,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",7990,"18:39.0",0.62,1.276,-0.324,0.344,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",7991,"18:39.1",0.62,1.196,-0.168,0.18,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",7992,"18:39.2",0.59,0.944,0.06,0.12,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",7993,"18:39.2",0.59,0.88,0.224,0.06,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",7994,"18:39.2",0.62,0.796,-0.276,0.276,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",7995,"18:39.3",0.62,0.596,-0.308,0.208,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",7996,"18:39.3",0.59,0.28,-0.216,0.116,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",7997,"18:39.4",0.62,-0.22,-0.348,0.26,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",7998,"18:39.4",0.62,-0.388,-0.02,0.376,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",7999,"18:39.5",0.62,-0.72,0.484,0.456,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",8000,"18:39.5",0.59,-0.308,0.572,0.944,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",8001,"18:39.6",0.62,-0.412,0.968,1.104,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",8002,"18:39.6",0.65,0.028,1.316,1.068,"slow","Travelling","water","surface",""
1,"1.slow",3,"3.Travelling",8003,"18:39.7",0.62,0.544,1.16,1.176,"slow","Travelling","water","surface",""
1,"1.out",4,"4.Other",8004,"18:39.7",0.56,0.92,0.964,1.488,"out","Other","land","land","out"
1,"1.out",4,"4.Other",8005,"18:39.8",0.59,1.772,1.364,1.244,"out","Other","land","land",""
1,"1.out",4,"4.Other",8006,"18:39.9",0.62,1.192,0.184,0.236,"out","Other","land","land",""
1,"1.out",4,"4.Other",8007,"18:39.9",0.62,0.848,0.404,-0.168,"out","Other","land","land",""
1,"1.out",4,"4.Other",8008,"18:39.9",0.62,0.592,0.208,-0.424,"out","Other","land","land",""
1,"1.out",4,"4.Other",8009,"18:40.0",0.62,0.44,-0.228,-0.692,"out","Other","land","land",""
1,"1.out",4,"4.Other",8010,"18:40.0",0.62,0.624,-0.492,-0.304,"out","Other","land","land",""
1,"1.out",4,"4.Other",8011,"18:40.1",0.62,0.304,0.636,0.672,"out","Other","land","land",""
1,"1.out",4,"4.Other",8012,"18:40.1",0.62,-0.516,0.804,0.608,"out","Other","land","land",""
1,"1.out",4,"4.Other",8013,"18:40.2",0.62,-0.972,1.232,0.844,"out","Other","land","land",""
1,"1.out",4,"4.Other",8014,"18:40.2",0.62,-0.34,1.132,1.756,"out","Other","land","land",""
1,"1.out",4,"4.Other",8015,"18:40.3",0.59,0.712,0.124,0.212,"out","Other","land","land",""
2,"2.moving",5,"5.Travelling",8016,"18:40.3",0.59,0.308,0.876,0.88,"moving","Travelling","land","land","moving"
2,"2.moving",5,"5.Travelling",8017,"18:40.4",0.62,0.104,0.292,-0.008,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8018,"18:40.4",0.59,0.28,-0.216,-0.008,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8019,"18:40.5",0.59,0.504,0.24,-0.016,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8020,"18:40.5",0.59,0.632,2.488,-0.396,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8021,"18:40.6",0.59,-0.384,0.74,0.18,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8022,"18:40.6",0.59,-1.788,0.608,0.7,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8023,"18:40.7",0.59,-0.348,0.152,1.772,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8024,"18:40.7",0.59,0.924,-0.576,0.64,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8025,"18:40.8",0.59,0.316,-0.14,0.272,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8026,"18:40.8",0.59,0.404,-0.304,-0.132,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8027,"18:40.9",0.59,0.248,-0.532,-0.288,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8028,"18:40.9",0.59,1.144,-0.276,-1.012,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8029,"18:41.0",0.59,1.372,1.74,-1.432,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8030,"18:41.0",0.59,0.456,-2.62,0.052,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8031,"18:41.1",0.59,-0.46,-0.816,1.676,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8032,"18:41.1",0.59,0.196,-0.092,0.872,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8033,"18:41.2",0.59,0.944,0.6,1.552,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8034,"18:41.2",0.59,0.64,-0.032,0.312,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8035,"18:41.3",0.56,0.744,0.072,-0.516,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8036,"18:41.4",0.56,1.348,0.376,-0.092,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8037,"18:41.4",0.56,1.228,0.644,-1.304,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8038,"18:41.4",0.56,1.06,0.94,-0.896,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8039,"18:41.5",0.59,0.296,-0.052,-0.656,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8040,"18:41.5",0.59,0.588,0.024,0.44,"moving","Travelling","land","land",""
2,"2.moving",5,"5.Travelling",8041,"18:41.6",0.56,0.896,-0.62,0.476,"moving","Travelling","land","land",""
