"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw"
1,"1.moving",1,"1.Travelling",18001,"34:19.3",0.84,0.404,-0.372,0.912,"moving","Travelling","land","land","moving"
1,"1.moving",1,"1.Travelling",18002,"34:19.4",0.84,0.388,-0.22,0.832,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18003,"34:19.4",0.84,0.296,-0.288,0.712,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18004,"34:19.4",0.87,0.228,-0.476,0.756,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18005,"34:19.5",0.87,0.252,-0.576,0.7,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18006,"34:19.5",0.84,0.448,-0.536,0.784,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18007,"34:19.6",0.84,0.68,-0.324,0.676,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18008,"34:19.6",0.84,0.848,0.016,0.852,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18009,"34:19.6",0.84,0.852,0.244,0.816,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18010,"34:19.7",0.87,0.708,0.284,0.812,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18011,"34:19.7",0.87,0.7,0.32,0.708,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18012,"34:19.8",0.87,0.688,0.308,0.656,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18013,"34:19.8",0.84,0.692,0.284,0.616,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18014,"34:19.8",0.87,0.724,0.24,0.6,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18015,"34:19.9",0.84,0.768,0.188,0.576,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18016,"34:19.9",0.84,0.804,0.156,0.572,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18017,"34:20.0",0.84,0.828,0.16,0.552,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18018,"34:20.0",0.87,0.84,0.168,0.516,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18019,"34:20.0",0.84,0.84,0.156,0.524,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18020,"34:20.1",0.84,0.852,0.14,0.524,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18021,"34:20.1",0.84,0.868,0.128,0.524,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18022,"34:20.2",0.84,0.88,0.104,0.52,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18023,"34:20.2",0.84,0.872,0.084,0.504,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18024,"34:20.2",0.84,0.876,0.072,0.512,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18025,"34:20.3",0.84,0.876,0.044,0.508,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18026,"34:20.3",0.84,0.86,0.032,0.5,"moving","Travelling","land","land",""
1,"1.moving",1,"1.Travelling",18027,"34:20.4",0.84,0.856,0.02,0.516,"moving","Travelling","land","land",""
