"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw"
1,"1.lying",1,"1.Resting",26710,"15:03.2",0.71,-0.12,0.1,0.932,"lying","Resting","land","land","lying"
1,"1.lying",1,"1.Resting",26711,"15:03.3",0.71,-0.124,0.092,0.944,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26712,"15:03.3",0.71,-0.164,0.112,0.944,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26713,"15:03.4",0.71,-0.16,0.112,0.964,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26714,"15:03.4",0.71,-0.188,0.064,0.944,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26715,"15:03.4",0.71,-0.18,0.108,0.928,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26716,"15:03.5",0.71,-0.156,0.124,0.924,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26717,"15:03.5",0.71,-0.14,0.1,0.948,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26718,"15:03.6",0.71,-0.108,0.072,0.944,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26719,"15:03.6",0.71,-0.092,0.056,0.944,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26720,"15:03.6",0.71,-0.092,0.052,0.928,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26721,"15:03.7",0.71,-0.056,0.072,0.912,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26722,"15:03.7",0.71,-0.036,0.092,0.924,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26723,"15:03.8",0.71,-0.04,0.132,0.944,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26724,"15:03.8",0.71,-0.052,0.152,0.96,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26725,"15:03.8",0.71,-0.012,0.172,0.976,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26726,"15:03.9",0.71,0.012,0.156,0.976,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26727,"15:03.9",0.71,0.056,0.196,1.024,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26728,"15:04.0",0.71,0.096,0.228,1,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26729,"15:04.0",0.71,0.104,0.248,0.984,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26730,"15:04.0",0.71,0.148,0.232,0.944,"lying","Resting","land","land",""
1,"1.lying",1,"1.Resting",26731,"15:04.1",0.71,0.208,0.224,0.904,"lying","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26732,"15:04.1",0.71,0.296,0.248,0.9,"sitting","Resting","land","land","sitting"
1,"1.sitting",2,"2.Resting",26733,"15:04.2",0.71,0.392,0.24,0.848,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26734,"15:04.2",0.71,0.456,0.216,0.856,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26735,"15:04.2",0.71,0.556,0.16,0.832,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26736,"15:04.3",0.71,0.572,0.132,0.832,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26737,"15:04.3",0.71,0.644,0.068,0.76,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26738,"15:04.4",0.71,0.636,0.012,0.684,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26739,"15:04.4",0.71,0.656,-0.06,0.66,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26740,"15:04.4",0.71,0.672,-0.08,0.62,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26741,"15:04.5",0.71,0.676,-0.076,0.648,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26742,"15:04.5",0.71,0.704,-0.06,0.62,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26743,"15:04.6",0.71,0.684,-0.056,0.64,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26744,"15:04.6",0.71,0.66,-0.052,0.648,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26745,"15:04.6",0.71,0.68,-0.056,0.656,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26746,"15:04.7",0.71,0.66,-0.044,0.684,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26747,"15:04.7",0.71,0.644,-0.028,0.684,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26748,"15:04.8",0.71,0.648,-0.024,0.696,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26749,"15:04.8",0.71,0.656,-0.044,0.704,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26750,"15:04.8",0.71,0.66,-0.044,0.692,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26751,"15:04.9",0.71,0.648,-0.06,0.7,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26752,"15:04.9",0.71,0.656,-0.068,0.7,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26753,"15:05.0",0.71,0.652,-0.064,0.692,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26754,"15:05.0",0.71,0.66,-0.06,0.7,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26755,"15:05.0",0.71,0.668,-0.056,0.708,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26756,"15:05.1",0.71,0.656,-0.064,0.704,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26757,"15:05.1",0.71,0.672,-0.068,0.7,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26758,"15:05.2",0.71,0.664,-0.064,0.708,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26759,"15:05.2",0.71,0.66,-0.068,0.696,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26760,"15:05.2",0.71,0.676,-0.072,0.696,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26761,"15:05.3",0.71,0.672,-0.064,0.696,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26762,"15:05.3",0.71,0.672,-0.064,0.688,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26763,"15:05.4",0.71,0.672,-0.064,0.7,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26764,"15:05.4",0.71,0.672,-0.068,0.692,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26765,"15:05.4",0.71,0.688,-0.08,0.672,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26766,"15:05.5",0.71,0.668,-0.084,0.684,"sitting","Resting","land","land",""
1,"1.sitting",2,"2.Resting",26767,"15:05.5",0.71,0.684,-0.06,0.66,"sitting","Resting","land","land",""
1,"1.other",3,"3.Other",26768,"15:05.6",0.71,0.716,-0.052,0.708,"other","Other","land","land","other"
1,"1.other",3,"3.Other",26769,"15:05.6",0.71,0.724,-0.02,0.72,"other","Other","land","land",""
1,"1.other",3,"3.Other",26770,"15:05.6",0.71,0.712,-0.008,0.724,"other","Other","land","land",""
1,"1.other",3,"3.Other",26771,"15:05.7",0.71,0.94,0,0.632,"other","Other","land","land",""
1,"1.other",3,"3.Other",26772,"15:05.7",0.71,0.572,-0.072,0.852,"other","Other","land","land",""
1,"1.other",3,"3.Other",26773,"15:05.8",0.71,0.624,0.152,0.78,"other","Other","land","land",""
1,"1.other",3,"3.Other",26774,"15:05.8",0.71,0.52,0.212,0.7,"other","Other","land","land",""
1,"1.other",3,"3.Other",26775,"15:05.8",0.71,0.52,0.188,0.716,"other","Other","land","land",""
1,"1.other",3,"3.Other",26776,"15:05.9",0.71,0.648,0.056,0.616,"other","Other","land","land",""
1,"1.other",3,"3.Other",26777,"15:05.9",0.71,0.828,0.156,0.684,"other","Other","land","land",""
1,"1.other",3,"3.Other",26778,"15:06.0",0.71,0.876,0.092,0.836,"other","Other","land","land",""
1,"1.other",3,"3.Other",26779,"15:06.0",0.71,0.632,0.108,0.672,"other","Other","land","land",""
1,"1.other",3,"3.Other",26780,"15:06.0",0.71,0.812,0.012,0.64,"other","Other","land","land",""
1,"1.other",3,"3.Other",26781,"15:06.1",0.71,0.824,-0.108,0.492,"other","Other","land","land",""
1,"1.other",3,"3.Other",26782,"15:06.1",0.71,0.988,0.076,0.468,"other","Other","land","land",""
1,"1.other",3,"3.Other",26783,"15:06.2",0.71,0.864,0.104,0.62,"other","Other","land","land",""
1,"1.other",3,"3.Other",26784,"15:06.2",0.71,0.628,0.056,0.7,"other","Other","land","land",""
1,"1.other",3,"3.Other",26785,"15:06.2",0.71,0.656,0.092,0.74,"other","Other","land","land",""
