"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw"
1,"1.sitting",1,"1.Resting",7886,"21:28.7",0.34,0.88,-0.26,0.428,"sitting","Resting","land","land","sitting"
1,"1.sitting",1,"1.Resting",7887,"21:28.7",0.34,0.892,-0.264,0.46,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7888,"21:28.8",0.34,0.884,-0.236,0.46,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7889,"21:28.8",0.34,0.852,-0.284,0.472,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7890,"21:28.8",0.34,0.796,-0.292,0.468,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7891,"21:28.9",0.34,0.744,-0.304,0.472,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7892,"21:28.9",0.34,0.724,-0.316,0.444,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7893,"21:29.0",0.34,0.764,-0.316,0.452,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7894,"21:29.0",0.34,0.772,-0.32,0.444,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7895,"21:29.0",0.34,0.76,-0.316,0.46,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7896,"21:29.1",0.34,0.776,-0.308,0.512,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7897,"21:29.1",0.34,0.78,-0.276,0.536,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7898,"21:29.2",0.34,0.8,-0.228,0.524,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7899,"21:29.2",0.34,0.82,-0.192,0.488,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7900,"21:29.2",0.34,0.832,-0.14,0.476,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7901,"21:29.3",0.34,0.856,-0.024,0.448,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7902,"21:29.3",0.34,0.8,0.028,0.556,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7903,"21:29.4",0.34,0.84,0.008,0.496,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7904,"21:29.4",0.34,0.884,0.032,0.46,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7905,"21:29.4",0.34,0.92,0.056,0.448,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7906,"21:29.5",0.34,0.952,0.008,0.452,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7907,"21:29.5",0.34,0.896,-0.072,0.464,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7908,"21:29.6",0.34,0.868,-0.12,0.5,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7909,"21:29.6",0.34,0.844,-0.16,0.476,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7910,"21:29.6",0.34,0.832,-0.176,0.48,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7911,"21:29.7",0.34,0.816,-0.2,0.492,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7912,"21:29.7",0.34,0.8,-0.204,0.484,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7913,"21:29.8",0.34,0.8,-0.216,0.488,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7914,"21:29.8",0.34,0.804,-0.212,0.496,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7915,"21:29.8",0.34,0.792,-0.212,0.508,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7916,"21:29.9",0.34,0.772,-0.212,0.524,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7917,"21:29.9",0.34,0.764,-0.216,0.532,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7918,"21:30.0",0.34,0.768,-0.228,0.54,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7919,"21:30.0",0.34,0.764,-0.24,0.544,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7920,"21:30.0",0.34,0.768,-0.24,0.532,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7921,"21:30.1",0.34,0.78,-0.232,0.536,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7922,"21:30.1",0.34,0.776,-0.232,0.532,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7923,"21:30.2",0.34,0.768,-0.236,0.516,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7924,"21:30.2",0.34,0.76,-0.24,0.512,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7925,"21:30.2",0.34,0.772,-0.26,0.528,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7926,"21:30.3",0.34,0.784,-0.26,0.516,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7927,"21:30.3",0.34,0.776,-0.252,0.496,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7928,"21:30.4",0.34,0.788,-0.252,0.516,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7929,"21:30.4",0.34,0.78,-0.252,0.516,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7930,"21:30.4",0.34,0.78,-0.268,0.516,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7931,"21:30.5",0.34,0.796,-0.256,0.512,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7932,"21:30.5",0.34,0.804,-0.236,0.512,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7933,"21:30.6",0.34,0.8,-0.236,0.504,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7934,"21:30.6",0.34,0.784,-0.228,0.496,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7935,"21:30.6",0.34,0.776,-0.24,0.492,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7936,"21:30.7",0.34,0.776,-0.228,0.512,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7937,"21:30.7",0.34,0.784,-0.236,0.512,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",7938,"21:30.8",0.34,0.784,-0.24,0.488,"sitting","Resting","land","land",""
