"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw"
1,"1.in",1,"1.Other",8519,"28:21.8",0.87,-0.248,0.024,-0.012,"in","Other","water","surface","in"
1,"1.in",1,"1.Other",8520,"28:21.8",0.87,-1.288,0.98,0.392,"in","Other","water","surface",""
1,"1.in",1,"1.Other",8521,"28:21.8",0.87,-0.464,1.428,2.78,"in","Other","water","surface",""
1,"1.in",1,"1.Other",8522,"28:21.9",0.87,-0.348,0.92,1.56,"in","Other","water","surface",""
1,"1.in",1,"1.Other",8523,"28:21.9",0.87,-1.028,0.868,1.748,"in","Other","water","surface",""
1,"1.in",1,"1.Other",8524,"28:22.0",0.87,-1.124,1.372,2.02,"in","Other","water","surface",""
1,"1.in",1,"1.Other",8525,"28:22.0",1,-0.66,1.632,1.92,"in","Other","water","surface",""
1,"1.slow",2,"2.Travelling",8526,"28:22.0",1.09,-0.864,0.948,1.748,"slow","Travelling","water","surface","slow"
1,"1.slow",2,"2.Travelling",8527,"28:22.1",1.18,-0.396,0.628,2.156,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",8528,"28:22.1",1.34,0.132,0.904,2.128,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",8529,"28:22.2",1.37,0.468,0.804,1.664,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",8530,"28:22.2",1.43,0.16,0.944,1.54,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",8531,"28:22.2",1.43,0.3,0.848,1.228,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",8532,"28:22.3",1.46,0.604,0.976,1.056,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",8533,"28:22.3",1.4,0.768,1.02,0.912,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",8534,"28:22.4",1.43,0.684,0.94,0.752,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",8535,"28:22.4",1.37,0.628,0.908,0.6,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",8536,"28:22.4",1.37,0.828,0.904,0.656,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",8537,"28:22.5",1.34,0.864,0.912,0.652,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",8538,"28:22.5",1.31,0.84,0.808,0.5,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",8539,"28:22.6",1.28,0.84,0.724,0.448,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",8540,"28:22.6",1.25,0.736,0.52,0.44,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",8541,"28:22.6",1.18,0.684,0.256,0.508,"slow","Travelling","water","surface",""
1,"1.slow",2,"2.Travelling",8542,"28:22.7",1.15,0.644,0.124,0.568,"slow","Travelling","water","surface",""
1,"1.feeding",3,"3.Foraging",8543,"28:22.7",1.12,0.548,0.064,0.608,"feeding","Foraging","water","surface","feeding"
1,"1.feeding",3,"3.Foraging",8544,"28:22.8",1.06,0.436,-0.024,0.624,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8545,"28:22.8",1.06,0.34,-0.116,0.576,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8546,"28:22.8",1,0.192,-0.196,0.488,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8547,"28:22.9",1,0.064,-0.184,0.476,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8548,"28:22.9",1,0.056,-0.116,0.584,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8549,"28:23.0",0.96,0.036,-0.056,0.668,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8550,"28:23.0",0.93,0.036,0.008,0.696,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8551,"28:23.0",0.93,0.004,0.116,0.672,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8552,"28:23.1",0.93,-0.02,0.276,0.664,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8553,"28:23.1",0.93,-0.036,0.356,0.732,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8554,"28:23.2",0.93,0.012,0.3,0.844,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8555,"28:23.2",0.93,-0.016,0.184,0.828,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8556,"28:23.2",0.93,-0.2,0.296,0.688,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8557,"28:23.3",0.9,-0.292,0.444,0.656,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8558,"28:23.3",0.93,-0.216,0.58,0.644,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8559,"28:23.4",0.93,-0.108,0.692,0.704,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8560,"28:23.4",0.93,-0.032,0.856,0.792,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8561,"28:23.4",0.93,-0.016,0.892,0.8,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8562,"28:23.5",0.93,-0.052,0.8,0.776,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8563,"28:23.5",0.9,-0.028,0.7,0.792,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8564,"28:23.6",0.9,-0.008,0.62,0.768,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8565,"28:23.6",0.9,-0.004,0.556,0.792,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8566,"28:23.6",0.9,-0.04,0.496,0.856,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8567,"28:23.7",0.9,-0.136,0.508,0.792,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8568,"28:23.7",0.87,-0.196,0.476,0.752,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8569,"28:23.8",0.9,-0.188,0.568,0.912,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8570,"28:23.8",0.9,-0.044,0.376,0.784,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8571,"28:23.8",0.9,-0.016,0.196,0.7,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8572,"28:23.9",0.87,-0.02,0.172,0.684,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8573,"28:23.9",0.9,-0.012,0.16,0.868,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8574,"28:24.0",0.9,-0.016,0.3,0.904,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8575,"28:24.0",0.9,0.008,0.264,0.808,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8576,"28:24.0",0.9,0.112,0.4,0.76,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8577,"28:24.1",0.93,0.028,0.528,0.824,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8578,"28:24.1",0.93,0.088,0.58,0.86,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8579,"28:24.2",0.96,0.124,0.604,0.88,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8580,"28:24.2",0.96,0.096,0.576,0.86,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8581,"28:24.2",0.96,0.208,0.312,0.744,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8582,"28:24.3",0.96,0.084,0.48,0.648,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8583,"28:24.3",1,0.06,0.664,0.74,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8584,"28:24.4",0.96,0.076,0.868,0.696,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8585,"28:24.4",1,-0.008,0.884,0.848,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8586,"28:24.4",0.96,0.032,0.656,0.556,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8587,"28:24.5",1,0.192,0.492,0.748,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8588,"28:24.5",1,0.404,0.748,0.928,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8589,"28:24.6",1,0.308,0.796,0.864,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8590,"28:24.6",1,0.348,0.536,1.016,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8591,"28:24.6",0.96,0.272,0.456,0.812,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8592,"28:24.7",0.93,0.26,0.184,0.772,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8593,"28:24.7",0.96,0.508,-0.236,0.896,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8594,"28:24.8",0.93,0.444,-0.6,0.536,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8595,"28:24.8",0.93,-0.048,-0.428,0.752,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8596,"28:24.8",0.93,0.504,-0.636,0.616,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8597,"28:24.9",0.93,0.324,0.188,0.816,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8598,"28:24.9",0.93,0.292,0.552,1.088,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8599,"28:25.0",0.9,0.34,0.348,1.004,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8600,"28:25.0",0.9,0.48,0.376,0.968,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8601,"28:25.0",0.9,0.696,0.116,0.716,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8602,"28:25.1",0.9,0.816,0.136,0.86,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8603,"28:25.1",0.87,0.416,0.24,0.524,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8604,"28:25.2",0.87,0.192,0.756,0.2,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8605,"28:25.2",0.87,0.288,0.948,0.492,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8606,"28:25.2",0.87,0.5,1.136,0.6,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8607,"28:25.3",0.87,0.204,1.088,0.576,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8608,"28:25.3",0.87,0.056,0.628,0.088,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8609,"28:25.4",0.87,0.124,0.304,0.348,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8610,"28:25.4",0.87,0.196,0.168,0.256,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8611,"28:25.4",0.87,-0.192,0.492,0.184,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8612,"28:25.5",0.87,-0.324,0.988,0.196,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8613,"28:25.5",0.87,-0.432,1.216,0.528,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8614,"28:25.6",0.87,-0.304,0.748,0.472,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8615,"28:25.6",0.87,-0.052,0.472,0.3,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8616,"28:25.6",0.9,-0.076,0.476,0.164,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8617,"28:25.7",0.9,-0.408,0.544,0.256,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8618,"28:25.7",0.96,-0.6,0.504,0.408,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8619,"28:25.8",1,-0.6,0.432,0.64,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8620,"28:25.8",1.03,-0.628,0.456,0.808,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8621,"28:25.8",1.03,-0.584,0.548,0.756,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8622,"28:25.9",1.06,-0.296,0.584,0.72,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8623,"28:25.9",1.09,-0.192,0.764,0.696,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8624,"28:26.0",1.09,-0.324,0.784,0.68,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8625,"28:26.0",1.12,-0.424,0.752,0.656,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8626,"28:26.0",1.12,-0.396,0.712,0.716,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8627,"28:26.1",1.15,-0.384,0.692,0.736,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8628,"28:26.1",1.15,-0.352,0.708,0.732,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8629,"28:26.2",1.18,-0.28,0.756,0.804,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8630,"28:26.2",1.18,-0.256,0.716,0.82,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8631,"28:26.2",1.18,-0.208,0.616,0.836,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8632,"28:26.3",1.21,-0.128,0.54,0.86,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8633,"28:26.3",1.21,-0.076,0.544,0.852,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8634,"28:26.4",1.21,-0.04,0.584,0.836,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8635,"28:26.4",1.21,-0.02,0.648,0.832,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8636,"28:26.4",1.21,0.048,0.66,0.816,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8637,"28:26.5",1.21,0.104,0.656,0.836,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8638,"28:26.5",1.21,0.132,0.632,0.828,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8639,"28:26.6",1.21,0.144,0.648,0.808,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8640,"28:26.6",1.21,0.128,0.62,0.812,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8641,"28:26.6",1.21,0.184,0.576,0.812,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8642,"28:26.7",1.18,0.224,0.596,0.764,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8643,"28:26.7",1.18,0.26,0.6,0.796,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8644,"28:26.8",1.18,0.264,0.56,0.788,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8645,"28:26.8",1.18,0.324,0.524,0.78,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8646,"28:26.8",1.18,0.332,0.444,0.768,"feeding","Foraging","water","surface",""
1,"1.feeding",3,"3.Foraging",8647,"28:26.9",1.18,0.32,0.484,0.768,"feeding","Foraging","water","surface",""
