Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
14:00:00,0.43,-0.24,-0.696,0.368
14:00:01,0.46,-0.28,-0.976,0.152
14:00:02,0.46,-0.12,-0.956,0.148
14:00:03,0.46,-0.176,-1.004,-0.232
14:00:04,0.46,-0.3,-0.988,-0.124
14:00:05,0.43,0.036,-1,0.088
14:00:06,0.46,0.1,-0.972,0.124
14:00:07,0.46,0.016,-1.008,0.032
14:00:08,0.43,-0.196,-1.032,-0.012
14:00:09,0.46,-0.028,-1.008,-0.072
14:00:10,0.46,-0.204,-0.988,-0.236
14:00:11,0.46,-0.26,-0.948,-0.224
14:00:12,0.46,-0.128,-1.024,-0.228
14:00:13,0.46,-0.008,-1.02,-0.112
14:00:14,0.46,-0.068,-0.968,0.144
14:00:15,0.46,-0.096,-1.024,-0.04
14:00:16,0.43,-0.12,-1.02,-0.028
14:00:17,0.46,-0.112,-1.016,-0.052
14:00:18,0.46,-0.132,-1.016,-0.036
14:00:19,0.46,-0.14,-0.996,-0.008
14:00:20,0.46,-0.084,-0.984,0.02
14:00:21,0.43,-0.072,-1.076,-0.08
14:00:22,0.43,-0.108,-1.072,-0.048
14:00:23,0.46,-0.24,-0.984,0.008
14:00:24,0.43,-0.224,-0.992,0.016
14:00:25,0.43,-0.224,-0.996,0.064
14:00:26,0.46,-0.204,-1,0.036
14:00:27,0.46,-0.256,-0.928,0.172
14:00:28,0.43,-0.356,-0.948,-0.144
14:00:29,0.43,-0.188,-0.964,0.188
14:00:30,0.43,-0.244,-1.012,-0.028
14:00:31,0.46,-0.224,-1,0.128
14:00:32,0.43,-0.092,-1,0.32
14:00:33,0.46,-0.056,-1.072,0.232
14:00:34,0.5,-0.256,-1,0.02
14:00:35,0.5,-0.324,-0.984,-0.096
14:00:36,0.46,-0.12,-0.996,-0.008
14:00:37,0.46,-0.336,-0.956,0.12
14:00:38,0.43,-0.124,-0.88,0.512
14:00:39,0.46,-0.12,-0.988,0.004
14:00:40,0.43,-0.248,-1.004,-0.032
14:00:41,0.46,-0.156,-1.012,-0.016
14:00:42,0.43,-0.088,-0.908,0.32
14:00:43,0.43,-0.292,-0.976,-0.156
14:00:44,0.46,-0.108,-1.02,0.04
14:00:45,0.46,-0.148,-0.984,0.188
14:00:46,0.46,-0.084,-0.984,0.156
14:00:47,0.46,-0.092,-0.952,0.18
14:00:48,0.43,-0.324,-0.98,0.052
14:00:49,0.43,-0.26,-0.98,0.088
14:00:50,0.43,-0.176,-1,0.14
14:00:51,0.43,-0.228,-1.004,0.084
14:00:52,0.43,-0.164,-0.984,0.164
14:00:53,0.43,-0.24,-1,0.064
14:00:54,0.46,-0.168,-0.856,0.352
14:00:55,0.5,-0.288,-0.996,-0.08
14:00:56,0.53,-0.268,-0.996,-0.116
14:00:57,0.5,-0.268,-0.984,-0.12
14:00:58,0.53,-0.252,-0.992,-0.136
14:00:59,0.53,-0.252,-0.996,-0.12
14:01:00,0.5,-0.284,-0.996,-0.096
14:01:01,0.5,-0.232,-0.996,-0.12
14:01:02,0.5,-0.192,-1.024,-0.02
14:01:03,0.5,-0.14,-1.072,0.008
14:01:04,0.5,-0.04,-1.12,0.008
14:01:05,0.53,-0.236,-1,0.088
14:01:06,0.5,-0.236,-0.984,0.064
14:01:07,0.5,-0.392,-0.948,-0.056
14:01:08,0.53,-0.356,-0.972,-0.056
14:01:09,0.5,-0.284,-1.008,-0.056
14:01:10,0.53,-0.176,-0.868,0.276
14:01:11,0.53,-0.176,-1.028,0.216
14:01:12,0.53,-0.44,-0.952,-0.028
14:01:13,0.53,-0.16,-0.988,0.248
14:01:14,0.5,-0.2,-0.952,0.272
14:01:15,0.53,-0.4,-0.936,0.012
14:01:16,0.5,-0.428,-0.932,-0.1
14:01:17,0.53,-0.216,-0.996,0.144
14:01:18,0.5,-0.14,-0.944,0.144
14:01:19,0.5,-0.596,-1.088,-0.004
14:01:20,0.53,-0.28,-0.632,0.22
14:01:21,0.53,-0.432,-0.916,0.168
14:01:22,0.53,-0.416,-0.904,0.216
14:01:23,0.53,-0.232,-1.024,0.564
14:01:24,0.5,-0.488,-0.812,0.08
14:01:25,0.53,-0.464,-0.6,0.724
14:01:26,0.53,0.008,-0.312,0.3
14:01:27,0.5,-0.116,-0.284,-0.04
14:01:28,0.5,-0.364,-0.908,0.096
14:01:29,0.53,-0.136,-1.344,0.14
14:01:30,0.5,-0.656,-1.26,-0.152
14:01:31,0.53,-0.56,-0.952,-0.2
14:01:32,0.56,-0.568,-0.812,-0.096
14:01:33,0.53,-0.472,-0.84,-0.076
14:01:34,0.5,-0.196,-0.88,0.08
14:01:35,0.53,-0.512,-0.812,0.064
14:01:36,0.5,-0.248,-0.8,0.952
14:01:37,0.53,-0.12,-0.308,0.436
14:01:38,0.53,-0.132,-0.396,-0.032
14:01:39,0.53,-0.188,-1.304,0.068
14:01:40,0.53,0.004,-1.516,-0.188
14:01:41,0.53,-0.384,-1.232,-0.144
14:01:42,0.56,-0.492,-0.916,-0.032
14:01:43,0.56,-0.424,-0.784,-0.036
14:01:44,0.56,-0.072,-0.86,-0.024
14:01:45,0.53,-0.56,-0.86,-0.156
14:01:46,0.56,-0.292,-1.316,0.636
14:01:47,0.56,-0.128,-1.164,0.504
14:01:48,0.53,-0.132,-0.324,-0.004
14:01:49,0.56,-0.56,-1.084,0.084
14:01:50,0.53,0.12,-1.432,0.044
14:01:51,0.56,-0.456,-1.204,-0.072
14:01:52,0.56,-0.488,-0.824,-0.06
14:01:53,0.56,-0.232,-0.908,-0.076
14:01:54,0.56,-0.3,-1.02,0.16
14:01:55,0.53,-0.3,-0.968,0
14:01:56,0.56,-0.292,-0.992,-0.144
14:01:57,0.56,-0.244,-0.976,0.144
14:01:58,0.56,-0.272,-0.992,0
14:01:59,0.53,-0.364,-0.964,-0.124
14:02:00,0.53,-0.208,-0.996,-0.232
14:02:01,0.53,-0.26,-0.968,-0.204
14:02:02,0.53,-0.088,-0.864,0.224
14:02:03,0.53,-0.416,-0.968,0.188
14:02:04,0.53,-0.272,-1,-0.048
14:02:05,0.53,-0.188,-0.88,0.14
14:02:06,0.53,-0.2,-1,-0.072
14:02:07,0.56,-0.256,-0.988,-0.076
14:02:08,0.62,-0.364,-0.94,-0.144
14:02:09,0.56,-0.332,-0.696,0.784
14:02:10,0.53,-0.384,-1.132,-0.052
14:02:11,0.53,-0.452,-1.268,-0.3
14:02:12,0.56,-0.4,-0.868,-0.104
14:02:13,0.53,-0.436,-1.144,-0.236
14:02:14,0.53,-0.208,-1.36,0.568
14:02:15,0.56,0.084,-0.58,0.376
14:02:16,0.53,-0.32,-0.9,-0.1
14:02:17,0.53,-0.516,-1.22,-0.28
14:02:18,0.53,-0.404,-0.924,-0.052
14:02:19,0.53,-0.296,-0.988,-0.016
