Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
15:15:00,0.59,0.365,-0.6,0.113
15:15:01,0.59,1.263,-0.642,0.073
15:15:02,0.59,0.923,-0.529,0.098
15:15:03,0.59,0.545,-0.264,0.036
15:15:04,0.62,0.688,-0.403,-0.016
15:15:05,0.59,0.74,-0.474,-0.003
15:15:06,0.59,1.105,-0.604,0.042
15:15:07,0.59,1.056,-0.688,0.018
15:15:08,0.59,1.109,-0.655,0.084
15:15:09,0.59,0.587,-0.319,0.038
15:15:10,0.59,0.686,-0.363,0.005
15:15:11,0.59,0.993,-0.48,0.037
15:15:12,0.59,0.909,-0.5,0.127
15:15:13,0.59,0.886,-0.532,-0.104
15:15:14,0.59,0.949,-0.435,-0.084
15:15:15,0.59,0.862,-0.405,-0.018
15:15:16,0.59,0.582,-0.254,-0.033
15:15:17,0.59,0.891,-0.417,-0.008
15:15:18,0.59,1.02,-0.501,0.012
15:15:19,0.59,1.025,-0.601,-0.052
15:15:20,0.59,1.152,-0.514,0.006
15:15:21,0.59,0.885,-0.459,0.013
15:15:22,0.59,0.682,-0.377,0.015
15:15:23,0.59,0.577,-0.257,-0.008
15:15:24,0.59,0.663,-0.314,-0.031
15:15:25,0.59,1.026,-0.47,0.019
15:15:26,0.59,1.057,-0.48,0.096
15:15:27,0.59,1.39,-0.519,0.117
15:15:28,0.59,1.342,-0.61,0.094
15:15:29,0.59,0.978,-0.482,0.038
15:15:30,0.59,0.622,-0.333,0.006
15:15:31,0.59,0.454,-0.233,0.01
15:15:32,0.59,0.63,-0.327,-0.002
15:15:33,0.59,0.992,-0.454,-0.009
15:15:34,0.59,1.249,-0.551,0.05
15:15:35,0.59,1.347,-0.598,0.073
15:15:36,0.59,0.859,-0.397,0.041
15:15:37,0.59,0.735,-0.35,-0.006
15:15:38,0.59,0.593,-0.218,0.012
15:15:39,0.59,0.738,-0.295,-0.009
15:15:40,0.59,0.979,-0.424,0.04
15:15:41,0.59,1.262,-0.564,0.103
15:15:42,0.62,0.966,-0.466,0.083
15:15:43,0.59,0.595,-0.287,0.021
15:15:44,0.59,0.611,-0.283,0.02
15:15:45,0.59,1.024,-0.435,-0.06
15:15:46,0.59,1.114,-0.521,0.072
15:15:47,0.59,1.364,-0.598,0.065
15:15:48,0.59,0.721,-0.344,0.073
15:15:49,0.59,0.657,-0.265,0.013
15:15:50,0.59,0.933,-0.384,0.035
15:15:51,0.59,1.05,-0.46,0.043
15:15:52,0.59,1.245,-0.55,0.125
15:15:53,0.59,0.709,-0.275,0.04
15:15:54,0.59,1.01,-0.565,-0.207
15:15:55,0.59,0.767,-0.356,0.021
15:15:56,0.59,0.946,-0.427,0.08
15:15:57,0.59,0.971,-0.366,0.134
15:15:58,0.59,0.939,-0.47,0.038
15:15:59,0.59,1.056,-0.476,0.1
15:16:00,0.59,0.831,-0.317,0.077
15:16:01,0.59,0.976,-0.22,0.267
15:16:02,0.59,0.691,0.684,0.287
15:16:03,0.59,0.686,0.679,0.287
15:16:04,0.59,0.681,0.684,0.287
15:16:05,0.59,0.681,0.688,0.283
15:16:06,0.59,0.677,0.687,0.287
15:16:07,0.59,0.679,0.686,0.283
15:16:08,0.59,0.674,0.689,0.289
15:16:09,0.59,0.675,0.692,0.282
15:16:10,0.59,0.674,0.689,0.282
15:16:11,0.59,0.671,0.692,0.284
15:16:12,0.59,0.673,0.696,0.29
15:16:13,0.59,0.675,0.694,0.288
15:16:14,0.59,0.67,0.693,0.286
15:16:15,0.59,0.67,0.694,0.285
15:16:16,0.59,0.669,0.697,0.284
15:16:17,0.59,0.67,0.697,0.286
15:16:18,0.59,0.668,0.694,0.281
15:16:19,0.59,0.668,0.698,0.285
15:16:20,0.59,0.667,0.695,0.286
15:16:21,0.59,0.667,0.696,0.287
15:16:22,0.59,0.665,0.701,0.283
15:16:23,0.59,0.667,0.698,0.285
15:16:24,0.59,0.666,0.701,0.288
15:16:25,0.59,0.665,0.7,0.286
15:16:26,0.59,0.667,0.703,0.289
15:16:27,0.59,0.664,0.7,0.281
15:16:28,0.59,0.666,0.703,0.289
15:16:29,0.59,0.662,0.703,0.289
15:16:30,0.59,0.672,0.702,0.282
15:16:31,0.59,0.666,0.701,0.287
15:16:32,0.59,0.664,0.703,0.28
15:16:33,0.59,0.663,0.704,0.285
15:16:34,0.59,0.665,0.702,0.283
15:16:35,0.59,0.659,0.704,0.285
