Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
14:45:00,0.75,-0.704,-0.74,-0.204
14:45:01,0.75,-0.844,-0.824,0.448
14:45:02,0.78,-0.592,-0.704,0.18
14:45:03,0.75,-1.1,-0.572,0.236
14:45:04,0.75,-0.76,-0.776,0.068
14:45:05,0.75,-0.72,-0.54,0.124
14:45:06,0.75,-0.608,-0.584,0.44
14:45:07,0.75,-0.888,-0.68,0.456
14:45:08,0.75,-0.928,-0.924,0.512
14:45:09,0.75,-0.732,-1.16,0.356
14:45:10,0.75,-0.636,-0.864,0.264
14:45:11,0.75,-0.248,-0.524,0.608
14:45:12,0.75,-0.684,-0.352,0.524
14:45:13,0.75,-1.172,-0.436,0.952
14:45:14,0.75,-0.772,-0.264,0.564
14:45:15,0.75,-0.76,-0.624,0.324
14:45:16,0.75,-0.8,-0.192,0.516
14:45:17,0.75,-0.844,-0.44,0.348
14:45:18,0.75,-0.64,-0.232,0.228
14:45:19,0.75,-0.652,-0.324,0.288
14:45:20,0.75,-0.696,-0.396,0.144
14:45:21,0.75,-0.804,-0.324,0.304
14:45:22,0.75,-0.92,-0.416,0.248
14:45:23,0.75,-0.928,-0.356,0.408
14:45:24,0.75,-0.852,-0.404,0.412
14:45:25,0.75,-0.908,-0.464,0.2
14:45:26,0.75,-0.78,-0.624,0.42
14:45:27,0.75,-0.868,-0.16,0.312
14:45:28,0.75,-0.868,-0.276,0.46
14:45:29,0.75,-0.776,-0.32,0.564
14:45:30,0.75,-0.588,-0.228,0.684
14:45:31,0.75,-0.784,-0.508,0.424
14:45:32,0.75,-0.648,-0.228,0.316
14:45:33,0.75,-0.58,-0.264,0.244
14:45:34,0.75,-0.596,-0.324,0.184
14:45:35,0.75,-0.68,-0.5,0.212
14:45:36,0.75,-0.9,-0.652,0.288
14:45:37,0.75,-0.764,-0.76,0.288
14:45:38,0.75,-0.912,-0.388,0.44
14:45:39,0.75,-0.772,-0.552,0.316
14:45:40,0.75,-0.732,-0.58,0.384
14:45:41,0.75,-0.628,-0.656,0.404
14:45:42,0.75,-0.652,-0.668,0.364
14:45:43,0.75,-0.496,-0.552,0.392
14:45:44,0.75,-0.964,-0.32,0.532
14:45:45,0.75,-0.844,-1.024,0.164
14:45:46,0.75,-0.776,-1.036,0.128
14:45:47,0.75,-0.844,-0.944,0.148
14:45:48,0.75,-0.616,-0.62,0.188
14:45:49,0.75,-0.5,-0.436,0.048
14:45:50,0.75,-0.556,-0.544,0.084
14:45:51,0.75,-0.724,-0.824,0.284
14:45:52,0.75,-0.896,-1.016,0.464
14:45:53,0.75,-0.644,-0.848,0.456
14:45:54,0.75,-0.588,-0.64,0.372
14:45:55,0.75,-0.664,-0.812,0.14
14:45:56,0.75,-0.508,-0.752,0.328
14:45:57,0.75,-0.672,-0.792,0.184
14:45:58,0.75,-0.744,-0.736,0.436
14:45:59,0.75,-0.748,-0.452,0.296
14:46:00,0.75,-0.668,-0.936,0.136
14:46:01,0.75,-0.5,-0.504,0.12
14:46:02,0.75,-0.704,-0.716,0.352
14:46:03,0.75,-0.616,-1.06,0.416
14:46:04,0.75,-0.588,-0.972,0.38
14:46:05,0.75,-0.244,-0.608,0.096
14:46:06,0.75,-0.392,-0.408,0.228
14:46:07,0.75,-0.74,-0.576,0.324
14:46:08,0.75,-0.904,-0.98,0.5
14:46:09,0.75,-0.632,-0.62,0.432
14:46:10,0.75,-0.596,-0.688,0.444
14:46:11,0.75,-0.6,-0.668,0.444
14:46:12,0.75,-0.608,-0.68,0.436
14:46:13,0.75,-0.62,-0.684,0.444
14:46:14,0.75,-0.588,-0.688,0.44
14:46:15,0.75,-0.596,-0.676,0.44
14:46:16,0.75,-0.532,-0.676,0.424
14:46:17,0.75,-0.556,-0.792,0.28
14:46:18,0.75,-0.56,-0.78,0.312
14:46:19,0.75,-0.6,-0.752,0.308
14:46:20,0.75,-0.62,-0.764,0.308
14:46:21,0.75,-0.6,-0.752,0.312
14:46:22,0.75,-0.608,-0.768,0.304
14:46:23,0.75,-0.612,-0.744,0.308
14:46:24,0.75,-0.608,-0.76,0.3
14:46:25,0.75,-0.6,-0.76,0.308
14:46:26,0.75,-0.628,-0.72,0.304
14:46:27,0.75,-0.648,-0.66,0.416
14:46:28,0.75,-0.8,-1.056,0.172
14:46:29,0.75,-0.648,-0.688,0.108
14:46:30,0.75,-0.508,-0.54,0.056
14:46:31,0.75,-0.8,-0.796,0.376
14:46:32,0.75,-0.676,-0.928,0.452
14:46:33,0.71,-0.444,-0.576,0.224
14:46:34,0.75,-0.792,-0.596,0.384
14:46:35,0.75,-1,-0.716,0.296
14:46:36,0.75,-0.724,-0.92,0.172
14:46:37,0.75,-0.616,-0.66,0.188
14:46:38,0.75,-0.636,-0.724,0.16
14:46:39,0.75,-0.72,-0.908,0.452
14:46:40,0.75,-0.596,-0.604,0.332
14:46:41,0.75,-0.532,-0.868,0.196
14:46:42,0.75,-0.632,-0.784,0.392
14:46:43,0.75,-0.664,-0.636,0.38
