Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
09:50:00,0.56,0.208,0.372,0.888
09:50:01,0.56,0.128,0.372,0.876
09:50:02,1.65,0.268,0.236,0.944
09:50:03,0.62,0,0.272,0.96
09:50:04,0.59,-0.192,0.224,0.92
09:50:05,0.56,0.12,-0.156,0.888
09:50:06,0.53,-0.54,-0.08,0.86
09:50:07,0.53,-0.58,0,0.756
09:50:08,0.53,-0.44,-0.128,0.82
09:50:09,0.53,-0.392,0.056,0.892
09:50:10,0.53,-0.34,0.128,0.884
09:50:11,0.53,-0.288,0.104,0.944
09:50:12,0.53,-0.324,0.128,0.9
09:50:13,0.53,-0.256,0.108,0.932
09:50:14,0.53,-0.268,0.188,1
09:50:15,0.53,-0.34,0.112,0.852
09:50:16,0.53,-0.308,0.16,0.92
09:50:17,0.53,-0.32,0.128,0.916
09:50:18,0.53,-0.424,0.196,0.944
09:50:19,0.53,-0.264,0.144,0.94
09:50:20,0.53,-0.284,0.26,1.016
09:50:21,0.53,-0.348,0.148,0.908
09:50:22,0.53,-0.256,0.156,0.92
09:50:23,0.53,-0.392,0.184,0.904
09:50:24,0.53,-0.428,0.116,0.912
09:50:25,0.53,-0.416,0.144,0.932
09:50:26,0.53,-0.236,0.184,0.808
09:50:27,0.56,-0.376,0.168,0.856
09:50:28,0.53,-0.472,0.204,0.832
09:50:29,0.53,-0.528,0.216,0.804
09:50:30,0.53,-0.512,0.38,0.844
09:50:31,0.53,-0.52,0.308,0.528
09:50:32,0.53,-0.248,0.104,0.812
09:50:33,0.53,-0.472,0.432,0.852
09:50:34,0.53,-0.456,0.444,0.964
09:50:35,0.53,0.012,-0.176,0.764
09:50:36,0.53,-0.236,-0.012,0.98
09:50:37,0.53,-0.104,0.096,0.92
09:50:38,0.53,-0.22,0.008,0.948
09:50:39,0.53,-0.284,-0.024,0.948
09:50:40,0.53,-0.276,-0.024,1.02
09:50:41,0.53,-0.116,0.188,0.948
09:50:42,0.53,0.084,0.18,0.944
09:50:43,0.53,0,0.076,0.988
09:50:44,0.53,-0.092,0.12,0.984
09:50:45,0.56,-0.184,0.12,0.94
09:50:46,0.53,-0.116,0.156,0.972
09:50:47,0.53,-0.136,0.092,0.96
09:50:48,0.56,-0.14,0.108,0.972
09:50:49,0.56,-0.152,0.132,1
09:50:50,0.56,-0.1,0.16,0.984
09:50:51,0.53,-0.132,0.14,0.956
09:50:52,0.56,-0.128,0.168,0.916
09:50:53,0.56,-0.176,0.076,0.992
09:50:54,0.56,-0.036,0.132,0.976
09:50:55,0.56,0.032,0.08,0.984
09:50:56,0.56,0.036,0.192,0.98
09:50:57,0.56,0.096,0.18,0.932
09:50:58,0.56,0.044,0.168,0.94
09:50:59,0.56,0.076,0.156,0.944
09:51:00,0.56,0.02,0.164,0.94
09:51:01,0.56,0.22,0.192,0.828
09:51:02,0.53,0.072,0.08,0.888
09:51:03,0.56,-0.012,0.276,0.916
09:51:04,0.56,0.124,0.368,0.916
09:51:05,0.56,0.032,0.32,0.948
09:51:06,0.56,-0.128,0.224,0.9
09:51:07,0.56,-0.104,0.192,0.944
09:51:08,0.53,-0.084,0.188,0.936
09:51:09,0.56,-0.088,0.212,0.932
09:51:10,0.56,-0.072,0.192,0.96
09:51:11,0.56,0.072,0.044,0.908
09:51:12,0.56,0.076,0.108,0.972
09:51:13,0.56,0.08,0.424,0.812
09:51:14,0.56,-0.032,0.848,0.5
09:51:15,0.56,-0.004,1.012,-0.132
09:51:16,0.56,0.016,0.9,0.356
09:51:17,0.56,0.084,0.812,0.404
09:51:18,0.56,0.092,0.22,0.956
09:51:19,0.53,0.108,0.192,0.948
09:51:20,0.53,0.092,0.164,0.948
09:51:21,0.53,0.096,0.164,0.968
09:51:22,0.56,0.108,0.156,0.944
09:51:23,0.56,0.104,0.188,0.952
09:51:24,0.56,0.116,0.16,0.968
09:51:25,0.56,0.112,0.168,0.96
09:51:26,0.56,0.116,0.164,0.916
09:51:27,0.56,0.06,0.204,0.956
09:51:28,0.56,-0.152,0.208,1.008
09:51:29,0.56,0.004,0.244,0.952
09:51:30,0.56,0.004,0.224,0.976
09:51:31,0.56,-0.008,0.2,0.96
09:51:32,0.56,-0.012,0.196,0.944
09:51:33,0.56,-0.016,0.248,0.932
09:51:34,0.56,-0.008,0.24,0.944
09:51:35,0.56,-0.016,0.216,0.94
09:51:36,0.56,-0.016,0.244,0.956
09:51:37,0.56,-0.044,0.228,0.916
09:51:38,0.56,-0.104,0.244,0.932
09:51:39,0.56,0.052,0.32,0.7
09:51:40,0.56,-0.216,0.216,1.036
09:51:41,0.56,0.252,0.616,0.716
09:51:42,0.59,0.12,0.176,0.992
09:51:43,0.56,0.084,0.38,0.928
