Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
08:57:00,0.56,0.056,-0.088,0.952
08:57:01,0.56,0.028,0.012,0.94
08:57:02,0.56,0.032,0.008,0.94
08:57:03,0.56,0.04,0.012,0.948
08:57:04,0.56,0.028,0.012,0.952
08:57:05,0.56,0.024,0.008,0.96
08:57:06,0.56,0.028,0.024,0.956
08:57:07,0.56,0.024,0.016,0.944
08:57:08,0.56,0.028,0.008,0.944
08:57:09,0.53,0.028,0.012,0.94
08:57:10,0.56,0.028,0.016,0.944
08:57:11,0.56,0.02,0.004,0.952
08:57:12,0.53,0.036,0.008,0.944
08:57:13,0.53,0.036,0.008,0.956
08:57:14,0.53,0.028,0.012,0.952
08:57:15,0.53,0.024,0.012,0.956
08:57:16,0.53,0.036,0.008,0.944
08:57:17,0.53,0.024,0.008,0.944
08:57:18,0.53,0.024,0.016,0.944
08:57:19,0.53,0.028,0.02,0.96
08:57:20,0.53,0.032,0.016,0.948
08:57:21,0.53,0.024,0.012,0.952
08:57:22,0.53,0.024,0.012,0.944
08:57:23,0.53,0.016,0.012,0.96
08:57:24,0.53,0.036,0.012,0.952
08:57:25,0.53,0.02,0.008,0.948
08:57:26,0.53,0.028,-0.004,0.952
08:57:27,0.53,0.032,0.008,0.952
08:57:28,0.5,0.044,0.012,0.948
08:57:29,0.53,0.024,0.008,0.948
08:57:30,0.5,0.024,0.016,0.952
08:57:31,0.5,0.024,0.008,0.944
08:57:32,0.5,0.036,0.012,0.944
08:57:33,0.5,0.024,0.008,0.944
08:57:34,0.53,0.036,0.012,0.94
08:57:35,0.5,0.032,0.004,0.936
08:57:36,0.5,0.032,0.016,0.944
08:57:37,0.5,0.04,0.012,0.956
08:57:38,0.5,0.032,0.004,0.956
08:57:39,0.5,0.04,0.008,0.944
08:57:40,0.5,0.032,0.004,0.956
08:57:41,0.5,0.032,0.012,0.948
08:57:42,0.5,0.036,0.016,0.948
08:57:43,0.5,0.02,0.016,0.952
08:57:44,0.5,0.028,0,0.948
08:57:45,0.5,0.028,0.012,0.964
08:57:46,0.5,0.036,0.012,0.948
08:57:47,0.5,0.024,0.012,0.94
08:57:48,0.46,0.024,0.008,0.952
08:57:49,0.5,0.024,0.008,0.952
08:57:50,0.46,0.028,0.008,0.948
08:57:51,0.5,0.028,0.012,0.944
08:57:52,0.5,0.032,0.008,0.956
08:57:53,0.46,0.036,0.012,0.932
08:57:54,0.46,0.024,0.004,0.94
08:57:55,0.5,0.032,0.012,0.944
08:57:56,0.46,0.024,0.016,0.948
08:57:57,0.46,0.028,0.008,0.956
08:57:58,0.46,0.032,0.004,0.936
08:57:59,0.46,0.032,0.008,0.948
08:58:00,0.46,0.028,0.008,0.936
08:58:01,0.46,0.028,0.012,0.952
08:58:02,0.46,0.032,0.016,0.948
08:58:03,0.46,0.036,0.004,0.944
