Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
09:40:00,0.71,-0.484,-0.14,0.212
09:40:01,0.71,0.26,-0.764,0.524
09:40:02,0.71,0.272,-0.656,0.6
09:40:03,0.71,1.16,-1.244,0.636
09:40:04,0.71,0.488,-0.956,0.744
09:40:05,0.71,-0.228,-0.324,0.468
09:40:06,0.71,-0.404,-0.212,0.364
09:40:07,0.71,0.164,-0.728,0.496
09:40:08,0.71,-0.036,-0.684,0.732
09:40:09,0.71,0.072,-0.564,0.636
09:40:10,0.71,-0.064,-1.028,0.772
09:40:11,0.71,0.36,-0.796,0.608
09:40:12,0.71,0.196,-0.564,0.456
09:40:13,0.71,0.156,-0.476,0.54
09:40:14,0.71,0.392,-0.544,0.548
09:40:15,0.71,0.3,-0.372,0.94
09:40:16,0.71,0.008,-0.944,1.08
09:40:17,0.71,0.084,-1.396,0.824
09:40:18,0.71,0.34,-0.56,0.852
09:40:19,0.71,0.448,-0.468,0.84
09:40:20,0.71,0.616,-0.892,0.796
09:40:21,0.71,0.636,-0.64,0.792
09:40:22,0.71,0.276,-0.792,0.664
09:40:23,0.71,0.432,-0.608,0.916
09:40:24,0.71,0.548,-0.848,0.912
09:40:25,0.68,0.776,-0.908,0.996
09:40:26,0.71,-0.62,-0.836,0.616
09:40:27,0.71,0.104,-0.696,0.296
09:40:28,0.71,0.192,-0.62,0.4
09:40:29,0.71,-0.38,-0.148,0.208
09:40:30,0.71,-0.348,-0.384,0.676
09:40:31,0.68,0.044,-0.916,0.3
09:40:32,0.71,0.184,-1.04,0.52
09:40:33,0.71,0.536,-1.084,0.564
09:40:34,0.68,0.952,-1.024,0.368
09:40:35,0.71,0.432,-0.848,0.44
09:40:36,0.71,0.004,-0.532,0.528
09:40:37,0.71,-0.128,-0.272,0.396
09:40:38,0.71,-0.192,-0.32,0.312
09:40:39,0.71,-0.164,-0.892,0.376
09:40:40,0.71,0.36,-0.988,0.348
09:40:41,0.71,1.288,-0.832,0.784
09:40:42,0.71,0.248,-1.18,0.552
09:40:43,0.71,-0.364,-0.468,0.492
09:40:44,0.71,-0.412,-0.2,0.248
09:40:45,0.71,-0.044,-0.416,0.168
09:40:46,0.71,0.572,-0.872,0.408
09:40:47,0.71,0.764,-0.784,0.812
09:40:48,0.71,0.868,-0.92,1.12
09:40:49,0.71,0.584,-1.044,0.548
09:40:50,0.71,0.132,-0.828,0.412
09:40:51,0.71,-0.232,-0.34,0.32
09:40:52,0.71,-0.272,-0.504,0.636
09:40:53,0.71,0.1,-1.3,0.496
09:40:54,0.71,0.624,-1.056,0.592
09:40:55,0.71,0.22,-0.764,0.484
09:40:56,0.71,-0.34,-0.168,0.228
09:40:57,0.71,-0.42,-0.208,0.14
09:40:58,0.71,-0.244,-0.564,0.696
09:40:59,0.71,0.3,-0.692,0.148
09:41:00,0.71,0.852,-1.244,0.364
09:41:01,0.71,0.78,-1.04,0.548
09:41:02,0.71,0.972,-0.9,0.264
09:41:03,0.71,0.848,-1.392,0.452
09:41:04,0.68,0.424,-1.36,0.376
09:41:05,0.71,-0.308,-0.592,0.292
09:41:06,0.71,-0.432,-0.176,0.236
09:41:07,0.68,-0.2,-0.292,0.316
09:41:08,0.71,-0.276,-0.284,1.432
09:41:09,0.71,0.272,-1.112,1.008
09:41:10,0.68,0.82,-0.868,0.552
09:41:11,0.71,0.816,-1.292,0.576
09:41:12,0.71,-0.064,-0.544,0.536
09:41:13,0.71,-0.168,-0.468,0.496
09:41:14,0.71,-0.192,-0.548,0.336
09:41:15,0.71,0.116,-0.556,0.16
09:41:16,0.71,0.252,-0.988,0.412
09:41:17,0.71,0.504,-0.912,0.332
09:41:18,0.71,1.112,-0.9,0.86
09:41:19,0.71,0.416,-1.076,0.264
09:41:20,0.71,-0.364,-0.228,0.372
09:41:21,0.71,-0.344,-0.688,0.616
09:41:22,0.71,0.304,-1.064,0.488
09:41:23,0.71,0.664,-1.104,0.78
09:41:24,0.71,-0.076,-0.964,0.652
09:41:25,0.71,-0.04,-0.62,0.392
09:41:26,0.71,-0.172,-0.576,0.104
09:41:27,0.71,0.2,-0.968,0.336
09:41:28,0.71,0.648,-0.864,0.436
09:41:29,0.71,0.96,-1.304,0.468
09:41:30,0.71,-0.256,-1.08,0.164
09:41:31,0.71,-0.392,-0.188,0.408
09:41:32,0.71,-0.56,-0.3,0.216
09:41:33,0.68,-0.628,-0.872,0.656
09:41:34,0.68,0.376,-1.084,0.58
09:41:35,0.71,1.472,-0.916,0.932
09:41:36,0.71,-0.252,-0.56,0.372
09:41:37,0.71,-0.376,-0.608,0.252
09:41:38,0.71,0.168,-1.188,0.312
09:41:39,0.71,0.652,-0.776,0.768
09:41:40,0.71,0.828,-1.112,0.956
09:41:41,0.71,0.596,-1.02,0.416
09:41:42,0.71,-0.4,-0.488,0.488
09:41:43,0.71,-0.18,-0.296,0.404
09:41:44,0.68,-0.392,-0.368,0.5
09:41:45,0.71,-0.232,-0.516,0.716
09:41:46,0.71,0.14,-1.048,0.824
09:41:47,0.68,0.772,-1.012,0.756
09:41:48,0.71,-0.364,-0.604,0.636
09:41:49,0.71,-0.348,-0.304,0.284
09:41:50,0.71,-0.172,-0.692,0.028
09:41:51,0.68,0.428,-0.892,0.544
09:41:52,0.71,0.66,-0.864,0.684
09:41:53,0.71,1.02,-0.956,1.592
09:41:54,0.71,0.064,-1.02,0.24
09:41:55,0.71,-0.344,-0.132,0.288
09:41:56,0.71,-0.492,-0.42,0.54
09:41:57,0.71,0.26,-1.168,0.604
09:41:58,0.68,1.124,-1,1.008
09:41:59,0.71,-0.164,-0.616,0.568
09:42:00,0.71,-0.36,-0.492,0.272
09:42:01,0.71,0.12,-0.968,0.384
09:42:02,0.71,0.404,-1.004,0.408
09:42:03,0.71,0.604,-0.58,0.896
09:42:04,0.71,0.588,-1.016,0.4
09:42:05,0.71,-0.332,-0.388,0.28
09:42:06,0.71,-0.312,-0.884,0.776
09:42:07,0.71,0.848,-0.928,0.764
09:42:08,0.71,1.12,-1.1,1.172
09:42:09,0.71,-0.088,-1.212,0.556
09:42:10,0.71,-0.348,-0.296,0.312
09:42:11,0.71,-0.144,-0.512,0.3
09:42:12,0.71,-0.068,-0.464,0.12
09:42:13,0.71,0.472,-1.308,0.252
09:42:14,0.71,0.628,-0.908,0.804
09:42:15,0.71,0.736,-1.268,0.516
09:42:16,0.71,0.3,-0.896,0.436
09:42:17,0.68,0.224,-0.464,0.236
09:42:18,0.71,-0.192,-0.584,0.26
09:42:19,0.71,-0.16,-0.88,0.444
09:42:20,0.71,-0.128,-0.816,0.516
09:42:21,0.71,-0.272,-0.724,0.532
09:42:22,1,0.016,-0.944,0.3
09:42:23,1.12,0.024,-0.932,0.34
09:42:24,1.15,0.036,-0.94,0.32
09:42:25,0.71,-0.08,-0.812,0.452
09:42:26,0.71,0.416,-0.884,0.24
09:42:27,0.71,-0.572,0.964,-0.78
09:42:28,0.71,0.36,0.716,0.92
09:42:29,0.71,-0.152,0.664,0.992
09:42:30,0.75,-0.46,0.692,1.144
09:42:31,0.71,-0.02,0.536,0.288
09:42:32,0.71,-0.252,0.516,0.436
09:42:33,0.71,0.284,0.612,0.536
09:42:34,0.71,0.156,0.88,0.684
09:42:35,0.71,0.08,0.668,0.708
09:42:36,0.71,0.368,0.54,0.88
09:42:37,0.71,0.648,0.608,0.508
09:42:38,0.71,-0.056,0.744,0.64
09:42:39,0.71,0.124,0.656,0.712
09:42:40,0.71,0.088,0.736,0.636
09:42:41,0.71,0.144,0.72,0.644
09:42:42,0.71,0.128,0.688,0.708
09:42:43,0.71,0.308,0.636,0.728
09:42:44,0.71,-0.032,0.92,0.552
09:42:45,0.71,0.152,0.792,0.612
09:42:46,0.71,0.144,0.688,0.772
09:42:47,0.71,0.048,0.8,0.572
09:42:48,0.71,0.408,0.82,0.596
09:42:49,0.71,0.128,0.796,0.56
09:42:50,0.71,0.228,0.904,0.448
09:42:51,0.71,0.216,0.804,0.556
09:42:52,0.71,0.236,0.808,0.536
09:42:53,0.71,0.236,0.824,0.528
09:42:54,0.71,0.244,0.816,0.532
09:42:55,0.71,0.244,0.832,0.524
09:42:56,0.71,0.232,0.8,0.564
09:42:57,0.71,0.332,0.764,0.624
09:42:58,0.71,0.116,0.832,0.552
09:42:59,0.71,0.432,0.648,0.496
09:43:00,0.71,0.06,0.828,0.816
09:43:01,0.71,0.256,0.596,0.568
09:43:02,0.71,0.204,0.724,0.52
09:43:03,0.71,0.144,0.68,0.516
09:43:04,0.71,0.408,0.928,0.756
09:43:05,0.71,0.008,1.008,0.644
09:43:06,0.71,0.116,0.568,0.38
09:43:07,0.71,0.22,0.948,0.312
09:43:08,0.71,-0.092,1.108,0.516
09:43:09,0.71,-0.028,1.12,0.436
09:43:10,0.71,0.008,0.732,0.408
09:43:11,0.71,0.708,0.74,0.18
09:43:12,0.71,-0.024,1.304,0.5
09:43:13,0.71,-0.192,0.928,-0.056
09:43:14,0.71,-0.008,1.228,0.06
09:43:15,0.71,-0.264,0.972,0.364
09:43:16,0.71,0.16,0.628,0.72
09:43:17,0.71,0.368,0.184,0.812
09:43:18,0.71,0.472,-0.06,0.644
09:43:19,0.71,0.72,-0.836,0.468
09:43:20,0.71,0.876,-0.436,0.008
09:43:21,0.71,0.74,-0.464,0.232
09:43:22,0.71,0.304,0.008,0.896
09:43:23,0.71,0.044,0.116,1.304
09:43:24,0.71,0.292,0.2,0.584
09:43:25,0.71,0.18,-0.008,0.64
09:43:26,0.71,0.624,0.172,0.944
09:43:27,0.71,0.24,0.18,1.272
