Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
07:00:00,2.28,0.02,0.116,0.124
07:00:01,2.28,-0.032,0.008,0.972
07:00:02,2.25,-0.036,0.004,0.976
07:00:03,2.28,-0.036,0.008,0.976
07:00:04,2.28,-0.024,0.012,0.976
07:00:05,2.28,-0.024,0.016,0.98
07:00:06,2.25,-0.028,0.008,0.976
07:00:07,2.28,-0.028,0.02,0.968
07:00:08,2.28,-0.028,0.004,0.976
07:00:09,2.28,-0.028,0.008,0.976
07:00:10,2.28,-0.024,0.012,0.976
07:00:11,2.28,-0.024,0.012,0.976
07:00:12,2.25,-0.028,0.004,0.976
07:00:13,2.28,-0.024,0.012,0.972
07:00:14,2.28,-0.028,0,0.976
07:00:15,2.28,-0.024,0.02,0.98
07:00:16,2.28,-0.028,0.008,0.976
07:00:17,2.28,-0.02,0.012,0.972
07:00:18,2.28,-0.024,0.008,0.968
07:00:19,2.28,-0.036,0.012,0.988
07:00:20,2.28,-0.028,0.012,0.98
07:00:21,2.28,-0.028,0.012,0.976
07:00:22,2.25,-0.028,0.008,0.976
07:00:23,2.28,-0.028,0.008,0.972
07:00:24,2.28,-0.024,0.008,0.976
07:00:25,2.28,-0.024,0.004,0.98
07:00:26,2.28,-0.028,0.016,0.972
07:00:27,2.28,-0.04,0.016,0.972
07:00:28,2.28,-0.028,0.016,0.96
07:00:29,2.25,-0.028,0.008,0.968
07:00:30,2.28,-0.024,0.008,0.972
07:00:31,2.28,-0.016,0,0.96
07:00:32,2.28,-0.024,0.008,0.972
07:00:33,2.28,-0.028,0.008,0.98
07:00:34,2.28,-0.016,0.012,0.984
07:00:35,2.28,-0.032,0,0.976
07:00:36,2.28,-0.028,0.004,0.98
07:00:37,2.28,-0.032,0.012,0.968
07:00:38,2.28,-0.028,0.012,0.972
07:00:39,2.28,-0.016,0.012,0.968
07:00:40,2.28,-0.02,0.008,0.972
07:00:41,2.28,-0.036,0.008,0.98
07:00:42,2.28,-0.028,0.016,0.968
