Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
09:40:00,0.56,0.036,0.024,0.952
09:40:01,0.56,0.032,0.016,0.944
09:40:02,0.56,0.04,0.02,0.952
09:40:03,0.56,0.04,0.024,0.956
09:40:04,0.56,0.032,0.02,0.944
09:40:05,0.56,0.032,0.024,0.964
09:40:06,0.56,0.028,0.016,0.956
09:40:07,0.56,0.04,0.028,0.952
09:40:08,0.56,0.036,0.02,0.952
09:40:09,0.56,0.036,0.008,0.94
09:40:10,0.56,0.028,0.016,0.952
09:40:11,0.56,0.044,0.024,0.944
09:40:12,0.56,0.032,0.016,0.952
09:40:13,0.56,0.02,0.024,0.96
09:40:14,0.56,0.032,0.024,0.948
09:40:15,0.56,0.036,0.02,0.956
09:40:16,0.56,0.032,0.02,0.964
09:40:17,0.56,0.036,0.012,0.944
09:40:18,0.56,0.024,0.028,0.948
09:40:19,0.56,0.028,0.024,0.948
09:40:20,0.56,0.024,0.02,0.94
09:40:21,0.56,0.032,0.02,0.964
09:40:22,0.56,0.024,0.024,0.944
09:40:23,0.56,0.036,0.016,0.948
09:40:24,0.56,0.028,0.008,0.948
09:40:25,0.56,0.04,0.024,0.956
09:40:26,0.56,0.028,0.016,0.952
09:40:27,0.56,0.028,0.016,0.952
09:40:28,0.56,0.036,0.028,0.96
09:40:29,0.56,0.028,0.024,0.948
09:40:30,0.56,0.04,0.02,0.956
09:40:31,0.56,0.028,0.024,0.948
09:40:32,0.56,0.032,0.016,0.944
09:40:33,0.56,0.032,0.012,0.948
09:40:34,0.56,0.028,0.02,0.94
09:40:35,0.56,0.04,0.02,0.964
09:40:36,0.56,0.036,0.024,0.956
09:40:37,0.56,0.032,0.02,0.96
09:40:38,0.56,0.028,0.024,0.956
09:40:39,0.56,0.036,0.012,0.948
09:40:40,0.56,0.024,0.02,0.956
09:40:41,0.56,0.036,0.02,0.952
09:40:42,0.56,0.036,0.036,0.964
09:40:43,0.56,0.016,0.024,0.952
09:40:44,0.56,0.044,0.024,0.964
09:40:45,0.56,0.032,0.028,0.952
09:40:46,0.56,0.036,0.012,0.96
09:40:47,0.56,0.02,0.02,0.952
09:40:48,0.56,0.044,0.012,0.956
09:40:49,0.56,0.032,0.016,0.968
09:40:50,0.56,0.02,0.016,0.952
09:40:51,0.56,0.044,0.008,0.944
09:40:52,0.56,0.028,0.032,0.96
09:40:53,0.56,0.032,0.012,0.944
09:40:54,0.56,0.036,0.02,0.948
09:40:55,0.56,0.036,0.024,0.964
09:40:56,0.56,0.04,0.024,0.948
09:40:57,0.53,0.032,0.016,0.94
09:40:58,0.56,0.04,0.02,0.944
09:40:59,0.56,0.036,0.008,0.944
09:41:00,0.56,0.028,0.024,0.952
09:41:01,0.56,0.028,0.032,0.948
09:41:02,0.56,0.048,0.02,0.964
09:41:03,0.56,0.036,0.012,0.944
09:41:04,0.56,0.028,0.016,0.956
09:41:05,0.56,0.032,0.016,0.94
09:41:06,0.56,0.036,0.024,0.96
09:41:07,0.56,0.024,0.016,0.96
09:41:08,0.56,0.04,0.016,0.944
09:41:09,0.56,0.04,0.016,0.948
09:41:10,0.56,0.04,0.032,0.932
09:41:11,0.56,0.028,0.016,0.952
09:41:12,0.56,0.024,0.028,0.976
09:41:13,0.56,0.024,0.02,0.956
09:41:14,0.53,0.036,0.02,0.952
09:41:15,0.56,0.036,0.02,0.956
09:41:16,0.56,0.028,0.02,0.936
09:41:17,0.56,0.036,0.024,0.94
09:41:18,0.56,0.032,0.024,0.956
09:41:19,0.56,0.032,0.016,0.956
09:41:20,0.53,0.028,0.028,0.952
09:41:21,0.56,0.028,0.016,0.952
09:41:22,0.56,0.032,0.02,0.944
09:41:23,0.56,0.028,0.024,0.964
09:41:24,0.56,0.04,0.024,0.956
09:41:25,0.56,0.04,0.02,0.956
09:41:26,0.56,0.028,0.008,0.956
09:41:27,0.56,0.02,0.032,0.952
09:41:28,0.56,0.032,0.02,0.944
09:41:29,0.56,0.036,0.016,0.948
09:41:30,0.56,0.032,0.016,0.964
09:41:31,0.56,0.04,0.016,0.956
09:41:32,0.56,0.028,0.02,0.956
09:41:33,0.56,0.036,0.012,0.944
09:41:34,0.56,0.032,0.024,0.952
09:41:35,0.56,0.032,0.02,0.936
09:41:36,0.53,0.032,0.016,0.952
09:41:37,0.56,0.024,0.016,0.952
09:41:38,0.56,0.028,0.008,0.952
09:41:39,0.56,0.044,0.024,0.964
09:41:40,0.56,0.024,0.024,0.956
09:41:41,0.56,0.04,0.024,0.952
09:41:42,0.56,0.028,0.02,0.944
09:41:43,0.56,0.04,0.024,0.948
09:41:44,0.56,0.036,0.024,0.952
09:41:45,0.56,0.032,0.008,0.948
09:41:46,0.56,0.028,0.016,0.948
09:41:47,0.56,0.032,0.02,0.952
09:41:48,0.56,0.04,0.024,0.956
09:41:49,0.56,0.032,0.02,0.956
09:41:50,0.56,0.028,0.016,0.952
09:41:51,0.56,0.032,0.012,0.96
09:41:52,0.56,0.036,0.016,0.956
09:41:53,0.56,0.032,0.02,0.944
09:41:54,0.56,0.02,0.02,0.948
09:41:55,0.56,0.044,0.016,0.956
09:41:56,0.56,0.04,0.024,0.948
09:41:57,0.56,0.036,0.024,0.944
09:41:58,0.56,0.024,0.032,0.96
09:41:59,0.56,0.028,0.016,0.964
09:42:00,0.56,0.044,0.016,0.96
09:42:01,0.56,0.032,0.02,0.956
09:42:02,0.56,0.048,0.02,0.956
09:42:03,0.56,0.048,0.012,0.956
09:42:04,0.56,0.028,0.012,0.952
09:42:05,0.56,0.048,0.02,0.956
09:42:06,0.56,0.032,0.02,0.948
09:42:07,0.56,0.032,0.012,0.96
09:42:08,0.56,0.036,0.032,0.96
09:42:09,0.56,0.032,0.02,0.952
09:42:10,0.56,0.028,0.02,0.948
09:42:11,0.56,0.044,0.032,0.96
09:42:12,0.56,0.032,0.016,0.956
09:42:13,0.56,0.036,0.02,0.96
09:42:14,0.56,0.024,0.02,0.948
09:42:15,0.56,0.036,0.016,0.948
09:42:16,0.56,0.028,0.016,0.956
