Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
16:00:00,1.96,0.376,0.896,0.24
16:00:01,1.96,0.388,0.888,0.236
16:00:02,1.96,0.372,0.892,0.236
16:00:03,1.96,0.384,0.896,0.236
16:00:04,1.96,0.376,0.896,0.224
16:00:05,1.96,0.38,0.88,0.224
16:00:06,1.96,0.376,0.88,0.232
16:00:07,1.96,0.388,0.888,0.244
16:00:08,1.96,0.376,0.88,0.216
16:00:09,1.96,0.392,0.892,0.236
16:00:10,1.96,0.376,0.892,0.24
16:00:11,1.96,0.38,0.9,0.256
16:00:12,1.96,0.448,0.92,0.024
16:00:13,1.96,0.364,0.864,-0.156
16:00:14,1.96,0.348,0.892,0.272
16:00:15,1.96,0.36,0.888,0.264
16:00:16,1.96,0.356,0.88,0.272
16:00:17,1.96,0.344,0.884,0.264
16:00:18,1.96,0.356,0.888,0.268
16:00:19,1.96,0.364,0.888,0.272
16:00:20,1.96,0.352,0.896,0.252
16:00:21,1.96,0.36,0.888,0.26
16:00:22,1.96,0.352,0.884,0.264
16:00:23,1.96,0.344,0.892,0.272
16:00:24,1.96,0.456,0.88,-0.072
16:00:25,1.93,0.432,0.912,0.02
16:00:26,1.96,0.388,0.908,-0.224
16:00:27,1.96,0.404,0.9,0.072
16:00:28,1.96,0.408,0.908,-0.116
16:00:29,2,-0.24,0.94,-0.416
16:00:30,1.96,0.072,-0.572,0.444
16:00:31,2,-0.252,-0.564,0.684
16:00:32,2,-0.216,-0.756,0.532
16:00:33,2,-0.02,-0.844,0.424
16:00:34,2,-0.06,-0.588,0.988
16:00:35,2,-0.032,-0.212,0.752
16:00:36,1.96,0,0.172,0.86
16:00:37,1.96,0.004,0.016,0.992
16:00:38,1.93,0,0.032,0.996
16:00:39,1.93,0.004,0.024,0.988
16:00:40,1.9,0.004,0.028,1.004
16:00:41,1.9,0.008,0.02,1
16:00:42,1.9,-0.012,0.016,0.984
16:00:43,1.9,0.008,0.016,0.976
16:00:44,1.9,0.02,0.028,0.992
16:00:45,1.9,0.02,0.024,1.02
16:00:46,1.9,-0.02,0.104,0.988
16:00:47,1.9,0.004,0.016,0.976
16:00:48,1.87,0.012,0.032,0.996
16:00:49,1.9,0.008,0.032,1.012
16:00:50,1.9,0.004,0.004,0.984
16:00:51,1.9,0,0.012,0.988
16:00:52,1.87,0.012,0.012,0.984
16:00:53,1.87,0.016,0.024,1
16:00:54,1.87,0.016,0.032,0.996
16:00:55,1.87,0.012,0.016,0.988
16:00:56,1.87,0.016,0.032,0.992
16:00:57,1.87,-0.004,0.016,0.992
16:00:58,1.87,-0.004,0.016,0.988
16:00:59,1.87,0.016,0.016,0.984
16:01:00,1.87,0.016,0.028,0.992
16:01:01,1.87,0.008,0.028,0.988
16:01:02,1.87,0,0.02,0.988
16:01:03,1.87,0.004,0.024,0.984
16:01:04,1.87,0.012,0.024,0.996
16:01:05,1.87,0.008,0.024,1.004
16:01:06,1.87,0.004,0.02,0.992
16:01:07,1.87,0,0.016,0.98
16:01:08,1.87,0.008,0.016,0.992
16:01:09,1.87,0.016,0.016,0.98
16:01:10,1.87,0.004,0.032,0.996
16:01:11,1.87,0.008,0.028,0.996
16:01:12,1.87,0.008,0.02,0.988
16:01:13,1.87,0.004,0.024,0.996
16:01:14,1.87,0.016,0.032,0.996
16:01:15,1.87,0,0.02,0.992
16:01:16,1.87,0.008,0.02,0.988
16:01:17,1.9,0.008,0.028,0.988
