Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
16:21:00,0.71,-0.008,-0.016,0.888
16:21:01,1.62,0.036,0.068,0.928
16:21:02,1.06,0.152,0.14,0.924
16:21:03,1.18,0.172,0.096,0.908
16:21:04,1.12,-0.46,-0.248,1.452
16:21:05,0.9,0.112,-0.128,0.952
16:21:06,0.84,0.012,0.008,0.924
16:21:07,0.84,0.028,0.004,0.944
16:21:08,0.81,0.024,0,0.936
16:21:09,0.81,0.02,0,0.94
16:21:10,0.78,0.016,-0.004,0.948
16:21:11,0.78,0.028,0.004,0.944
16:21:12,0.81,0.02,-0.008,0.936
16:21:13,0.78,0.016,0,0.936
16:21:14,0.78,0.036,-0.008,0.936
16:21:15,0.78,0.028,0.004,0.928
16:21:16,0.78,0.02,0,0.944
16:21:17,0.78,0.024,0,0.936
16:21:18,0.78,0.028,0.004,0.952
16:21:19,0.78,0.024,-0.004,0.936
16:21:20,0.78,0,-0.004,0.944
16:21:21,0.78,0.028,0,0.928
16:21:22,0.78,0.028,0.012,0.932
16:21:23,0.78,0.024,0,0.936
16:21:24,0.78,0.024,-0.004,0.928
16:21:25,0.78,0.016,0.004,0.932
16:21:26,0.78,0.016,0.008,0.94
16:21:27,0.78,0.028,0.004,0.944
16:21:28,0.78,0.024,0,0.94
16:21:29,0.78,0.028,-0.004,0.94
16:21:30,0.78,0.028,0,0.94
16:21:31,0.78,0.024,-0.008,0.944
16:21:32,0.78,0.02,0,0.94
16:21:33,0.78,0.024,0,0.94
16:21:34,0.78,0.036,0,0.928
16:21:35,0.78,0.024,-0.004,0.924
16:21:36,0.78,0.028,0,0.94
16:21:37,0.62,0.028,0,0.948
16:21:38,0.62,0.028,0,0.932
16:21:39,0.62,0.016,0,0.936
16:21:40,0.65,0.016,0.004,0.932
16:21:41,0.62,0.02,0.004,0.932
16:21:42,0.62,0.02,-0.004,0.936
16:21:43,0.62,0.024,0,0.932
16:21:44,0.65,0.016,-0.004,0.948
16:21:45,0.62,0.036,0,0.936
16:21:46,0.65,0.028,0,0.928
16:21:47,0.62,0.028,0.004,0.94
16:21:48,0.62,0.028,-0.004,0.928
16:21:49,0.62,0.024,0.004,0.928
16:21:50,0.62,0.032,0,0.928
16:21:51,0.62,0.032,0,0.932
16:21:52,0.62,0.024,0.004,0.944
16:21:53,0.62,0.024,0.004,0.936
16:21:54,0.62,0.016,0.004,0.928
16:21:55,0.65,0.016,0.004,0.948
16:21:56,0.65,0.02,0,0.928
16:21:57,0.65,0.024,0,0.936
16:21:58,0.65,0.032,0,0.948
16:21:59,0.65,0.024,0.004,0.94
16:22:00,0.62,0.016,0,0.932
16:22:01,0.62,0.024,0,0.944
16:22:02,0.65,0.024,0,0.944
16:22:03,0.65,0.028,0.004,0.94
16:22:04,0.62,0.016,0,0.936
16:22:05,0.62,0.028,0.008,0.936
16:22:06,0.65,0.024,0,0.92
16:22:07,0.65,0.024,0.012,0.944
16:22:08,0.65,0.032,0,0.936
16:22:09,0.65,0.036,-0.012,0.94
16:22:10,0.65,0.032,0,0.936
16:22:11,0.65,0.04,0,0.94
16:22:12,0.65,0.02,-0.004,0.94
16:22:13,0.62,0.028,0,0.94
16:22:14,0.65,0.032,0,0.94
16:22:15,0.62,0.036,0,0.924
16:22:16,0.65,0.02,0.004,0.944
16:22:17,0.62,0.024,0.004,0.936
16:22:18,0.62,0.024,-0.008,0.936
16:22:19,0.65,0.028,-0.004,0.932
16:22:20,0.65,0.02,0,0.94
16:22:21,0.65,0.02,-0.008,0.94
16:22:22,0.65,0.016,0,0.944
16:22:23,0.65,0.024,0,0.94
16:22:24,0.65,0.02,-0.004,0.928
16:22:25,0.65,0.036,-0.004,0.94
16:22:26,0.62,0.024,0.004,0.944
16:22:27,0.65,0.02,0.004,0.948
16:22:28,0.65,0.028,0,0.932
16:22:29,0.62,0.02,0.004,0.92
16:22:30,0.65,0.02,0,0.936
16:22:31,0.65,0.036,-0.004,0.936
16:22:32,0.62,0.024,-0.004,0.94
16:22:33,0.65,0.032,-0.008,0.92
16:22:34,0.65,0.028,-0.004,0.94
16:22:35,0.65,0.024,0,0.952
16:22:36,0.65,0.028,0,0.944
16:22:37,0.65,0.024,0,0.956
16:22:38,0.65,0.02,0,0.944
16:22:39,0.65,0.032,0.008,0.94
16:22:40,0.65,0.02,-0.004,0.948
16:22:41,0.65,0.02,0,0.932
16:22:42,0.65,0.036,0,0.928
16:22:43,0.62,0.032,0,0.94
16:22:44,0.65,0.032,0,0.936
16:22:45,0.65,0.02,0,0.944
16:22:46,0.65,0.028,0.008,0.936
16:22:47,0.65,0.024,0.004,0.948
16:22:48,0.62,0.028,0.004,0.928
16:22:49,0.65,0.024,0,0.936
16:22:50,0.65,0.032,0,0.94
16:22:51,0.62,0.024,0.004,0.94
16:22:52,0.62,0.032,0,0.932
16:22:53,0.65,0.028,0,0.928
16:22:54,0.62,0.02,0,0.94
16:22:55,0.62,0.036,0.004,0.96
16:22:56,0.65,0.028,0.004,0.936
16:22:57,0.65,0.028,0,0.944
16:22:58,0.65,0.032,-0.004,0.94
16:22:59,0.62,0.028,0.004,0.944
16:23:00,0.65,0.02,-0.004,0.932
16:23:01,0.65,0.024,0,0.936
16:23:02,0.65,0.076,0.076,0.952
16:23:03,1.59,0.776,-0.244,0.148
16:23:04,0.93,-0.004,-0.004,0.944
16:23:05,0.87,0,-0.008,0.944
16:23:06,0.84,-0.004,-0.008,0.944
16:23:07,0.84,-0.236,0.12,0.296
16:23:08,0.81,0.004,0.012,0.932
16:23:09,0.81,0,0.008,0.948
16:23:10,0.81,-0.008,0.004,0.944
16:23:11,0.78,-0.004,0.008,0.936
16:23:12,0.62,-0.012,0.008,0.928
16:23:13,0.62,-0.008,0.004,0.952
16:23:14,0.62,-0.004,0.008,0.944
16:23:15,0.62,-0.008,0,0.932
