"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.lying",1,"1.Resting","00:00:00.05","2016-08-09 09:59:03",0.87,-0.196,-0.208,0.904,"lying","Resting","land","land","lying",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15702","2016-08-09 09:59:03",0.87,-0.2,-0.204,0.904,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15703","2016-08-09 09:59:03",0.87,-0.204,-0.204,0.9,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15704","2016-08-09 09:59:03",0.87,-0.196,-0.196,0.908,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15705","2016-08-09 09:59:03",0.87,-0.192,-0.2,0.916,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15706","2016-08-09 09:59:03",0.87,-0.192,-0.204,0.904,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15707","2016-08-09 09:59:03",0.87,-0.2,-0.2,0.896,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15708","2016-08-09 09:59:03",0.87,-0.196,-0.2,0.9,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15709","2016-08-09 09:59:03",0.87,-0.2,-0.208,0.9,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15710","2016-08-09 09:59:03",0.87,-0.2,-0.212,0.904,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15711","2016-08-09 09:59:03",0.87,-0.196,-0.212,0.888,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15712","2016-08-09 09:59:03",0.87,-0.196,-0.208,0.9,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15713","2016-08-09 09:59:03",0.87,-0.184,-0.204,0.9,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15714","2016-08-09 09:59:03",0.87,-0.192,-0.2,0.908,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15715","2016-08-09 09:59:03",0.87,-0.192,-0.2,0.9,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15716","2016-08-09 09:59:03",0.87,-0.184,-0.208,0.908,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15717","2016-08-09 09:59:03",0.87,-0.188,-0.192,0.908,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15718","2016-08-09 09:59:03",0.87,-0.18,-0.2,0.908,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15719","2016-08-09 09:59:03",0.87,-0.184,-0.196,0.908,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15720","2016-08-09 09:59:03",0.87,-0.196,-0.196,0.904,"lying","Resting","land","land","",2016-08-09 09:59:03
1,"1.lying",1,"1.Resting","15721","2016-08-09 09:59:04",0.87,-0.2,-0.208,0.892,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15722","2016-08-09 09:59:04",0.87,-0.208,-0.208,0.896,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15723","2016-08-09 09:59:04",0.87,-0.2,-0.208,0.896,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15724","2016-08-09 09:59:04",0.87,-0.196,-0.216,0.896,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15725","2016-08-09 09:59:04",0.87,-0.196,-0.2,0.904,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15726","2016-08-09 09:59:04",0.87,-0.208,-0.2,0.9,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15727","2016-08-09 09:59:04",0.87,-0.212,-0.2,0.904,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15728","2016-08-09 09:59:04",0.87,-0.204,-0.208,0.908,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15729","2016-08-09 09:59:04",0.87,-0.196,-0.204,0.9,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15730","2016-08-09 09:59:04",0.87,-0.2,-0.204,0.896,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15731","2016-08-09 09:59:04",0.87,-0.208,-0.208,0.896,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15732","2016-08-09 09:59:04",0.87,-0.2,-0.2,0.892,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15733","2016-08-09 09:59:04",0.87,-0.208,-0.204,0.9,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15734","2016-08-09 09:59:04",0.87,-0.208,-0.204,0.904,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15735","2016-08-09 09:59:04",0.87,-0.2,-0.204,0.892,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15736","2016-08-09 09:59:04",0.87,-0.196,-0.2,0.9,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15737","2016-08-09 09:59:04",0.87,-0.192,-0.204,0.904,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15738","2016-08-09 09:59:04",0.87,-0.204,-0.208,0.908,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15739","2016-08-09 09:59:04",0.87,-0.2,-0.204,0.908,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15740","2016-08-09 09:59:04",0.84,-0.192,-0.2,0.9,"lying","Resting","land","land","",2016-08-09 09:59:04
1,"1.lying",1,"1.Resting","15741","2016-08-09 09:59:05",0.87,-0.192,-0.204,0.9,"lying","Resting","land","land","",2016-08-09 09:59:05
1,"1.lying",1,"1.Resting","15742","2016-08-09 09:59:05",0.87,-0.196,-0.204,0.896,"lying","Resting","land","land","",2016-08-09 09:59:05
1,"1.lying",1,"1.Resting","15743","2016-08-09 09:59:05",0.87,-0.192,-0.216,0.904,"lying","Resting","land","land","",2016-08-09 09:59:05
1,"1.lying",1,"1.Resting","15744","2016-08-09 09:59:05",0.87,-0.208,-0.204,0.912,"lying","Resting","land","land","",2016-08-09 09:59:05
1,"1.lying",1,"1.Resting","15745","2016-08-09 09:59:05",0.87,-0.204,-0.208,0.92,"lying","Resting","land","land","",2016-08-09 09:59:05
1,"1.lying",1,"1.Resting","15746","2016-08-09 09:59:05",0.84,-0.204,-0.22,0.912,"lying","Resting","land","land","",2016-08-09 09:59:05
1,"1.lying",1,"1.Resting","15747","2016-08-09 09:59:05",0.87,-0.2,-0.212,0.908,"lying","Resting","land","land","",2016-08-09 09:59:05
1,"1.lying",1,"1.Resting","15748","2016-08-09 09:59:05",0.87,-0.18,-0.212,0.928,"lying","Resting","land","land","",2016-08-09 09:59:05
1,"1.lying",1,"1.Resting","15749","2016-08-09 09:59:05",0.87,-0.204,-0.196,0.92,"lying","Resting","land","land","",2016-08-09 09:59:05
1,"1.lying",1,"1.Resting","15750","2016-08-09 09:59:05",0.87,-0.204,-0.192,0.912,"lying","Resting","land","land","",2016-08-09 09:59:05
1,"1.lying",1,"1.Resting","15751","2016-08-09 09:59:05",0.87,-0.192,-0.184,0.884,"lying","Resting","land","land","",2016-08-09 09:59:05
1,"1.lying",1,"1.Resting","15752","2016-08-09 09:59:05",0.87,-0.176,-0.208,0.9,"lying","Resting","land","land","",2016-08-09 09:59:05
1,"1.lying",1,"1.Resting","15753","2016-08-09 09:59:05",0.87,-0.156,-0.228,0.928,"lying","Resting","land","land","",2016-08-09 09:59:05
1,"1.lying",1,"1.Resting","15754","2016-08-09 09:59:05",0.87,-0.212,-0.228,0.968,"lying","Resting","land","land","",2016-08-09 09:59:05
1,"1.lying",1,"1.Resting","15755","2016-08-09 09:59:05",0.87,-0.296,-0.224,0.98,"lying","Resting","land","land","",2016-08-09 09:59:05
