"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.in",1,"1.Other","00:00:00.04","2016-08-09 09:20:49",0.43,0.232,-0.584,0.908,"in","Other","water","surface","in",2016-08-09 09:20:49
1,"1.in",1,"1.Other","00:00:00.00","2016-08-09 09:20:49",0.43,0.252,-0.488,0.916,"in","Other","water","surface","",2016-08-09 09:20:49
1,"1.in",1,"1.Other","17615","2016-08-09 09:20:49",0.43,0.284,-0.364,0.912,"in","Other","water","surface","",2016-08-09 09:20:49
1,"1.in",1,"1.Other","17616","2016-08-09 09:20:49",0.4,0.292,-0.252,0.872,"in","Other","water","surface","",2016-08-09 09:20:49
1,"1.in",1,"1.Other","17617","2016-08-09 09:20:49",0.43,0.3,-0.128,0.896,"in","Other","water","surface","",2016-08-09 09:20:49
1,"1.in",1,"1.Other","17618","2016-08-09 09:20:49",0.43,0.344,-0.016,0.944,"in","Other","water","surface","",2016-08-09 09:20:49
1,"1.in",1,"1.Other","17619","2016-08-09 09:20:49",0.4,0.348,0.06,0.924,"in","Other","water","surface","",2016-08-09 09:20:49
1,"1.in",1,"1.Other","17620","2016-08-09 09:20:49",0.43,0.308,0.048,0.94,"in","Other","water","surface","",2016-08-09 09:20:49
1,"1.in",1,"1.Other","17621","2016-08-09 09:20:49",0.43,0.284,0.052,0.932,"in","Other","water","surface","",2016-08-09 09:20:49
1,"1.in",1,"1.Other","17622","2016-08-09 09:20:50",0.43,0.324,0.076,0.9,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17623","2016-08-09 09:20:50",0.4,0.332,0.012,0.892,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17624","2016-08-09 09:20:50",0.4,0.344,-0.02,0.912,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17625","2016-08-09 09:20:50",0.4,0.332,-0.008,0.86,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17626","2016-08-09 09:20:50",0.4,0.296,0.036,0.86,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17627","2016-08-09 09:20:50",0.4,0.236,0.14,0.88,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17628","2016-08-09 09:20:50",0.4,0.228,0.228,0.88,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17629","2016-08-09 09:20:50",0.4,0.232,0.252,0.848,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17630","2016-08-09 09:20:50",0.4,0.248,0.292,0.868,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17631","2016-08-09 09:20:50",0.4,0.24,0.34,0.888,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17632","2016-08-09 09:20:50",0.4,0.196,0.368,0.864,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17633","2016-08-09 09:20:50",0.4,0.188,0.38,0.884,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17634","2016-08-09 09:20:50",0.4,0.184,0.424,0.872,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17635","2016-08-09 09:20:50",0.4,0.176,0.448,0.836,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17636","2016-08-09 09:20:50",0.4,0.184,0.444,0.832,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17637","2016-08-09 09:20:50",0.4,0.164,0.44,0.836,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17638","2016-08-09 09:20:50",0.4,0.168,0.436,0.84,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17639","2016-08-09 09:20:50",0.4,0.152,0.432,0.832,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17640","2016-08-09 09:20:50",0.4,0.132,0.424,0.856,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17641","2016-08-09 09:20:50",0.4,0.108,0.412,0.876,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17642","2016-08-09 09:20:50",0.4,0.072,0.384,0.868,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17643","2016-08-09 09:20:50",0.4,0.04,0.352,0.896,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17644","2016-08-09 09:20:50",0.4,0.032,0.332,0.912,"in","Other","water","surface","",2016-08-09 09:20:50
1,"1.in",1,"1.Other","17645","2016-08-09 09:20:50",0.4,0.016,0.332,0.916,"in","Other","water","surface","",2016-08-09 09:20:50
