number,behaviour_event,value,type_event,fps,time,depth,x,y,z,behaviour,type,location,place,raw,date
1,1.still,1,1.Resting,00:00.0,25:48.2,0.96,0.78,-0.192,0.548,still,Resting,water,surface,still,14:25:48
1,1.still,1,1.Resting,00:00.0,25:48.2,0.96,0.776,-0.184,0.54,still,Resting,water,surface,,14:25:48
1,1.still,1,1.Resting,5249,25:48.3,0.96,0.764,-0.188,0.528,still,Resting,water,surface,,14:25:48
1,1.still,1,1.Resting,5250,25:48.3,0.96,0.76,-0.212,0.52,still,Resting,water,surface,,14:25:48
1,1.still,1,1.Resting,5251,25:48.4,1,0.768,-0.272,0.524,still,Resting,water,surface,,14:25:48
1,1.still,1,1.Resting,5252,25:48.4,1,0.792,-0.28,0.544,still,Resting,water,surface,,14:25:48
1,1.still,1,1.Resting,5253,25:48.4,1,0.808,-0.244,0.54,still,Resting,water,surface,,14:25:48
1,1.still,1,1.Resting,5254,25:48.5,1,0.812,-0.2,0.524,still,Resting,water,surface,,14:25:48
1,1.still,1,1.Resting,5255,25:48.5,1,0.788,-0.188,0.52,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5256,25:48.6,1,0.776,-0.212,0.516,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5257,25:48.6,1,0.772,-0.232,0.524,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5258,25:48.6,1,0.784,-0.24,0.512,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5259,25:48.7,1,0.792,-0.232,0.5,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5260,25:48.7,1,0.788,-0.24,0.512,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5261,25:48.8,1,0.784,-0.28,0.516,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5262,25:48.8,1,0.76,-0.3,0.544,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5263,25:48.8,0.96,0.756,-0.3,0.548,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5264,25:48.9,1,0.748,-0.324,0.536,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5265,25:48.9,0.96,0.744,-0.356,0.548,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5266,25:49.0,0.96,0.744,-0.348,0.536,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5267,25:49.0,1,0.744,-0.316,0.52,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5268,25:49.0,1,0.752,-0.304,0.544,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5269,25:49.1,1,0.752,-0.324,0.58,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5270,25:49.1,1,0.724,-0.364,0.608,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5271,25:49.2,1,0.708,-0.416,0.592,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5272,25:49.2,1,0.692,-0.464,0.572,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5273,25:49.2,1,0.664,-0.5,0.584,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5274,25:49.3,0.96,0.652,-0.52,0.592,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5275,25:49.3,0.96,0.636,-0.512,0.58,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5276,25:49.4,0.96,0.632,-0.504,0.564,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5277,25:49.4,0.96,0.624,-0.484,0.568,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5278,25:49.4,0.96,0.6,-0.476,0.576,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5279,25:49.5,0.96,0.58,-0.46,0.592,still,Resting,water,surface,,14:25:49
1,1.still,1,1.Resting,5280,25:49.5,0.96,0.572,-0.416,0.608,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5281,25:49.6,0.96,0.552,-0.436,0.62,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5282,25:49.6,0.96,0.52,-0.452,0.636,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5283,25:49.6,0.96,0.488,-0.452,0.624,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5284,25:49.7,0.96,0.488,-0.452,0.64,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5285,25:49.7,0.96,0.488,-0.448,0.644,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5286,25:49.8,0.93,0.456,-0.412,0.664,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5287,25:49.8,0.96,0.452,-0.428,0.656,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5288,25:49.8,0.96,0.46,-0.448,0.672,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5289,25:49.9,0.96,0.484,-0.452,0.656,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5290,25:49.9,0.96,0.508,-0.44,0.664,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5291,25:50.0,0.96,0.492,-0.448,0.644,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5292,25:50.0,0.96,0.468,-0.46,0.676,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5293,25:50.0,0.96,0.452,-0.496,0.652,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5294,25:50.1,1,0.444,-0.52,0.636,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5295,25:50.1,1,0.464,-0.548,0.624,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5296,25:50.2,1,0.48,-0.564,0.628,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5297,25:50.2,1.03,0.488,-0.592,0.6,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5298,25:50.2,1.03,0.5,-0.616,0.588,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5299,25:50.3,1.03,0.508,-0.648,0.58,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5300,25:50.3,1.03,0.524,-0.656,0.584,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5301,25:50.4,1.03,0.536,-0.664,0.568,still,Resting,water,surface,,14:25:50
1,1.still,1,1.Resting,5302,25:50.4,1.06,0.544,-0.68,0.548,still,Resting,water,underwater,,14:25:50
1,1.still,1,1.Resting,5303,25:50.4,1.06,0.552,-0.684,0.552,still,Resting,water,underwater,,14:25:50
1,1.still,1,1.Resting,5304,25:50.5,1.06,0.564,-0.664,0.556,still,Resting,water,underwater,,14:25:50
1,1.still,1,1.Resting,5305,25:50.5,1.06,0.556,-0.664,0.56,still,Resting,water,underwater,,14:25:51
1,1.still,1,1.Resting,5306,25:50.6,1.06,0.56,-0.664,0.532,still,Resting,water,underwater,,14:25:51
1,1.still,1,1.Resting,5307,25:50.6,1.06,0.592,-0.656,0.512,still,Resting,water,underwater,,14:25:51
1,1.still,1,1.Resting,5308,25:50.6,1.06,0.624,-0.672,0.56,still,Resting,water,underwater,,14:25:51
1,1.still,1,1.Resting,5309,25:50.7,1.06,0.632,-0.628,0.592,still,Resting,water,underwater,,14:25:51
1,1.still,1,1.Resting,5310,25:50.7,1.06,0.604,-0.568,0.608,still,Resting,water,underwater,,14:25:51
1,1.still,1,1.Resting,5311,25:50.8,1.03,0.58,-0.488,0.604,still,Resting,water,surface,,14:25:51
1,1.still,1,1.Resting,5312,25:50.8,1.03,0.592,-0.44,0.584,still,Resting,water,surface,,14:25:51
1,1.still,1,1.Resting,5313,25:50.8,1.03,0.616,-0.392,0.596,still,Resting,water,surface,,14:25:51
1,1.still,1,1.Resting,5314,25:50.9,1.03,0.624,-0.348,0.612,still,Resting,water,surface,,14:25:51
1,1.still,1,1.Resting,5315,25:50.9,1.03,0.604,-0.32,0.608,still,Resting,water,surface,,14:25:51
1,1.still,1,1.Resting,5316,25:51.0,1.03,0.604,-0.308,0.632,still,Resting,water,surface,,14:25:51
1,1.still,1,1.Resting,5317,25:51.0,1.03,0.628,-0.3,0.64,still,Resting,water,surface,,14:25:51
