"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.sitting",1,"1.Resting","00:00:00.05","2016-08-09 15:04:45",0.68,0.827,-0.169,0.551,"sitting","Resting","land","land","sitting",2016-08-09 15:04:45
1,"1.sitting",1,"1.Resting","7578","2016-08-09 15:04:45",0.68,0.826,-0.19,0.542,"sitting","Resting","land","land","",2016-08-09 15:04:45
1,"1.sitting",1,"1.Resting","7579","2016-08-09 15:04:45",0.68,0.828,-0.201,0.542,"sitting","Resting","land","land","",2016-08-09 15:04:45
1,"1.sitting",1,"1.Resting","7580","2016-08-09 15:04:45",0.68,0.829,-0.212,0.54,"sitting","Resting","land","land","",2016-08-09 15:04:45
1,"1.sitting",1,"1.Resting","7581","2016-08-09 15:04:45",0.68,0.822,-0.215,0.537,"sitting","Resting","land","land","",2016-08-09 15:04:45
1,"1.sitting",1,"1.Resting","7582","2016-08-09 15:04:45",0.68,0.821,-0.212,0.538,"sitting","Resting","land","land","",2016-08-09 15:04:45
1,"1.sitting",1,"1.Resting","7583","2016-08-09 15:04:45",0.68,0.817,-0.212,0.542,"sitting","Resting","land","land","",2016-08-09 15:04:45
1,"1.sitting",1,"1.Resting","7584","2016-08-09 15:04:45",0.65,0.82,-0.222,0.535,"sitting","Resting","land","land","",2016-08-09 15:04:45
1,"1.sitting",1,"1.Resting","7585","2016-08-09 15:04:45",0.68,0.826,-0.222,0.554,"sitting","Resting","land","land","",2016-08-09 15:04:45
1,"1.sitting",1,"1.Resting","7586","2016-08-09 15:04:46",0.68,0.81,-0.228,0.537,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7587","2016-08-09 15:04:46",0.68,0.809,-0.227,0.553,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7588","2016-08-09 15:04:46",0.68,0.809,-0.234,0.539,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7589","2016-08-09 15:04:46",0.68,0.804,-0.229,0.545,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7590","2016-08-09 15:04:46",0.68,0.809,-0.233,0.566,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7591","2016-08-09 15:04:46",0.68,0.809,-0.245,0.551,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7592","2016-08-09 15:04:46",0.68,0.814,-0.239,0.55,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7593","2016-08-09 15:04:46",0.68,0.804,-0.232,0.542,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7594","2016-08-09 15:04:46",0.68,0.809,-0.235,0.552,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7595","2016-08-09 15:04:46",0.68,0.812,-0.241,0.541,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7596","2016-08-09 15:04:46",0.68,0.811,-0.243,0.537,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7597","2016-08-09 15:04:46",0.68,0.815,-0.244,0.536,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7598","2016-08-09 15:04:46",0.68,0.816,-0.246,0.54,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7599","2016-08-09 15:04:46",0.68,0.814,-0.246,0.541,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7600","2016-08-09 15:04:46",0.68,0.814,-0.249,0.541,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7601","2016-08-09 15:04:46",0.68,0.813,-0.242,0.532,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7602","2016-08-09 15:04:46",0.68,0.814,-0.243,0.526,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7603","2016-08-09 15:04:46",0.68,0.82,-0.25,0.527,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7604","2016-08-09 15:04:46",0.68,0.822,-0.24,0.53,"sitting","Resting","land","land","",2016-08-09 15:04:46
1,"1.sitting",1,"1.Resting","7605","2016-08-09 15:04:46",0.68,0.821,-0.243,0.529,"sitting","Resting","land","land","",2016-08-09 15:04:46
