"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.still",1,"1.Resting","00:00:00.04","2016-08-09 15:30:22",0.9,0.564,-0.516,0.652,"still","Resting","water","surface","still",2016-08-09 15:30:22
1,"1.still",1,"1.Resting","00:00:00.00","2016-08-09 15:30:23",0.9,0.536,-0.552,0.656,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","00:00:00.00","2016-08-09 15:30:23",0.9,0.524,-0.536,0.676,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","16990","2016-08-09 15:30:23",0.9,0.52,-0.524,0.648,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","16991","2016-08-09 15:30:23",0.9,0.476,-0.52,0.648,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","16992","2016-08-09 15:30:23",0.9,0.436,-0.492,0.656,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","16993","2016-08-09 15:30:23",0.93,0.408,-0.484,0.684,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","16994","2016-08-09 15:30:23",0.9,0.376,-0.556,0.696,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","16995","2016-08-09 15:30:23",0.9,0.412,-0.712,0.672,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","16996","2016-08-09 15:30:23",0.93,0.388,-0.716,0.656,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","16997","2016-08-09 15:30:23",0.93,0.36,-0.7,0.648,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","16998","2016-08-09 15:30:23",0.93,0.308,-0.728,0.672,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","16999","2016-08-09 15:30:23",0.93,0.22,-0.74,0.692,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","17000","2016-08-09 15:30:23",0.93,0.208,-0.74,0.688,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","17001","2016-08-09 15:30:23",0.93,0.236,-0.716,0.668,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","17002","2016-08-09 15:30:23",0.93,0.24,-0.668,0.672,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","17003","2016-08-09 15:30:23",0.93,0.244,-0.62,0.668,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","17004","2016-08-09 15:30:23",0.93,0.208,-0.572,0.708,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","17005","2016-08-09 15:30:23",0.93,0.184,-0.584,0.728,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","17006","2016-08-09 15:30:23",0.93,0.188,-0.596,0.736,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","17007","2016-08-09 15:30:23",0.93,0.188,-0.552,0.78,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","17008","2016-08-09 15:30:23",0.93,0.212,-0.54,0.772,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","17009","2016-08-09 15:30:23",0.93,0.2,-0.56,0.772,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","17010","2016-08-09 15:30:23",0.93,0.188,-0.58,0.764,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","17011","2016-08-09 15:30:23",0.93,0.216,-0.588,0.764,"still","Resting","water","surface","",2016-08-09 15:30:23
1,"1.still",1,"1.Resting","17012","2016-08-09 15:30:24",0.9,0.244,-0.612,0.72,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17013","2016-08-09 15:30:24",0.93,0.244,-0.632,0.68,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17014","2016-08-09 15:30:24",0.93,0.232,-0.608,0.712,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17015","2016-08-09 15:30:24",0.93,0.22,-0.572,0.688,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17016","2016-08-09 15:30:24",0.93,0.204,-0.612,0.692,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17017","2016-08-09 15:30:24",0.93,0.232,-0.7,0.66,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17018","2016-08-09 15:30:24",0.93,0.248,-0.78,0.648,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17019","2016-08-09 15:30:24",0.93,0.276,-0.78,0.632,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17020","2016-08-09 15:30:24",0.93,0.276,-0.752,0.636,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17021","2016-08-09 15:30:24",0.93,0.28,-0.736,0.632,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17022","2016-08-09 15:30:24",0.93,0.292,-0.748,0.6,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17023","2016-08-09 15:30:24",0.93,0.3,-0.728,0.588,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17024","2016-08-09 15:30:24",0.93,0.336,-0.708,0.596,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17025","2016-08-09 15:30:24",0.93,0.352,-0.7,0.608,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17026","2016-08-09 15:30:24",0.93,0.376,-0.704,0.6,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17027","2016-08-09 15:30:24",0.93,0.388,-0.696,0.592,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17028","2016-08-09 15:30:24",0.93,0.392,-0.7,0.604,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17029","2016-08-09 15:30:24",0.93,0.408,-0.692,0.616,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17030","2016-08-09 15:30:24",0.93,0.416,-0.668,0.6,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17031","2016-08-09 15:30:24",0.93,0.42,-0.656,0.596,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17032","2016-08-09 15:30:24",0.93,0.436,-0.652,0.604,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17033","2016-08-09 15:30:24",0.93,0.432,-0.632,0.644,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17034","2016-08-09 15:30:24",0.93,0.476,-0.592,0.624,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17035","2016-08-09 15:30:24",0.93,0.496,-0.576,0.64,"still","Resting","water","surface","",2016-08-09 15:30:24
1,"1.still",1,"1.Resting","17036","2016-08-09 15:30:25",0.93,0.504,-0.544,0.628,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17037","2016-08-09 15:30:25",0.93,0.504,-0.504,0.68,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17038","2016-08-09 15:30:25",0.93,0.516,-0.468,0.684,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17039","2016-08-09 15:30:25",0.93,0.516,-0.476,0.652,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17040","2016-08-09 15:30:25",0.93,0.524,-0.452,0.66,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17041","2016-08-09 15:30:25",0.93,0.54,-0.448,0.676,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17042","2016-08-09 15:30:25",0.9,0.544,-0.42,0.688,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17043","2016-08-09 15:30:25",0.9,0.584,-0.404,0.672,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17044","2016-08-09 15:30:25",0.9,0.612,-0.348,0.636,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17045","2016-08-09 15:30:25",0.87,0.604,-0.3,0.604,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17046","2016-08-09 15:30:25",0.87,0.576,-0.324,0.66,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17047","2016-08-09 15:30:25",0.87,0.548,-0.404,0.672,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17048","2016-08-09 15:30:25",0.84,0.516,-0.444,0.664,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17049","2016-08-09 15:30:25",0.87,0.528,-0.468,0.64,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17050","2016-08-09 15:30:25",0.9,0.548,-0.496,0.668,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17051","2016-08-09 15:30:25",0.9,0.532,-0.504,0.632,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17052","2016-08-09 15:30:25",0.9,0.536,-0.512,0.604,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17053","2016-08-09 15:30:25",0.9,0.576,-0.552,0.616,"still","Resting","water","surface","",2016-08-09 15:30:25
1,"1.still",1,"1.Resting","17054","2016-08-09 15:30:25",0.9,0.6,-0.544,0.564,"still","Resting","water","surface","",2016-08-09 15:30:25
