"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.still",1,"1.Resting",8001,NA,2.18,0.648,-0.004,0.696,"still","Resting","water","underwater","still",NA
1,"1.still",1,"1.Resting",8002,NA,2.21,0.768,-0.004,0.748,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8003,NA,2.21,0.752,0.032,0.724,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8004,NA,2.21,0.796,0.048,0.688,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8005,NA,2.21,0.848,0.02,0.68,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8006,NA,2.18,0.756,-0.02,0.664,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8007,NA,2.21,0.648,-0.06,0.664,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8008,NA,2.21,0.648,-0.072,0.64,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8009,NA,2.21,0.676,-0.076,0.628,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8010,NA,2.21,0.7,-0.108,0.616,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8011,NA,2.21,0.736,-0.148,0.62,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8012,NA,2.21,0.728,-0.14,0.6,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8013,NA,2.21,0.724,-0.12,0.616,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8014,NA,2.21,0.7,-0.164,0.64,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8015,NA,2.21,0.68,-0.228,0.632,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8016,NA,2.25,0.66,-0.276,0.632,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8017,NA,2.25,0.692,-0.284,0.672,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8018,NA,2.25,0.672,-0.268,0.676,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8019,NA,2.25,0.644,-0.268,0.712,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8020,NA,2.25,0.656,-0.32,0.72,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8021,NA,2.25,0.66,-0.344,0.732,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8022,NA,2.25,0.652,-0.364,0.712,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8023,NA,2.28,0.656,-0.36,0.728,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8024,NA,2.28,0.644,-0.368,0.74,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8025,NA,2.25,0.652,-0.34,0.792,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8026,NA,2.25,0.668,-0.272,0.78,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8027,NA,2.25,0.676,-0.16,0.752,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8028,NA,2.25,0.696,-0.1,0.724,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8029,NA,2.25,0.68,-0.096,0.68,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8030,NA,2.25,0.652,-0.06,0.712,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8031,NA,2.21,0.644,-0.04,0.704,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8032,NA,2.25,0.688,-0.056,0.744,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8033,NA,2.21,0.748,-0.028,0.74,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8034,NA,2.21,0.74,-0.04,0.672,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8035,NA,2.21,0.68,-0.052,0.632,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8036,NA,2.18,0.628,-0.032,0.696,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8037,NA,2.18,0.588,-0.028,0.712,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8038,NA,2.18,0.588,-0.036,0.656,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8039,NA,2.18,0.568,-0.024,0.632,"still","Resting","water","underwater","",NA
1,"1.still",1,"1.Resting",8040,NA,2.18,0.548,-0.064,0.66,"still","Resting","water","underwater","",NA
