"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.playing",1,"1.Other","00:00:00.04","2016-08-09 16:25:37",4.62,0.2,1.34,0.356,"playing","Other","water","underwater","playing",2016-08-09 16:25:37
1,"1.playing",1,"1.Other","00:00:00.00","2016-08-09 16:25:37",4.62,0.372,1.48,0.532,"playing","Other","water","underwater","",2016-08-09 16:25:37
1,"1.playing",1,"1.Other","24920","2016-08-09 16:25:37",4.65,0.876,1.244,0.92,"playing","Other","water","underwater","",2016-08-09 16:25:37
1,"1.playing",1,"1.Other","24921","2016-08-09 16:25:37",4.62,1.016,0.728,0.748,"playing","Other","water","underwater","",2016-08-09 16:25:37
1,"1.playing",1,"1.Other","24922","2016-08-09 16:25:37",4.68,1.168,0.952,1.208,"playing","Other","water","underwater","",2016-08-09 16:25:37
1,"1.playing",1,"1.Other","24923","2016-08-09 16:25:37",4.59,0.836,0.632,1.228,"playing","Other","water","underwater","",2016-08-09 16:25:37
1,"1.playing",1,"1.Other","24924","2016-08-09 16:25:37",4.53,0.632,0.084,0.924,"playing","Other","water","underwater","",2016-08-09 16:25:37
1,"1.playing",1,"1.Other","24925","2016-08-09 16:25:37",4.43,0.312,0.18,0.92,"playing","Other","water","underwater","",2016-08-09 16:25:37
1,"1.playing",1,"1.Other","24926","2016-08-09 16:25:37",4.37,-0.136,0.224,0.468,"playing","Other","water","underwater","",2016-08-09 16:25:37
1,"1.playing",1,"1.Other","24927","2016-08-09 16:25:37",4.34,-0.064,0.644,-0.14,"playing","Other","water","underwater","",2016-08-09 16:25:37
1,"1.playing",1,"1.Other","24928","2016-08-09 16:25:37",4.34,0.14,1.104,-0.16,"playing","Other","water","underwater","",2016-08-09 16:25:37
1,"1.playing",1,"1.Other","24929","2016-08-09 16:25:38",4.31,-0.02,1.232,-0.28,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24930","2016-08-09 16:25:38",4.28,-0.084,1.276,-0.38,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24931","2016-08-09 16:25:38",4.28,0.096,0.88,-0.228,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24932","2016-08-09 16:25:38",4.37,0.144,1.012,-0.068,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24933","2016-08-09 16:25:38",4.34,0.344,1.112,0.024,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24934","2016-08-09 16:25:38",4.4,0.38,1.284,0.428,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24935","2016-08-09 16:25:38",4.34,0.596,1.452,0.58,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24936","2016-08-09 16:25:38",4.25,0.612,1.28,0.612,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24937","2016-08-09 16:25:38",4.06,0.452,1.512,0.488,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24938","2016-08-09 16:25:38",4.09,0.28,0.964,0.068,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24939","2016-08-09 16:25:38",4.25,0.152,0.692,0.484,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24940","2016-08-09 16:25:38",4.12,0.32,1.192,0.024,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24941","2016-08-09 16:25:38",4.21,0.004,1.156,-0.112,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24942","2016-08-09 16:25:38",4.25,0.056,1.208,-0.104,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24943","2016-08-09 16:25:38",4.15,-0.152,1.424,-0.408,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24944","2016-08-09 16:25:38",4.28,-0.872,1.564,0.408,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24945","2016-08-09 16:25:38",4.28,-0.052,0.912,0.34,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24946","2016-08-09 16:25:38",4.25,0.496,0.736,0.744,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24947","2016-08-09 16:25:38",4.09,0.18,1.596,0.296,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24948","2016-08-09 16:25:38",3.93,0.076,1.464,-0.072,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24949","2016-08-09 16:25:38",3.93,-0.28,1.272,0.148,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24950","2016-08-09 16:25:38",3.93,-0.34,1.1,-0.02,"playing","Other","water","underwater","",2016-08-09 16:25:38
1,"1.playing",1,"1.Other","24951","2016-08-09 16:25:38",4,-0.284,1.048,0.208,"playing","Other","water","underwater","",2016-08-09 16:25:38
