name,id,id2,o2,temp,co2,fr_c,wvp,bp,vo2,data_auc,timediff,vo2_auc,place,date,type.x,type.y,smr,smr_total,smr_timediff,smr_auc,Age,Place,Gender,species,time_swum,weight,rmr,lengths,strokes,distance,speed,cot
April,April2014-03-07,April_41705_AMR1,0.203641054,22.60457292,-4.76E-05,293.1877305,2.637406146,102.0454153,2.151013838,165.4135013,77,2.14822729,UWW,07/03/14,AMR1,1,0.536767675,73.12429203,136,0.537678618,7,UWW,Female,ASL,83,56,0.48233,,,,,
April,April2014-03-07,April_41705_AMR2,0.206825982,22.64199045,-4.76E-05,293.266753,2.624198363,102.0424683,0.980346221,143.4518602,146,0.982546988,UWW,07/03/14,AMR2,0,0.536767675,73.12429203,136,0.537678618,7,UWW,Female,ASL,36,56,0.48233,,,,,
April,April2014-03-14,April_41712_AMR1,0.205249691,23.40058824,-4.67E-05,292.9705795,2.730120212,101.6620228,1.559118952,158.1745906,101,1.566085055,UWW,14/03/14,AMR1,1,0.767740417,88.17566922,115,0.76674495,7,UWW,Female,ASL,92,56,0.48233,11,NA,176,1.913043478,3.758263228
April,April2014-03-14,April_41712_AMR2,0.206058066,23.44609855,-4.63E-05,292.9385359,2.749482426,101.657507,1.262069616,156.52964,124,1.262335806,UWW,14/03/14,AMR2,0,0.767740417,88.17566922,115,0.76674495,7,UWW,Female,ASL,69,56,0.48233,10,NA,160,2.31884058,4.903987014
April,April2014-03-15,April_41713_AMR1,0.206124126,22.9235,-3.24E-05,293.0613074,2.706835887,101.7805297,1.238280192,143.9392798,116,1.24085586,UWW,15/03/14,AMR1,1,0.685510701,122.7019408,179,0.685485703,7,UWW,Female,ASL,99,56,0.48233,11,NA,176,1.777777778,3.729933886
April,April2014-03-15,April_41713_AMR2,0.206217307,22.89369792,-2.99E-05,292.929224,2.727415274,101.7666976,1.203276513,138.474205,115,1.204123522,UWW,15/03/14,AMR2,0,0.685510701,122.7019408,179,0.685485703,7,UWW,Female,ASL,97,56,0.48233,8,NA,128,1.319587629,5.04509456
April,April2014-03-19,April_41717_AMR1,0.204838048,23.37939894,0.000102842,292.9989743,2.78453066,102.2054074,1.710234711,128.5404239,75,1.713872319,UWW,19/03/14,AMR1,1,0.889977409,179.7660994,202,0.889931185,7,UWW,Female,ASL,134,56,0.48233,10,NA,160,1.194029851,2.62310508
April,April2014-03-21,April_41719_AMR1,0.20679871,24.89151318,1.65E-05,294.7020106,2.147868503,102.2188596,0.995242457,143.3570127,144,0.99553481,UWW,21/03/14,AMR1,1,0.617332041,74.3553462,120,0.619627885,7,UWW,Female,ASL,127,56,0.48233,NA,NA,NA,,
April,April2014-03-21,April_41719_AMR2,0.205527221,25.29101187,1.36E-05,294.6515541,2.163659996,102.2163834,1.465729064,98.31318961,67,1.467361039,UWW,21/03/14,AMR2,0,0.617332041,74.3553462,120,0.619627885,7,UWW,Female,ASL,130,56,0.48233,NA,NA,NA,,
April,April2014-03-26,April_41724_AMR1,0.204946695,24.00038697,-7.03E-05,295.2436456,1.977643017,102.0532818,1.683533898,175.4638781,104,1.687152674,UWW,26/03/14,AMR1,1,0.632366802,76.31262838,121,0.630682879,7,UWW,Female,ASL,127,56,0.48233,11,NA,176,1.385826772,1.696337977
April,April2014-03-26,April_41724_AMR2,0.205147993,24.04469944,7.34E-06,295.1424524,1.99434146,102.0547641,1.608148859,228.6960662,142,1.610535677,UWW,26/03/14,AMR2,0,0.632366802,76.31262838,121,0.630682879,7,UWW,Female,ASL,105,56,0.48233,10,NA,160,1.523809524,4.338212745
April,April2014-03-27,April_41725_AMR1,0.206350823,23.83021897,6.92E-06,235.6066152,2.135546126,102.1910184,0.928396171,107.1238007,115,0.93151131,UWW,27/03/14,AMR1,1,0.552240429,109.8857808,199,0.552189853,7,UWW,Female,ASL,125,56,0.48233,10,NA,160,1.28,1.377587484
April,April2014-03-27,April_41725_AMR2,0.205678619,23.54447173,1.41E-05,235.8251644,2.071911309,102.19012,1.128277294,127.5456056,113,1.128722174,UWW,27/03/14,AMR2,0,0.552240429,109.8857808,199,0.552189853,7,UWW,Female,ASL,149,56,0.48233,8,NA,128,0.859060403,0.849210567
April,April2014-03-29,April_41727_AMR1,0.207170794,26.37407176,7.28E-06,291.2329515,3.32515287,101.894195,0.847174112,73.0067581,86,0.848915792,UWW,29/03/14,AMR1,1,0.612822483,82.07088792,134,0.612469313,7,UWW,Female,ASL,126,56,0.48233,,,,,
April,April2014-11-06,April_41949_AMR1,0.205060942,22.48223962,1.71E-05,293.6410351,2.425054789,101.8160568,1.632674507,173.0854194,106,1.632881315,UWW,06/11/14,AMR1,1,0.929604713,104.0359003,112,0.928891967,7,UWW,Female,ASL,84,58,0.48233,8,28,228,2.714285714,2.979081481
April,April2014-11-06,April_41949_AMR2,0.205420355,22.26624419,1.69E-05,293.8208142,2.423262031,101.7940395,1.500977345,154.7458364,103,1.502386761,UWW,06/11/14,AMR2,0,0.929604713,104.0359003,112,0.928891967,7,UWW,Female,ASL,72,58,0.4592,7,25,199.5,2.770833333,4.064577178
April,April2014-11-12,April_41955_AMR1,0.205189677,21.96618039,-6.42E-05,294.0652853,2.325038722,101.9547997,1.587246158,161.8815828,102,1.587074341,UWW,12/11/14,AMR1,1,0.575644585,84.6325057,147,0.575731331,7,UWW,Female,ASL,106,60,0.4592,NA,NA,NA,,
April,April2014-11-12,April_41955_AMR2,0.204698087,22.94364691,-2.87E-05,293.9023907,2.375004444,101.9558392,1.767440313,142.1232597,80,1.776540746,UWW,12/11/14,AMR2,0,0.575644585,84.6325057,147,0.575731331,7,UWW,Female,ASL,105,60,0.4592,NA,NA,NA,,
April,April2014-12-04,April_41977_AMR1,0.205173197,-5,2.13E-05,291.8707331,2.652749793,101.9111823,1.581371303,210.5732949,133,1.583257857,UWW,04/12/14,AMR1,1,0.759637368,125.4817669,165,0.760495557,7,UWW,Female,ASL,99,59,0.4592,9,27,256.5,2.590909091,3.288057521
April,April2014-12-04,April_41977_AMR2,0.204422228,-5,2.14E-05,291.9637196,2.652505792,101.8984311,1.856893247,207.6374668,112,1.853905953,UWW,04/12/14,AMR2,0,0.759637368,125.4817669,165,0.760495557,7,UWW,Female,ASL,100,59,0.4592,10,29,285,2.85,3.887895716
