Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
08:47:00,0.78,0.068,0.02,0.864
08:47:01,0.81,0,-0.012,0.948
08:47:02,0.81,0.004,0.008,0.98
08:47:03,0.81,0.008,-0.008,0.98
08:47:04,0.81,0.008,0,0.928
08:47:05,0.78,0.004,-0.02,0.96
08:47:06,0.81,0.008,0,0.988
08:47:07,0.78,0.012,0.004,0.984
08:47:08,0.81,0.012,-0.004,0.944
08:47:09,0.81,0.008,-0.008,0.956
08:47:10,0.81,0.012,-0.008,0.952
08:47:11,0.81,0.016,0.008,0.984
08:47:12,0.78,0.024,0.008,0.988
08:47:13,0.81,0,-0.008,0.948
08:47:14,0.78,0.008,-0.004,1
08:47:15,0.81,0.004,-0.02,0.964
08:47:16,0.81,0.008,-0.004,1.012
08:47:17,0.81,-0.004,-0.008,1.024
08:47:18,0.81,-0.004,-0.008,0.96
08:47:19,0.81,-0.008,-0.044,0.98
08:47:20,0.81,0.004,-0.016,0.976
08:47:21,0.81,0.004,-0.008,0.964
08:47:22,0.81,0,-0.004,0.944
08:47:23,0.81,-0.004,-0.012,0.976
08:47:24,0.81,0.02,0.008,0.972
08:47:25,0.78,0.004,-0.012,0.968
08:47:26,0.81,0.02,-0.004,1
08:47:27,0.81,0.012,0.008,0.96
08:47:28,0.81,0.008,-0.036,0.984
08:47:29,0.81,0.02,-0.024,1
08:47:30,0.81,0.012,0.008,0.988
08:47:31,0.81,0.024,-0.004,0.924
08:47:32,0.81,0.012,-0.004,0.972
08:47:33,0.81,0.012,-0.016,0.94
08:47:34,0.81,0,-0.012,1.044
08:47:35,0.81,-0.012,-0.012,0.964
08:47:36,0.81,-0.016,0.004,0.936
08:47:37,0.81,0,-0.008,0.988
08:47:38,0.84,0.028,-0.004,1
08:47:39,0.84,0.032,-0.028,0.976
08:47:40,0.84,0.016,0,0.996
08:47:41,0.84,-0.02,0.012,0.976
08:47:42,0.84,0.024,-0.004,0.988
08:47:43,0.84,0.012,-0.02,1.016
08:47:44,0.84,-0.028,-0.004,0.964
08:47:45,0.81,0.004,-0.008,0.956
08:47:46,0.84,0.012,-0.008,0.96
08:47:47,0.84,0.028,0.024,1.008
08:47:48,0.84,0.004,0,1.032
08:47:49,0.84,0.004,-0.012,0.912
08:47:50,0.81,-0.004,-0.012,0.984
08:47:51,0.81,0.004,-0.012,0.956
08:47:52,0.84,0.004,0,0.964
08:47:53,0.84,-0.008,0.004,0.9
08:47:54,0.84,0.012,0.012,0.968
08:47:55,0.84,0.012,0.012,0.96
08:47:56,0.84,0.008,-0.012,0.928
08:47:57,0.84,0.008,-0.008,0.96
08:47:58,0.84,0.004,-0.008,0.972
08:47:59,0.84,0,-0.004,0.956
08:48:00,0.84,0.004,0,0.916
08:48:01,0.84,0.008,0,1.024
08:48:02,0.84,0.012,-0.02,0.94
08:48:03,0.84,0.004,-0.024,0.984
08:48:04,0.84,-0.012,-0.032,0.892
08:48:05,0.84,0.036,-0.004,1.044
08:48:06,0.84,0.016,-0.024,0.968
08:48:07,0.84,0.004,-0.004,0.976
08:48:08,0.84,0.008,-0.004,0.964
08:48:09,0.84,0,-0.016,0.952
08:48:10,0.84,0.004,-0.008,0.96
08:48:11,0.84,0.004,-0.004,0.976
08:48:12,0.81,0.008,-0.008,0.968
08:48:13,0.84,0,-0.004,0.976
08:48:14,0.84,0.008,-0.012,0.964
08:48:15,0.84,0.004,-0.004,0.984
08:48:16,0.84,0.004,-0.004,0.98
08:48:17,0.84,0,-0.004,0.98
08:48:18,0.84,0.008,-0.012,0.948
08:48:19,0.84,0,-0.004,0.964
08:48:20,0.84,0.004,0,0.968
08:48:21,0.84,0.004,-0.016,0.972
08:48:22,0.84,0.004,-0.008,0.976
08:48:23,0.81,0.008,-0.008,0.972
08:48:24,0.84,0.004,-0.004,0.98
08:48:25,0.84,0.008,-0.008,0.98
08:48:26,0.84,0.012,0,1.004
08:48:27,0.84,0.02,0,0.956
08:48:28,0.81,0.012,-0.012,0.984
08:48:29,0.81,0.004,0,0.976
08:48:30,0.81,0,0,1.004
08:48:31,0.81,0,-0.004,0.964
08:48:32,0.84,-0.004,-0.032,1.02
08:48:33,0.81,0.016,-0.008,0.972
08:48:34,0.81,0.008,-0.04,0.996
08:48:35,0.84,0.004,-0.004,0.968
08:48:36,0.84,0.008,-0.016,0.972
08:48:37,0.84,0.016,0.004,0.968
08:48:38,0.84,0,-0.012,0.972
08:48:39,0.84,0.012,-0.004,1.004
08:48:40,0.84,0.008,-0.008,0.972
08:48:41,0.84,0.004,-0.02,1.012
08:48:42,0.84,0.012,-0.016,1.004
08:48:43,0.84,0.012,-0.004,1.012
08:48:44,0.81,0,0,0.984
08:48:45,0.84,0.004,-0.012,0.912
08:48:46,0.84,0.008,-0.004,0.988
08:48:47,0.84,0,-0.02,0.928
08:48:48,0.81,0.004,0,0.968
08:48:49,0.84,0.008,-0.004,0.94
08:48:50,0.84,0.004,-0.04,0.872
08:48:51,0.81,-0.008,-0.02,0.924
08:48:52,0.84,0,-0.024,0.964
08:48:53,0.84,0.02,0.004,1.02
08:48:54,0.81,0.004,-0.004,0.956
08:48:55,0.81,1.744,-0.18,1.208
08:48:56,0.81,0.18,-0.1,0.896
08:48:57,0.81,-0.164,-0.46,0.74
08:48:58,0.81,0.024,0,0.98
08:48:59,0.81,0.028,0,0.96
08:49:00,0.81,0.032,-0.004,0.968
08:49:01,0.81,0.032,0,0.984
08:49:02,0.81,-0.036,-0.004,0.976
08:49:03,0.84,-0.028,-0.004,0.972
08:49:04,0.84,-0.024,-0.012,0.96
08:49:05,0.96,-0.044,-0.896,0.784
08:49:06,0.84,0.128,1.004,0
08:49:07,0.84,-0.088,1.08,-0.164
08:49:08,0.81,0.3,-0.052,0.96
08:49:09,0.81,0.188,-0.18,0.66
08:49:10,0.81,0,-0.028,0.972
08:49:11,0.81,0,-0.028,0.984
08:49:12,0.81,0.004,-0.024,0.968
08:49:13,0.78,-0.004,-0.02,0.972
08:49:14,0.78,0,-0.016,0.956
08:49:15,0.78,0.004,-0.024,0.968
08:49:16,0.78,0,-0.024,0.976
08:49:17,0.81,0.008,-0.028,0.976
08:49:18,0.81,-0.268,-0.24,1.22
08:49:19,0.78,1.02,-0.712,0.348
08:49:20,0.78,0.22,-0.28,0.876
08:49:21,0.78,0.72,-0.528,0.648
08:49:22,0.78,0.472,-0.576,0.7
08:49:23,0.81,-0.072,0.12,1.12
08:49:24,0.81,-0.036,-0.04,1.064
08:49:25,0.81,0.008,0.008,0.944
08:49:26,0.81,0.008,0.008,1
08:49:27,0.81,0.008,0,0.976
08:49:28,0.81,0.004,0.008,0.984
08:49:29,0.81,0.012,-0.008,0.988
08:49:30,0.81,0.004,-0.016,0.952
08:49:31,0.81,0.004,0.004,0.964
08:49:32,0.81,0.008,-0.016,0.924
08:49:33,0.81,0.004,-0.008,0.964
08:49:34,0.81,0.004,0,0.976
08:49:35,0.81,0,0,0.984
08:49:36,0.81,0.004,-0.004,0.98
08:49:37,0.81,0.008,0,0.964
08:49:38,0.81,0.008,-0.016,1
08:49:39,0.81,0.004,0,0.964
08:49:40,0.81,0.004,0,0.98
08:49:41,0.84,0.012,0.004,0.972
08:49:42,0.81,0.012,0.004,0.976
