Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
15:55:00,2.09,-0.02,-0.024,0.912
15:55:01,2.09,-0.028,0.004,0.98
15:55:02,2.09,-0.028,0,0.972
15:55:03,2.09,-0.028,0.004,0.976
15:55:04,2.09,-0.032,0.008,0.976
15:55:05,2.09,-0.032,0.012,0.968
15:55:06,2.09,-0.024,0.008,0.972
15:55:07,2.09,-0.024,-0.004,0.976
15:55:08,2.09,-0.032,0.012,0.968
15:55:09,2.09,-0.024,0.008,0.976
15:55:10,2.09,-0.028,0.008,0.988
15:55:11,2.09,-0.028,0.012,0.976
15:55:12,2.09,-0.036,0.008,0.98
15:55:13,2.09,-0.028,0.008,0.984
15:55:14,2.09,-0.032,0.004,0.98
15:55:15,2.09,-0.032,0.004,0.968
15:55:16,2.09,-0.028,0.012,0.976
15:55:17,2.09,-0.032,0.008,0.98
15:55:18,2.09,-0.032,0.008,0.98
15:55:19,2.09,-0.024,0.008,0.988
15:55:20,2.09,-0.028,0.016,0.98
15:55:21,2.09,-0.028,0.012,0.98
15:55:22,2.09,-0.028,0.004,0.976
15:55:23,2.09,-0.032,0.012,0.98
15:55:24,2.09,-0.028,0.008,0.976
15:55:25,2.09,-0.036,0.02,0.984
15:55:26,2.09,-0.028,0.012,0.964
15:55:27,2.09,-0.028,0.004,0.984
15:55:28,2.09,-0.032,0.004,0.972
15:55:29,2.09,-0.032,0.012,0.98
15:55:30,2.09,-0.024,0.024,0.988
15:55:31,2.09,-0.032,0.008,0.98
15:55:32,2.09,-0.036,0.012,0.976
15:55:33,2.09,-0.032,0.016,0.964
15:55:34,2.09,-0.024,0.008,0.968
15:55:35,2.09,-0.028,0.004,0.976
15:55:36,2.09,-0.032,0.012,0.98
15:55:37,2.09,-0.028,0.008,0.972
15:55:38,2.09,-0.032,0.008,0.968
15:55:39,2.09,-0.028,0.016,0.968
15:55:40,2.09,-0.02,0.004,0.968
15:55:41,2.09,-0.036,0.004,0.968
15:55:42,2.09,-0.028,0.008,0.98
15:55:43,2.09,-0.024,0.004,0.98
15:55:44,2.09,-0.024,0.004,0.972
15:55:45,2.09,-0.024,0.016,0.984
15:55:46,2.09,-0.024,0.004,0.984
15:55:47,2.09,-0.04,0.012,0.976
15:55:48,2.09,-0.024,0.012,0.984
15:55:49,2.09,-0.032,0,0.98
15:55:50,2.09,-0.036,0.016,0.98
15:55:51,2.09,-0.04,0.016,0.968
15:55:52,2.09,-0.028,0.008,0.972
15:55:53,2.09,-0.024,0.008,0.976
15:55:54,2.09,-0.024,0.012,0.976
15:55:55,2.09,-0.024,0.008,0.98
15:55:56,2.09,-0.032,0.008,0.968
15:55:57,2.09,-0.032,0.02,0.964
15:55:58,2.09,-0.036,0.016,0.984
15:55:59,2.09,-0.032,0.012,0.976
15:56:00,2.09,-0.028,0.012,0.98
15:56:01,2.09,-0.032,0.004,0.964
15:56:02,2.09,-0.028,0.008,0.964
15:56:03,2.09,-0.048,0.016,0.972
15:56:04,2.09,-0.032,0.012,0.98
15:56:05,2.09,-0.036,0.016,0.976
15:56:06,2.09,-0.028,0.012,0.98
15:56:07,2.09,-0.02,0.012,0.964
15:56:08,2.09,-0.032,0.004,0.976
15:56:09,2.09,-0.02,0.004,0.98
15:56:10,2.09,-0.036,0.008,0.976
15:56:11,2.09,-0.028,0,0.964
15:56:12,2.09,-0.028,0.004,0.964
15:56:13,2.09,-0.036,0.016,0.972
15:56:14,2.09,-0.036,0.004,0.964
15:56:15,2.12,-0.024,0.008,0.976
15:56:16,2.09,-0.028,0.016,0.972
15:56:17,2.09,-0.036,0.008,0.98
15:56:18,2.09,-0.028,0.008,0.976
15:56:19,2.09,-0.032,0.004,0.968
15:56:20,2.09,-0.024,0.008,0.976
15:56:21,2.09,-0.028,0.008,0.968
15:56:22,2.09,-0.016,0.004,0.972
15:56:23,2.09,-0.036,0.008,0.98
15:56:24,2.09,-0.032,0.008,0.98
15:56:25,2.09,-0.024,0.004,0.984
15:56:26,2.09,-0.032,0.008,0.972
15:56:27,2.09,-0.032,0.008,0.98
15:56:28,2.09,-0.02,0.012,0.98
15:56:29,2.09,-0.02,0.008,0.98
15:56:30,2.09,-0.032,0.008,0.972
15:56:31,2.09,-0.028,0.008,0.98
15:56:32,2.09,-0.028,0.008,0.984
15:56:33,2.12,-0.024,0.008,0.972
15:56:34,2.09,-0.032,0.016,0.98
15:56:35,2.09,-0.032,0.012,0.972
15:56:36,2.09,-0.028,0.008,0.972
15:56:37,2.09,-0.028,0.004,0.972
15:56:38,2.09,-0.028,0.016,0.98
15:56:39,2.09,-0.028,0.004,0.968
15:56:40,2.09,-0.024,0.008,0.972
15:56:41,2.09,-0.02,0.008,0.984
15:56:42,2.12,-0.024,0.008,0.972
15:56:43,2.09,-0.032,0.004,0.964
15:56:44,2.09,-0.032,0.012,0.98
15:56:45,2.12,-0.028,0.008,0.976
15:56:46,2.09,-0.02,0.004,0.976
15:56:47,2.09,-0.032,0.016,0.98
15:56:48,2.09,-0.02,0,0.968
15:56:49,2.09,-0.024,0.008,0.976
15:56:50,2.09,-0.032,0.008,0.972
15:56:51,2.09,-0.032,0.004,0.96
15:56:52,2.09,-0.032,0.008,0.972
15:56:53,2.09,-0.032,0.008,0.98
15:56:54,2.09,-0.024,0.008,0.98
15:56:55,2.09,-0.028,0.012,0.996
15:56:56,2.09,-0.032,0.008,0.964
15:56:57,2.09,-0.024,0.008,0.976
15:56:58,2.09,-0.028,0.008,0.968
15:56:59,2.09,-0.036,0.012,0.972
15:57:00,2.09,-0.036,0.012,0.964
15:57:01,2.09,-0.028,0.02,0.972
15:57:02,2.09,-0.032,0.012,0.98
15:57:03,2.09,-0.028,0.012,0.976
15:57:04,2.09,-0.028,0.004,0.98
15:57:05,2.09,-0.024,0.008,0.98
15:57:06,2.12,-0.028,0.008,0.968
15:57:07,2.09,-0.02,0.012,0.98
15:57:08,2.09,-0.032,0.008,0.98
15:57:09,2.12,-0.028,0.02,0.968
15:57:10,2.09,-0.032,0.012,0.984
15:57:11,2.12,-0.028,0.012,0.968
15:57:12,2.09,-0.028,0.004,0.984
15:57:13,2.09,-0.028,0.016,0.972
15:57:14,2.09,-0.032,0.012,0.976
15:57:15,2.12,-0.028,0.008,0.98
15:57:16,2.09,-0.02,0.012,0.968
15:57:17,2.09,-0.024,0.02,0.972
15:57:18,2.12,-0.028,0.004,0.972
15:57:19,2.09,-0.024,0.008,0.968
15:57:20,2.09,-0.016,0.016,0.968
15:57:21,2.12,-0.02,0.004,0.964
15:57:22,2.09,-0.032,0.004,0.976
15:57:23,2.09,-0.032,0.008,0.968
15:57:24,2.09,-0.032,0.016,0.968
15:57:25,2.12,-0.032,0.008,0.972
15:57:26,2.09,-0.024,0.004,0.98
15:57:27,2.09,-0.036,0.016,0.976
15:57:28,2.12,-0.036,0.004,0.972
15:57:29,2.12,-0.044,0.008,0.964
15:57:30,2.12,-0.032,0.012,0.972
15:57:31,2.12,-0.028,0.004,0.98
15:57:32,2.09,-0.036,0.012,0.972
15:57:33,2.12,-0.032,0.012,0.972
15:57:34,2.09,-0.02,0.008,0.968
15:57:35,2.12,-0.032,0.008,0.968
15:57:36,2.09,-0.028,0.004,0.968
15:57:37,2.09,-0.032,0.016,0.96
15:57:38,2.12,-0.028,0.004,0.98
15:57:39,2.12,-0.02,0.008,0.968
15:57:40,2.09,-0.024,0.012,0.98
15:57:41,2.12,-0.028,0.004,0.976
15:57:42,2.09,-0.028,0.008,0.984
15:57:43,2.12,-0.024,0.008,0.968
15:57:44,2.09,-0.024,0.008,0.984
15:57:45,2.12,-0.032,0.008,0.972
15:57:46,2.12,-0.024,0.008,0.98
15:57:47,2.09,-0.032,0.008,0.968
15:57:48,2.12,-0.032,0.004,0.98
15:57:49,2.12,-0.02,0.004,0.972
15:57:50,2.12,-0.032,0.012,0.96
15:57:51,2.12,-0.04,0.004,0.976
15:57:52,2.09,-0.036,0,0.984
