Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
15:57:00,0.68,0.02,0.02,0.832
15:57:01,0.68,0.036,0.004,0.94
15:57:02,0.68,0.028,0.004,0.944
15:57:03,0.68,0.024,0.012,0.952
15:57:04,0.68,0.016,0.012,0.956
15:57:05,0.68,0.028,0.012,0.944
15:57:06,0.68,0.028,0.012,0.932
15:57:07,0.68,0.028,0.016,0.936
15:57:08,0.68,0.028,0.02,0.928
15:57:09,0.68,0.024,0.008,0.94
15:57:10,0.71,0.016,0.016,0.924
15:57:11,0.71,0.028,0.008,0.944
15:57:12,0.71,0.028,0.012,0.948
15:57:13,0.68,0.02,0.008,0.936
15:57:14,0.68,0.032,0,0.932
15:57:15,0.71,0.024,0.028,0.94
15:57:16,0.68,0.024,0.012,0.936
15:57:17,0.71,0.024,0.012,0.948
15:57:18,0.71,0.032,0.008,0.944
15:57:19,0.71,0.016,0.008,0.928
15:57:20,0.68,0.02,0.008,0.932
15:57:21,0.71,0.016,0.016,0.94
15:57:22,0.71,0.016,0.008,0.932
15:57:23,0.71,0.032,0.008,0.936
15:57:24,0.71,0.02,0.008,0.944
15:57:25,0.71,0.024,0.02,0.944
15:57:26,0.68,0.016,0.012,0.932
15:57:27,0.71,0.02,0.012,0.952
15:57:28,0.68,0.028,0.016,0.944
15:57:29,0.71,0.024,0.012,0.944
15:57:30,0.68,0.024,0.012,0.944
15:57:31,0.71,0.02,0.008,0.948
15:57:32,0.71,0.036,0,0.944
15:57:33,0.71,0.024,0.008,0.932
15:57:34,0.71,0.02,0.008,0.924
15:57:35,0.71,0.028,0.012,0.928
15:57:36,0.71,0.016,0.012,0.92
15:57:37,0.71,0.028,-0.776,0.916
15:57:38,0.71,-0.232,0.252,0.932
15:57:39,0.71,-0.284,0.36,0.84
15:57:40,0.71,-0.292,0.36,0.82
15:57:41,0.71,-0.308,0.356,0.824
15:57:42,0.71,-0.3,0.364,0.828
15:57:43,0.71,-0.3,0.364,0.824
15:57:44,0.71,-0.304,0.368,0.816
15:57:45,0.71,-0.308,0.368,0.836
15:57:46,0.71,-0.308,0.372,0.832
15:57:47,0.71,-0.296,0.376,0.816
15:57:48,0.71,-0.324,0.368,0.828
15:57:49,0.71,-0.328,0.376,0.82
15:57:50,0.71,-0.316,0.376,0.816
15:57:51,0.71,-0.32,0.36,0.82
15:57:52,0.71,-0.304,0.38,0.812
15:57:53,0.71,-0.244,0.652,1.56
15:57:54,0.71,-0.196,0.388,0.844
15:57:55,0.75,-0.208,0.404,0.848
15:57:56,0.71,-0.188,0.384,0.844
15:57:57,0.71,-0.208,0.412,0.832
15:57:58,0.71,-0.204,0.4,0.828
15:57:59,0.71,-0.2,0.404,0.836
15:58:00,0.71,-0.2,0.4,0.848
15:58:01,0.71,-0.208,0.4,0.844
15:58:02,0.71,-0.192,0.396,0.836
15:58:03,0.71,-0.2,0.392,0.856
15:58:04,0.71,-0.192,0.404,0.86
15:58:05,0.71,-0.196,0.392,0.84
15:58:06,0.75,-0.176,0.424,0.904
15:58:07,0.71,-0.204,0.42,0.844
15:58:08,0.71,-0.204,0.412,0.832
15:58:09,0.71,-0.204,0.412,0.844
15:58:10,0.71,-0.204,0.412,0.844
15:58:11,0.71,-0.208,0.404,0.844
15:58:12,0.71,-0.204,0.416,0.82
15:58:13,0.71,-0.204,0.4,0.836
15:58:14,0.71,-0.216,0.408,0.824
15:58:15,0.75,-0.208,0.416,0.84
15:58:16,0.75,-0.208,0.412,0.832
15:58:17,0.71,-0.22,0.4,0.836
15:58:18,0.75,-0.2,0.4,0.832
15:58:19,0.71,-0.2,0.42,0.836
15:58:20,0.71,-0.212,0.412,0.82
15:58:21,0.71,-0.208,0.408,0.84
15:58:22,0.71,-0.216,0.408,0.832
15:58:23,0.75,-0.208,0.404,0.836
15:58:24,0.71,-0.212,0.404,0.84
15:58:25,0.71,-0.192,0.412,0.84
15:58:26,0.71,-0.196,0.412,0.836
15:58:27,0.71,-0.204,0.4,0.84
15:58:28,0.71,-0.2,0.416,0.836
15:58:29,0.71,-0.208,0.408,0.832
15:58:30,0.71,-0.204,0.412,0.836
15:58:31,0.71,-0.212,0.408,0.836
15:58:32,0.71,-0.212,0.4,0.836
15:58:33,0.75,-0.208,0.408,0.824
15:58:34,0.71,-0.204,0.412,0.824
15:58:35,0.75,-0.2,0.416,0.836
15:58:36,0.75,-0.212,0.396,0.828
15:58:37,0.71,-0.212,0.4,0.836
15:58:38,0.75,-0.204,0.412,0.832
15:58:39,0.71,-0.216,0.412,0.82
15:58:40,0.75,-0.208,0.408,0.828
15:58:41,0.75,-0.216,0.416,0.836
15:58:42,0.75,-0.212,0.404,0.848
15:58:43,0.75,-0.212,0.412,0.836
15:58:44,0.75,-0.2,0.4,0.84
15:58:45,0.75,-0.204,0.404,0.852
15:58:46,0.71,-0.212,0.412,0.828
15:58:47,0.71,-0.22,0.408,0.828
15:58:48,0.75,-0.216,0.408,0.844
15:58:49,0.75,-0.2,0.412,0.836
15:58:50,0.75,-0.208,0.424,0.848
15:58:51,0.75,-0.204,0.408,0.836
15:58:52,0.71,-0.2,0.412,0.836
15:58:53,0.75,-0.204,0.4,0.832
15:58:54,0.75,-0.208,0.4,0.828
15:58:55,0.75,-0.204,0.42,0.828
15:58:56,0.75,-0.212,0.412,0.832
15:58:57,0.71,-0.216,0.416,0.836
15:58:58,0.71,-0.208,0.412,0.816
15:58:59,0.71,-0.208,0.4,0.848
15:59:00,0.75,-0.216,0.408,0.832
15:59:01,0.75,-0.208,0.408,0.828
