Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
16:05:00,0.56,-0.192,-0.732,0.304
16:05:01,0.53,-0.256,-0.988,0.084
16:05:02,0.53,-0.284,-0.984,0.092
16:05:03,0.53,-0.264,-0.988,0.096
16:05:04,0.56,-0.256,-0.996,0.096
16:05:05,1.06,-0.46,-1.6,-0.944
16:05:06,0.5,-0.14,-0.872,-0.264
16:05:07,0.5,-0.064,-1.024,0.128
16:05:08,0.56,-0.052,-1.028,0.016
16:05:09,0.56,-0.088,-1.012,0.036
16:05:10,0.59,-0.024,-1.028,0.008
16:05:11,0.53,-0.12,-1.004,0.104
16:05:12,0.5,-0.14,-1.016,0.08
16:05:13,0.5,-0.124,-1.016,0.08
16:05:14,0.5,-0.092,-1.02,0.012
16:05:15,0.5,-0.1,-1.024,0.024
16:05:16,0.53,-0.064,-1,0.096
16:05:17,0.46,-0.2,-0.996,0.144
16:05:18,0.5,-0.2,-1.012,0.008
16:05:19,0.46,-0.22,-1.008,0.024
16:05:20,0.5,-0.24,-0.996,0.012
16:05:21,0.5,-0.236,-1.004,-0.008
16:05:22,0.53,-0.18,-0.992,-0.168
16:05:23,0.53,-0.172,-0.984,-0.2
16:05:24,0.53,-0.16,-1,-0.236
16:05:25,0.53,-0.176,-0.992,-0.212
16:05:26,0.53,-0.152,-1.004,-0.208
16:05:27,0.59,-0.364,-0.844,-0.324
16:05:28,0.56,-0.024,-0.824,-0.196
16:05:29,0.56,-0.08,-1.044,0.076
16:05:30,0.62,0.068,-0.952,-0.204
16:05:31,0.53,0.068,-0.892,-0.344
16:05:32,0.46,-0.132,-1,-0.168
16:05:33,0.46,-0.104,-1.008,-0.168
16:05:34,0.5,-0.092,-1.016,-0.192
16:05:35,0.46,-0.128,-1.016,-0.132
16:05:36,0.53,-0.064,-0.992,0.208
16:05:37,0.56,-0.048,-0.964,0.044
16:05:38,0.59,-0.192,-1.152,-0.296
16:05:39,0.53,-0.048,-0.944,-0.328
16:05:40,0.56,-0.236,-1.076,-0.328
16:05:41,0.56,-0.04,-1.012,0.176
16:05:42,0.53,-0.004,-1.008,0.16
16:05:43,0.53,-0.292,-0.992,-0.18
16:05:44,0.5,-0.252,-0.98,-0.212
16:05:45,0.5,-0.24,-0.984,-0.188
16:05:46,0.5,-0.24,-0.984,-0.228
16:05:47,0.53,-0.192,-0.996,-0.22
16:05:48,0.56,-0.084,-0.904,-0.344
16:05:49,0.53,0.156,-1.064,0.004
16:05:50,0.53,-0.012,-1.076,-0.124
16:05:51,0.59,-0.056,-1.348,0.2
16:05:52,0.65,-0.132,-0.972,-0.28
16:05:53,0.78,0.108,-1.02,0.076
16:05:54,0.59,-0.028,-1.032,-0.192
16:05:55,0.62,-0.02,-0.996,0.168
16:05:56,0.59,-0.008,-1.008,0.22
16:05:57,0.59,0.02,-0.992,-0.38
16:05:58,0.65,-0.036,-1.012,0.156
16:05:59,0.78,-0.236,-0.9,-0.276
16:06:00,0.65,0.092,-1.06,0.168
16:06:01,0.71,-0.064,-0.884,0.124
16:06:02,0.59,0.012,-1.008,0.288
16:06:03,0.56,-0.8,-0.696,0.416
16:06:04,0.62,-0.028,-0.836,-0.328
16:06:05,0.75,-0.18,-0.636,-0.808
16:06:06,0.65,-0.116,-1.444,-0.776
16:06:07,0.65,-0.068,-0.608,-0.476
16:06:08,0.5,0.04,-0.284,-0.032
16:06:09,0.53,0.104,-0.576,0.124
16:06:10,0.53,0.008,-1.008,-0.112
16:06:11,0.5,-0.572,-1.208,0.4
16:06:12,0.46,-0.088,-1.004,0.188
16:06:13,0.46,-0.088,-1.02,0.104
16:06:14,0.5,-0.104,-1.016,0.12
16:06:15,0.5,-0.032,-1.008,0.148
16:06:16,0.62,0.084,-0.844,-0.392
16:06:17,0.37,-0.096,-1.1,0.32
16:06:18,0.56,-0.136,-1.056,0.08
16:06:19,0.5,-0.236,-0.996,-0.052
16:06:20,0.56,-0.052,-1.036,0.104
