Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
09:40:00,0.46,-0.824,0.072,0.192
09:40:01,0.5,-0.812,0.516,0.48
09:40:02,0.46,-0.708,0.616,0.428
09:40:03,0.46,-0.86,0.444,0.376
09:40:04,0.46,-0.856,0.5,0.42
09:40:05,0.46,-0.816,0.424,0.436
09:40:06,0.46,-0.8,0.408,0.448
09:40:07,0.46,-0.756,0.516,0.428
09:40:08,0.46,-0.828,0.38,0.436
09:40:09,0.46,-0.78,0.472,0.436
09:40:10,0.46,-1,0.48,0.516
09:40:11,0.43,-0.716,-0.612,0.028
09:40:12,0.43,-1.016,-0.568,0.012
09:40:13,0.43,-0.576,-0.864,-0.096
09:40:14,0.43,-0.608,-0.82,-0.116
09:40:15,0.43,-0.616,-0.816,-0.112
09:40:16,0.43,-0.46,-0.92,0.06
09:40:17,0.43,-0.332,-0.892,0.304
09:40:18,0.43,-0.796,-0.716,0.012
09:40:19,0.5,-1.02,-0.624,0.104
09:40:20,0.5,-0.6,-0.632,-0.112
09:40:21,0.5,-0.396,-0.952,0.148
09:40:22,0.5,-0.248,-0.936,0.112
09:40:23,0.5,-0.304,-1.156,0
09:40:24,0.53,-0.356,-1.156,0.052
09:40:25,0.5,-0.096,-1.432,0.02
09:40:26,0.53,-0.584,-0.964,-0.392
09:40:27,0.53,-0.228,-0.48,-1.012
09:40:28,0.59,-0.812,-0.084,-1.496
09:40:29,44.25,-0.492,3.084,2.688
09:40:30,0.5,0.004,-0.008,0.976
09:40:31,0.46,-0.004,-0.008,0.984
09:40:32,0.4,-0.004,-0.008,0.98
09:40:33,0.4,-0.008,-0.016,0.972
09:40:34,0.4,-0.012,0,0.972
09:40:35,0.37,0,-0.004,0.992
09:40:36,0.37,-0.008,-0.004,0.98
09:40:37,0.4,-0.008,-0.016,0.976
09:40:38,0.4,-0.004,-0.012,0.968
09:40:39,0.4,-0.012,-0.012,0.964
09:40:40,0.4,-0.004,-0.008,0.972
09:40:41,0.4,-0.012,-0.016,0.98
09:40:42,0.43,-0.004,-0.012,0.98
09:40:43,0.43,-0.004,-0.016,0.972
