Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
09:40:00,0.84,0.108,-0.892,0.304
09:40:01,1.37,-0.2,-1.004,0.424
09:40:02,0.65,-0.356,-0.592,0.32
09:40:03,0.65,-0.448,-0.552,0.296
09:40:04,0.65,-0.344,-0.996,0.308
09:40:05,0.65,0.028,-0.876,0.76
09:40:06,0.65,0.368,-1.664,0.42
09:40:07,0.65,-0.104,-1.368,0.164
09:40:08,0.65,-0.348,-0.684,0.516
09:40:09,0.65,-0.272,-0.828,0.408
09:40:10,0.65,-0.248,-0.86,0.588
09:40:11,0.65,-0.364,-0.46,0.26
09:40:12,0.65,-0.64,-0.828,0.636
09:40:13,0.65,-0.224,-1.164,0.236
09:40:14,0.65,-0.164,-0.948,0.364
09:40:15,0.65,-0.292,-0.748,0.488
09:40:16,0.65,-0.092,-0.992,0.052
09:40:17,0.65,-0.08,-0.572,0.108
09:40:18,0.65,-0.248,-0.416,0.42
09:40:19,0.65,-0.396,-0.996,0.364
09:40:20,0.65,-0.184,-0.924,0.204
09:40:21,0.65,-0.332,-0.484,0.276
09:40:22,0.65,-0.812,-0.596,0.764
09:40:23,0.65,-0.18,-0.916,0.224
09:40:24,0.65,-0.032,-0.712,0.308
09:40:25,0.65,-0.192,-0.388,0.452
09:40:26,0.65,-0.272,-0.504,0.736
09:40:27,0.65,-0.84,-0.408,0.552
09:40:28,0.65,-1.16,-0.772,0.74
09:40:29,0.65,-0.672,-1.212,0.3
09:40:30,0.65,0,-1.576,0.14
09:40:31,0.65,0.064,-1.524,0.188
09:40:32,0.65,-0.008,-0.828,0.152
09:40:33,0.65,-0.06,-0.636,0.18
09:40:34,0.65,-0.364,-0.452,0.192
09:40:35,0.65,-0.276,-0.672,0.408
09:40:36,0.65,-0.152,-1.32,0.412
09:40:37,0.65,0.2,-1.524,-0.316
09:40:38,0.65,0.02,-1.256,0.072
09:40:39,0.65,-0.068,-1.088,0.196
09:40:40,0.65,-0.208,-0.708,0.188
09:40:41,0.65,-0.304,-0.348,0.36
09:40:42,0.65,-0.544,-0.48,0.488
09:40:43,0.65,-0.504,-1.184,0.628
09:40:44,0.65,0,-1.412,0.584
09:40:45,0.65,0.6,-1.764,0.692
09:40:46,0.65,-0.124,-1.08,0.212
09:40:47,0.65,-0.432,-0.632,0.364
09:40:48,0.65,-0.596,-0.5,0.264
09:40:49,0.65,-0.512,-0.768,0.092
09:40:50,0.65,-0.212,-1.372,-0.004
09:40:51,0.65,0.044,-0.972,0.512
09:40:52,0.65,0.22,-1.656,0.448
09:40:53,0.65,-0.056,-0.876,0.16
09:40:54,0.65,-0.328,-0.392,0.336
09:40:55,0.65,-0.548,-0.796,0.536
09:40:56,0.65,-0.136,-1.34,0.432
09:40:57,0.65,0.056,-1.528,0.204
09:40:58,0.65,-0.26,-1.528,0.02
09:40:59,0.65,-0.18,-1.364,0.36
09:41:00,0.65,-0.324,-0.52,0.256
09:41:01,0.65,-0.384,-0.212,0.292
09:41:02,0.65,-0.34,-0.364,0.068
09:41:03,0.65,-0.272,-0.74,0.128
09:41:04,0.65,-0.552,-0.948,0.616
09:41:05,0.65,-0.204,-1.36,0
09:41:06,0.65,-0.332,-0.932,0.7
09:41:07,0.65,-0.172,-1.66,-0.252
09:41:08,0.65,-0.264,-1.336,-0.016
09:41:09,0.65,-0.352,-0.912,0.06
09:41:10,0.65,-0.32,-0.356,0.308
09:41:11,0.65,-0.444,-0.3,0.264
09:41:12,0.65,-0.496,-0.924,0.824
09:41:13,0.65,-0.12,-1.396,0.356
09:41:14,0.65,0.04,-1.232,0.168
09:41:15,0.65,-0.08,-1.348,0.104
09:41:16,0.65,-0.2,-1.144,0.26
09:41:17,0.65,-0.468,-0.66,0.34
09:41:18,0.65,-0.368,-0.5,0.088
09:41:19,0.65,-0.424,-0.916,0.1
09:41:20,0.65,-0.136,-1.14,0.408
09:41:21,0.65,0.024,-1.76,-0.04
09:41:22,0.65,-0.572,-0.752,0.472
09:41:23,0.65,-0.576,-0.12,0.116
09:41:24,0.65,-0.692,-0.64,0.296
09:41:25,0.65,-0.16,-1.064,0.6
09:41:26,0.65,-0.048,-1.316,0.188
09:41:27,0.65,-0.328,-1.3,0.252
09:41:28,0.65,-0.448,-0.58,0.264
09:41:29,0.65,-0.46,-0.424,0.08
09:41:30,0.65,-0.292,-1.028,0.04
09:41:31,0.65,-0.212,-1.168,0.04
09:41:32,0.65,0.196,-1.964,-0.212
09:41:33,0.65,-0.408,-1.228,0.456
09:41:34,0.65,-0.604,-0.752,0.244
09:41:35,0.65,-0.464,-0.26,0.268
09:41:36,0.65,-0.776,-0.868,0.196
09:41:37,0.65,0.364,-1.6,0.86
09:41:38,0.65,-0.424,-0.88,0.208
09:41:39,0.65,-0.328,-0.604,0.304
09:41:40,0.65,-0.692,-0.408,0.176
09:41:41,0.65,-0.372,-1.072,-0.084
09:41:42,0.65,-0.516,-1.12,0.196
09:41:43,0.65,0.088,-1.276,0.46
