Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
16:15:00.00,0.78,-0.257,0.012,0.778
16:15:01.00,0.78,0.016,0.017,0.973
16:15:02.00,0.75,0.011,0.018,0.971
16:15:03.00,0.78,0.015,0.018,0.977
16:15:04.00,0.78,0.018,0.018,0.978
16:15:05.00,0.75,0.019,0.02,0.973
16:15:06.00,0.78,0.013,0.018,0.974
16:15:07.00,0.75,0.014,0.016,0.977
16:15:08.00,0.75,0.018,0.025,0.976
16:15:09.00,0.75,0.016,0.018,0.974
16:15:10.00,0.75,0.015,0.018,0.975
16:15:11.00,0.75,0.018,0.018,0.976
16:15:12.00,0.75,0.018,0.013,0.976
16:15:13.00,0.75,0.012,0.019,0.975
16:15:14.00,0.75,0.014,0.018,0.976
16:15:15.00,0.75,0.022,0.02,0.978
16:15:16.00,0.75,0.017,0.021,0.975
16:15:17.00,0.75,0.017,0.02,0.976
16:15:18.00,0.75,0.02,0.018,0.975
16:15:19.00,0.75,0.017,0.02,0.975
16:15:20.00,0.75,0.014,0.02,0.972
16:15:21.00,0.75,0.018,0.017,0.975
16:15:22.00,0.75,0.017,0.018,0.973
16:15:23.00,0.75,0.014,0.016,0.971
16:15:24.00,0.75,0.018,0.019,0.973
16:15:25.00,0.75,0.017,0.019,0.978
16:15:26.00,0.75,0.016,0.017,0.978
16:15:27.00,0.75,0.016,0.02,0.974
16:15:28.00,0.75,0.019,0.018,0.969
16:15:29.00,0.75,0.016,0.016,0.977
16:15:30.00,0.75,0.018,0.02,0.973
16:15:31.00,0.75,0.021,0.02,0.975
16:15:32.00,0.75,0.021,0.016,0.974
16:15:33.00,0.75,0.013,0.018,0.981
16:15:34.00,0.75,0.016,0.022,0.975
16:15:35.00,0.75,0.016,0.018,0.98
16:15:36.00,0.75,0.017,0.019,0.975
16:15:37.00,0.75,0.013,0.021,0.975
16:15:38.00,0.75,0.017,0.019,0.975
16:15:39.00,0.75,0.017,0.025,0.972
16:15:40.00,0.75,0.017,0.021,0.973
16:15:41.00,0.75,0.018,0.021,0.977
16:15:42.00,0.75,0.016,0.022,0.976
16:15:43.00,0.75,0.015,0.014,0.975
16:15:44.00,0.75,0.017,0.018,0.975
16:15:45.00,0.75,0.021,0.017,0.976
16:15:46.00,0.75,0.021,0.016,0.974
16:15:47.00,0.75,0.015,0.018,0.975
16:15:48.00,0.75,0.019,0.02,0.977
16:15:49.00,0.75,0.015,0.018,0.973
16:15:50.00,0.75,0.018,0.02,0.972
16:15:51.00,0.75,0.016,0.017,0.979
16:15:52.00,0.75,0.015,0.016,0.971
16:15:53.00,0.75,0.016,0.015,0.973
16:15:54.00,0.75,0.015,0.016,0.974
16:15:55.00,0.75,0.016,0.017,0.972
16:15:56.00,0.75,0.017,0.017,0.971
16:15:57.00,0.75,0.012,0.021,0.976
16:15:58.00,0.75,0.015,0.019,0.976
16:15:59.00,0.75,0.017,0.02,0.978
16:16:00.00,0.75,0.017,0.017,0.981
16:16:01.00,0.75,0.018,0.017,0.974
16:16:02.00,0.75,0.019,0.019,0.974
16:16:03.00,0.75,0.016,0.017,0.974
16:16:04.00,0.75,0.018,0.02,0.972
16:16:05.00,0.75,0.018,0.018,0.98
16:16:06.00,0.75,0.019,0.022,0.974
16:16:07.00,0.75,0.016,0.019,0.976
16:16:08.00,0.75,0.012,0.018,0.972
16:16:09.00,0.75,0.023,0.076,1.25
16:16:10.00,0.75,0.079,0.047,1.097
16:16:11.00,0.75,1.133,1.458,0.847
16:16:12.00,0.78,0.45,0.403,0.93
16:16:13.00,0.75,0.116,0.072,1.014
16:16:14.00,0.75,0.129,-0.04,0.965
16:16:15.00,0.75,0.087,-0.014,0.956
16:16:16.00,0.78,0.035,-0.106,0.991
16:16:17.00,0.78,-0.003,-0.097,0.958
