number,behaviour_event,value,type_event,fps,time,depth,x,y,z,behaviour,type,location,place,raw
1,1.moving,1,1.Travelling,00:00.0,15/08/2014 0:21:17.2,0.87,0.9,0.304,1.192,moving,Travelling,land,land,moving
1,1.moving,1,1.Travelling,6215,15/08/2014 0:21:17.2,0.87,0.088,0.644,1.336,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6216,15/08/2014 0:21:17.3,0.87,0.356,0.38,1.796,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6217,15/08/2014 0:21:17.3,0.87,-0.068,0.072,1.392,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6218,15/08/2014 0:21:17.4,0.87,0.516,0.776,0.908,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6219,15/08/2014 0:21:17.4,0.87,-0.088,0.46,0.84,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6220,15/08/2014 0:21:17.4,0.87,-0.044,-0.124,0.932,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6221,15/08/2014 0:21:17.5,0.87,0.088,-1.452,0.82,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6222,15/08/2014 0:21:17.5,0.87,0.7,-0.892,0.904,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6223,15/08/2014 0:21:17.6,0.87,1.052,-0.592,0.684,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6224,15/08/2014 0:21:17.6,0.87,1.08,-0.56,0.744,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6225,15/08/2014 0:21:17.6,0.87,0.444,0.46,1.068,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6226,15/08/2014 0:21:17.7,0.87,0.404,0.896,1.016,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6227,15/08/2014 0:21:17.7,0.87,0.072,0.864,1.144,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6228,15/08/2014 0:21:17.8,0.87,0.28,0.72,0.976,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6229,15/08/2014 0:21:17.8,0.87,0.208,0.58,1.024,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6230,15/08/2014 0:21:17.8,0.87,0.208,0.44,0.808,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6231,15/08/2014 0:21:17.9,0.87,0.244,0.428,0.636,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6232,15/08/2014 0:21:17.9,0.87,0.424,-0.14,0.564,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6233,15/08/2014 0:21:18.0,0.87,0.76,-0.296,0.4,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6234,15/08/2014 0:21:18.0,0.9,0.844,-0.288,0.616,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6235,15/08/2014 0:21:18.0,0.87,0.884,-0.504,0.632,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6236,15/08/2014 0:21:18.1,0.87,0.88,-0.5,0.584,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6237,15/08/2014 0:21:18.1,0.87,0.788,-0.38,0.644,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6238,15/08/2014 0:21:18.2,0.87,0.716,-0.456,0.592,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6239,15/08/2014 0:21:18.2,0.87,0.732,-0.464,0.616,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6240,15/08/2014 0:21:18.2,0.87,0.804,-0.272,0.748,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6241,15/08/2014 0:21:18.3,0.87,0.712,-0.072,0.576,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6242,15/08/2014 0:21:18.3,0.87,0.676,0.04,0.64,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6243,15/08/2014 0:21:18.4,0.87,0.66,0.116,0.604,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6244,15/08/2014 0:21:18.4,0.87,0.716,0.1,0.624,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6245,15/08/2014 0:21:18.4,0.9,0.716,0.028,0.592,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6246,15/08/2014 0:21:18.5,0.9,0.732,-0.008,0.604,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6247,15/08/2014 0:21:18.5,0.87,0.78,-0.024,0.596,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6248,15/08/2014 0:21:18.6,0.87,0.776,-0.012,0.564,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,6249,15/08/2014 0:21:18.6,0.9,0.744,-0.064,0.548,moving,Travelling,land,land,
