number,behaviour_event,value,type_event,fps,time,depth,x,y,z,behaviour,type,location,place,raw
1,1.lying,1,1.Resting,00:00.0,14/08/2014 0:59:03.0,0.87,-0.196,-0.208,0.904,lying,Resting,land,land,lying
1,1.lying,1,1.Resting,15702,14/08/2014 0:59:03.0,0.87,-0.2,-0.204,0.904,lying,Resting,land,land,
1,1.lying,1,1.Resting,15703,14/08/2014 0:59:03.1,0.87,-0.204,-0.204,0.9,lying,Resting,land,land,
1,1.lying,1,1.Resting,15704,14/08/2014 0:59:03.1,0.87,-0.196,-0.196,0.908,lying,Resting,land,land,
1,1.lying,1,1.Resting,15705,14/08/2014 0:59:03.2,0.87,-0.192,-0.2,0.916,lying,Resting,land,land,
1,1.lying,1,1.Resting,15706,14/08/2014 0:59:03.2,0.87,-0.192,-0.204,0.904,lying,Resting,land,land,
1,1.lying,1,1.Resting,15707,14/08/2014 0:59:03.2,0.87,-0.2,-0.2,0.896,lying,Resting,land,land,
1,1.lying,1,1.Resting,15708,14/08/2014 0:59:03.3,0.87,-0.196,-0.2,0.9,lying,Resting,land,land,
1,1.lying,1,1.Resting,15709,14/08/2014 0:59:03.3,0.87,-0.2,-0.208,0.9,lying,Resting,land,land,
1,1.lying,1,1.Resting,15710,14/08/2014 0:59:03.4,0.87,-0.2,-0.212,0.904,lying,Resting,land,land,
1,1.lying,1,1.Resting,15711,14/08/2014 0:59:03.4,0.87,-0.196,-0.212,0.888,lying,Resting,land,land,
1,1.lying,1,1.Resting,15712,14/08/2014 0:59:03.4,0.87,-0.196,-0.208,0.9,lying,Resting,land,land,
1,1.lying,1,1.Resting,15713,14/08/2014 0:59:03.5,0.87,-0.184,-0.204,0.9,lying,Resting,land,land,
1,1.lying,1,1.Resting,15714,14/08/2014 0:59:03.5,0.87,-0.192,-0.2,0.908,lying,Resting,land,land,
1,1.lying,1,1.Resting,15715,14/08/2014 0:59:03.6,0.87,-0.192,-0.2,0.9,lying,Resting,land,land,
1,1.lying,1,1.Resting,15716,14/08/2014 0:59:03.6,0.87,-0.184,-0.208,0.908,lying,Resting,land,land,
1,1.lying,1,1.Resting,15717,14/08/2014 0:59:03.6,0.87,-0.188,-0.192,0.908,lying,Resting,land,land,
1,1.lying,1,1.Resting,15718,14/08/2014 0:59:03.7,0.87,-0.18,-0.2,0.908,lying,Resting,land,land,
1,1.lying,1,1.Resting,15719,14/08/2014 0:59:03.7,0.87,-0.184,-0.196,0.908,lying,Resting,land,land,
1,1.lying,1,1.Resting,15720,14/08/2014 0:59:03.8,0.87,-0.196,-0.196,0.904,lying,Resting,land,land,
1,1.lying,1,1.Resting,15721,14/08/2014 0:59:03.8,0.87,-0.2,-0.208,0.892,lying,Resting,land,land,
1,1.lying,1,1.Resting,15722,14/08/2014 0:59:03.8,0.87,-0.208,-0.208,0.896,lying,Resting,land,land,
1,1.lying,1,1.Resting,15723,14/08/2014 0:59:03.9,0.87,-0.2,-0.208,0.896,lying,Resting,land,land,
1,1.lying,1,1.Resting,15724,14/08/2014 0:59:03.9,0.87,-0.196,-0.216,0.896,lying,Resting,land,land,
1,1.lying,1,1.Resting,15725,14/08/2014 0:59:04.0,0.87,-0.196,-0.2,0.904,lying,Resting,land,land,
1,1.lying,1,1.Resting,15726,14/08/2014 0:59:04.0,0.87,-0.208,-0.2,0.9,lying,Resting,land,land,
1,1.lying,1,1.Resting,15727,14/08/2014 0:59:04.0,0.87,-0.212,-0.2,0.904,lying,Resting,land,land,
1,1.lying,1,1.Resting,15728,14/08/2014 0:59:04.1,0.87,-0.204,-0.208,0.908,lying,Resting,land,land,
1,1.lying,1,1.Resting,15729,14/08/2014 0:59:04.1,0.87,-0.196,-0.204,0.9,lying,Resting,land,land,
1,1.lying,1,1.Resting,15730,14/08/2014 0:59:04.2,0.87,-0.2,-0.204,0.896,lying,Resting,land,land,
