"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
"2016-08-16 16:16:30.200",1,0.792,-0.212,0.576,2.37,1,"1.sitting",1,"1.Resting","00:00:00.04","sitting","Resting","land","land","sitting",2016-08-16 16:16:30.200
"2016-08-16 16:16:30.252",1,0.846,-0.268,0.522,2.37,1,"1.sitting",1,"1.Resting","00:00:00.00","sitting","Resting","land","land","",2016-08-16 16:16:30.252
"2016-08-16 16:16:30.305",1,0.852,-0.318,0.492,2.37,1,"1.sitting",1,"1.Resting","9912","sitting","Resting","land","land","",2016-08-16 16:16:30.305
"2016-08-16 16:16:30.357",1,0.84,-0.35,0.484,2.37,1,"1.sitting",1,"1.Resting","9913","sitting","Resting","land","land","",2016-08-16 16:16:30.357
"2016-08-16 16:16:30.410",1,0.804,-0.34,0.468,2.37,1,"1.sitting",1,"1.Resting","9915","sitting","Resting","land","land","",2016-08-16 16:16:30.410
"2016-08-16 16:16:30.461",1,0.802,-0.338,0.46,2.37,1,"1.sitting",1,"1.Resting","9916","sitting","Resting","land","land","",2016-08-16 16:16:30.461
"2016-08-16 16:16:30.515",1,0.808,-0.338,0.464,2.37,1,"1.sitting",1,"1.Resting","9917","sitting","Resting","land","land","",2016-08-16 16:16:30.515
"2016-08-16 16:16:30.566",1,0.816,-0.338,0.464,2.37,1,"1.sitting",1,"1.Resting","9918","sitting","Resting","land","land","",2016-08-16 16:16:30.566
"2016-08-16 16:16:30.619",1,0.81,-0.316,0.45,2.37,1,"1.sitting",1,"1.Resting","9920","sitting","Resting","land","land","",2016-08-16 16:16:30.619
"2016-08-16 16:16:30.671",1,0.81,-0.318,0.45,2.37,1,"1.sitting",1,"1.Resting","9921","sitting","Resting","land","land","",2016-08-16 16:16:30.671
"2016-08-16 16:16:30.724",1,0.818,-0.314,0.448,2.37,1,"1.sitting",1,"1.Resting","9922","sitting","Resting","land","land","",2016-08-16 16:16:30.724
"2016-08-16 16:16:30.776",1,0.82,-0.298,0.446,2.37,1,"1.sitting",1,"1.Resting","9923","sitting","Resting","land","land","",2016-08-16 16:16:30.776
"2016-08-16 16:16:30.829",1,0.808,-0.292,0.452,2.37,1,"1.sitting",1,"1.Resting","9925","sitting","Resting","land","land","",2016-08-16 16:16:30.829
"2016-08-16 16:16:30.881",1,0.794,-0.288,0.458,2.37,1,"1.sitting",1,"1.Resting","9926","sitting","Resting","land","land","",2016-08-16 16:16:30.881
"2016-08-16 16:16:30.934",1,0.784,-0.286,0.466,2.37,1,"1.sitting",1,"1.Resting","9927","sitting","Resting","land","land","",2016-08-16 16:16:30.934
"2016-08-16 16:16:30.986",1,0.78,-0.288,0.482,2.37,1,"1.sitting",1,"1.Resting","9928","sitting","Resting","land","land","",2016-08-16 16:16:30.986
"2016-08-16 16:16:31.039",1,0.77,-0.272,0.506,2.37,1,"1.sitting",1,"1.Resting","9930","sitting","Resting","land","land","",2016-08-16 16:16:31.039
"2016-08-16 16:16:31.092",1,0.768,-0.26,0.514,2.37,1,"1.sitting",1,"1.Resting","9931","sitting","Resting","land","land","",2016-08-16 16:16:31.092
"2016-08-16 16:16:31.144",1,0.764,-0.242,0.522,2.37,1,"1.sitting",1,"1.Resting","9932","sitting","Resting","land","land","",2016-08-16 16:16:31.144
"2016-08-16 16:16:31.197",1,0.764,-0.24,0.534,2.37,1,"1.sitting",1,"1.Resting","9933","sitting","Resting","land","land","",2016-08-16 16:16:31.197
"2016-08-16 16:16:31.250",1,0.76,-0.258,0.536,2.37,1,"1.sitting",1,"1.Resting","9935","sitting","Resting","land","land","",2016-08-16 16:16:31.250
"2016-08-16 16:16:31.302",1,0.758,-0.264,0.528,2.37,1,"1.sitting",1,"1.Resting","9936","sitting","Resting","land","land","",2016-08-16 16:16:31.302
"2016-08-16 16:16:31.355",1,0.76,-0.264,0.494,2.37,1,"1.sitting",1,"1.Resting","9937","sitting","Resting","land","land","",2016-08-16 16:16:31.355
"2016-08-16 16:16:31.407",1,0.76,-0.264,0.484,2.37,1,"1.sitting",1,"1.Resting","9938","sitting","Resting","land","land","",2016-08-16 16:16:31.407
"2016-08-16 16:16:31.460",1,0.812,-0.314,0.478,2.37,1,"1.sitting",1,"1.Resting","9940","sitting","Resting","land","land","",2016-08-16 16:16:31.460
"2016-08-16 16:16:31.512",1,0.842,-0.322,0.436,2.37,1,"1.sitting",1,"1.Resting","9941","sitting","Resting","land","land","",2016-08-16 16:16:31.512
"2016-08-16 16:16:31.565",1,0.844,-0.322,0.402,2.37,1,"1.sitting",1,"1.Resting","9942","sitting","Resting","land","land","",2016-08-16 16:16:31.565
"2016-08-16 16:16:31.617",1,0.842,-0.344,0.378,2.37,1,"1.sitting",1,"1.Resting","9943","sitting","Resting","land","land","",2016-08-16 16:16:31.617
"2016-08-16 16:16:31.670",1,0.85,-0.376,0.39,2.37,1,"1.sitting",1,"1.Resting","9945","sitting","Resting","land","land","",2016-08-16 16:16:31.670
"2016-08-16 16:16:31.721",1,0.848,-0.364,0.414,2.37,1,"1.sitting",1,"1.Resting","9946","sitting","Resting","land","land","",2016-08-16 16:16:31.721
"2016-08-16 16:16:31.775",1,0.838,-0.338,0.426,2.37,1,"1.sitting",1,"1.Resting","9947","sitting","Resting","land","land","",2016-08-16 16:16:31.775
"2016-08-16 16:16:31.826",1,0.838,-0.328,0.446,2.37,1,"1.sitting",1,"1.Resting","9948","sitting","Resting","land","land","",2016-08-16 16:16:31.826
"2016-08-16 16:16:31.880",1,0.844,-0.384,0.462,2.37,1,"1.sitting",1,"1.Resting","9950","sitting","Resting","land","land","",2016-08-16 16:16:31.880
"2016-08-16 16:16:31.931",1,0.876,-0.41,0.448,2.37,1,"1.sitting",1,"1.Resting","9951","sitting","Resting","land","land","",2016-08-16 16:16:31.931
"2016-08-16 16:16:31.984",1,0.878,-0.408,0.472,2.37,1,"1.sitting",1,"1.Resting","9952","sitting","Resting","land","land","",2016-08-16 16:16:31.984
"2016-08-16 16:16:32.036",1,0.834,-0.35,0.596,2.37,1,"1.sitting",1,"1.Resting","9953","sitting","Resting","land","land","",2016-08-16 16:16:32.036
"2016-08-16 16:16:32.089",1,0.998,-0.312,0.788,2.37,1,"1.sitting",1,"1.Resting","9955","sitting","Resting","land","land","",2016-08-16 16:16:32.089
"2016-08-16 16:16:32.141",1,0.962,-0.34,0.696,2.37,1,"1.moving",2,"2.Travelling","9956","moving","Travelling","land","land","moving",2016-08-16 16:16:32.141
"2016-08-16 16:16:32.194",1,0.67,-0.38,0.616,2.37,1,"1.moving",2,"2.Travelling","9957","moving","Travelling","land","land","",2016-08-16 16:16:32.194
"2016-08-16 16:16:32.246",1,0.31,-0.256,0.562,2.37,1,"1.moving",2,"2.Travelling","9958","moving","Travelling","land","land","",2016-08-16 16:16:32.246
"2016-08-16 16:16:32.299",1,-0.056,0.254,0.938,2.37,1,"1.moving",2,"2.Travelling","9960","moving","Travelling","land","land","",2016-08-16 16:16:32.299
"2016-08-16 16:16:32.351",1,0.06,0.35,0.924,2.37,1,"1.moving",2,"2.Travelling","9961","moving","Travelling","land","land","",2016-08-16 16:16:32.351
"2016-08-16 16:16:32.404",1,0.05,0.614,1.016,2.37,1,"1.moving",2,"2.Travelling","9962","moving","Travelling","land","land","",2016-08-16 16:16:32.404
"2016-08-16 16:16:32.457",1,-0.006,0.722,0.874,2.37,1,"1.moving",2,"2.Travelling","9963","moving","Travelling","land","land","",2016-08-16 16:16:32.457
"2016-08-16 16:16:32.509",1,0.324,0.428,0.184,2.37,1,"1.moving",2,"2.Travelling","9965","moving","Travelling","land","land","",2016-08-16 16:16:32.509
"2016-08-16 16:16:32.562",1,0.434,0.232,0.23,2.37,1,"1.moving",2,"2.Travelling","9966","moving","Travelling","land","land","",2016-08-16 16:16:32.562
"2016-08-16 16:16:32.615",1,0.32,-0.048,0.506,2.37,1,"1.moving",2,"2.Travelling","9967","moving","Travelling","land","land","",2016-08-16 16:16:32.615
"2016-08-16 16:16:32.667",1,0.36,-0.416,0.576,2.37,1,"1.moving",2,"2.Travelling","9968","moving","Travelling","land","land","",2016-08-16 16:16:32.667
"2016-08-16 16:16:32.720",1,0.786,-0.922,0.596,2.37,1,"1.moving",2,"2.Travelling","9970","moving","Travelling","land","land","",2016-08-16 16:16:32.720
"2016-08-16 16:16:32.772",1,1.1,-0.798,0.564,2.37,1,"1.moving",2,"2.Travelling","9971","moving","Travelling","land","land","",2016-08-16 16:16:32.772
"2016-08-16 16:16:32.825",1,1.088,-0.696,0.656,2.37,1,"1.moving",2,"2.Travelling","9972","moving","Travelling","land","land","",2016-08-16 16:16:32.825
"2016-08-16 16:16:32.877",1,0.946,-0.7,0.858,2.37,1,"1.moving",2,"2.Travelling","9973","moving","Travelling","land","land","",2016-08-16 16:16:32.877
"2016-08-16 16:16:32.930",1,0.508,-0.356,0.994,2.37,1,"1.moving",2,"2.Travelling","9975","moving","Travelling","land","land","",2016-08-16 16:16:32.930
"2016-08-16 16:16:32.982",1,0.256,-0.412,1.188,2.37,1,"1.moving",2,"2.Travelling","9976","moving","Travelling","land","land","",2016-08-16 16:16:32.982
"2016-08-16 16:16:33.035",1,0.276,-0.578,1.178,2.37,1,"1.moving",2,"2.Travelling","9977","moving","Travelling","land","land","",2016-08-16 16:16:33.035
"2016-08-16 16:16:33.086",1,0.276,-0.61,0.94,2.37,1,"1.moving",2,"2.Travelling","9978","moving","Travelling","land","land","",2016-08-16 16:16:33.086
"2016-08-16 16:16:33.140",1,-0.498,-0.416,0.862,2.37,1,"1.moving",2,"2.Travelling","9980","moving","Travelling","land","land","",2016-08-16 16:16:33.140
"2016-08-16 16:16:33.191",1,-0.65,-0.06,0.772,2.37,1,"1.moving",2,"2.Travelling","9981","moving","Travelling","land","land","",2016-08-16 16:16:33.191
"2016-08-16 16:16:33.244",1,-0.46,0.558,0.4,2.37,1,"1.moving",2,"2.Travelling","9982","moving","Travelling","land","land","",2016-08-16 16:16:33.244
"2016-08-16 16:16:33.296",1,-0.232,1.13,0.274,2.37,1,"1.moving",2,"2.Travelling","9983","moving","Travelling","land","land","",2016-08-16 16:16:33.296
"2016-08-16 16:16:33.349",1,0.444,0.94,0.314,2.37,1,"1.moving",2,"2.Travelling","9985","moving","Travelling","land","land","",2016-08-16 16:16:33.349
"2016-08-16 16:16:33.401",1,0.568,0.96,0.324,2.37,1,"1.moving",2,"2.Travelling","9986","moving","Travelling","land","land","",2016-08-16 16:16:33.401
"2016-08-16 16:16:33.454",1,0.672,0.664,0.122,2.37,1,"1.moving",2,"2.Travelling","9987","moving","Travelling","land","land","",2016-08-16 16:16:33.454
"2016-08-16 16:16:33.506",1,0.788,0.392,0.018,2.37,1,"1.moving",2,"2.Travelling","9988","moving","Travelling","land","land","",2016-08-16 16:16:33.506
"2016-08-16 16:16:33.559",1,1.418,-0.418,-0.334,2.37,1,"1.moving",2,"2.Travelling","9990","moving","Travelling","land","land","",2016-08-16 16:16:33.559
"2016-08-16 16:16:33.611",1,1.47,-1.372,-0.484,2.37,1,"1.moving",2,"2.Travelling","9991","moving","Travelling","land","land","",2016-08-16 16:16:33.611
"2016-08-16 16:16:33.664",1,1.268,-1.23,-0.086,2.37,1,"1.moving",2,"2.Travelling","9992","moving","Travelling","land","land","",2016-08-16 16:16:33.664
"2016-08-16 16:16:33.717",1,1.206,-0.74,0.192,2.37,1,"1.moving",2,"2.Travelling","9993","moving","Travelling","land","land","",2016-08-16 16:16:33.717
"2016-08-16 16:16:33.769",1,0.924,-0.296,0.226,2.37,1,"1.moving",2,"2.Travelling","9995","moving","Travelling","land","land","",2016-08-16 16:16:33.769
"2016-08-16 16:16:33.822",1,0.844,-0.334,0.234,2.37,1,"1.moving",2,"2.Travelling","9996","moving","Travelling","land","land","",2016-08-16 16:16:33.822
"2016-08-16 16:16:33.875",1,0.708,-0.414,0.25,2.37,1,"1.moving",2,"2.Travelling","9997","moving","Travelling","land","land","",2016-08-16 16:16:33.875
"2016-08-16 16:16:33.927",1,0.644,-0.39,0.482,2.37,1,"1.moving",2,"2.Travelling","9998","moving","Travelling","land","land","",2016-08-16 16:16:33.927
"2016-08-16 16:16:33.980",1,0.446,0.114,0.744,2.37,1,"1.moving",2,"2.Travelling","10000","moving","Travelling","land","land","",2016-08-16 16:16:33.980
"2016-08-16 16:16:34.032",1,0.288,0.258,0.73,2.37,1,"1.moving",2,"2.Travelling","10001","moving","Travelling","land","land","",2016-08-16 16:16:34.032
"2016-08-16 16:16:34.085",1,0.208,0.388,0.812,2.37,1,"1.moving",2,"2.Travelling","10002","moving","Travelling","land","land","",2016-08-16 16:16:34.085
"2016-08-16 16:16:34.137",1,0.178,0.416,0.806,2.37,1,"1.moving",2,"2.Travelling","10003","moving","Travelling","land","land","",2016-08-16 16:16:34.137
"2016-08-16 16:16:34.190",1,0.17,0.226,1.014,2.37,1,"1.moving",2,"2.Travelling","10005","moving","Travelling","land","land","",2016-08-16 16:16:34.190
"2016-08-16 16:16:34.242",1,0.278,0,1.276,2.37,1,"1.moving",2,"2.Travelling","10006","moving","Travelling","land","land","",2016-08-16 16:16:34.242
"2016-08-16 16:16:34.295",1,0.334,-0.276,1.458,2.37,1,"1.moving",2,"2.Travelling","10007","moving","Travelling","land","land","",2016-08-16 16:16:34.295
"2016-08-16 16:16:34.346",1,0.402,-0.46,1.316,2.37,1,"1.moving",2,"2.Travelling","10008","moving","Travelling","land","land","",2016-08-16 16:16:34.346
"2016-08-16 16:16:34.400",1,0.296,-0.12,0.3,2.37,1,"1.moving",2,"2.Travelling","10010","moving","Travelling","land","land","",2016-08-16 16:16:34.400
"2016-08-16 16:16:34.451",1,0.18,0.07,0.192,2.37,1,"1.moving",2,"2.Travelling","10011","moving","Travelling","land","land","",2016-08-16 16:16:34.451
