"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
"2016-08-16 08:57:12.700",1,0.644,-0.256,0.488,0.59,1,"1.sitting",1,"1.Resting","00:00:00.04","sitting","Resting","land","land","sitting",2016-08-16 08:57:12.700
"2016-08-16 08:57:12.752",1,0.534,-0.094,0.556,0.59,1,"1.sitting",1,"1.Resting","00:00:00.00","sitting","Resting","land","land","",2016-08-16 08:57:12.752
"2016-08-16 08:57:12.803",1,0.676,0.076,0.476,0.59,1,"1.sitting",1,"1.Resting","7314","sitting","Resting","land","land","",2016-08-16 08:57:12.803
"2016-08-16 08:57:12.857",1,0.85,0.112,0.384,0.59,1,"1.sitting",1,"1.Resting","7315","sitting","Resting","land","land","",2016-08-16 08:57:12.857
"2016-08-16 08:57:12.908",1,1.084,0.044,0.412,0.59,1,"1.sitting",1,"1.Resting","7316","sitting","Resting","land","land","",2016-08-16 08:57:12.908
"2016-08-16 08:57:12.961",1,0.848,0.012,0.49,0.59,1,"1.sitting",1,"1.Resting","7318","sitting","Resting","land","land","",2016-08-16 08:57:12.961
"2016-08-16 08:57:13.013",1,0.828,0.034,0.478,0.605,1,"1.sitting",1,"1.Resting","7319","sitting","Resting","land","land","",2016-08-16 08:57:13.013
"2016-08-16 08:57:13.066",1,0.828,0.04,0.508,0.605,1,"1.sitting",1,"1.Resting","7320","sitting","Resting","land","land","",2016-08-16 08:57:13.066
"2016-08-16 08:57:13.118",1,0.818,0.078,0.532,0.59,1,"1.sitting",1,"1.Resting","7322","sitting","Resting","land","land","",2016-08-16 08:57:13.118
"2016-08-16 08:57:13.171",1,0.822,0.11,0.524,0.59,1,"1.sitting",1,"1.Resting","7323","sitting","Resting","land","land","",2016-08-16 08:57:13.171
"2016-08-16 08:57:13.223",1,0.816,0.098,0.54,0.59,1,"1.sitting",1,"1.Resting","7324","sitting","Resting","land","land","",2016-08-16 08:57:13.223
"2016-08-16 08:57:13.276",1,0.808,0.08,0.55,0.59,1,"1.sitting",1,"1.Resting","7325","sitting","Resting","land","land","",2016-08-16 08:57:13.276
"2016-08-16 08:57:13.328",1,0.84,0.07,0.542,0.59,1,"1.sitting",1,"1.Resting","7327","sitting","Resting","land","land","",2016-08-16 08:57:13.328
"2016-08-16 08:57:13.381",1,0.856,0.064,0.53,0.59,1,"1.sitting",1,"1.Resting","7328","sitting","Resting","land","land","",2016-08-16 08:57:13.381
"2016-08-16 08:57:13.434",1,0.856,0.066,0.518,0.59,1,"1.sitting",1,"1.Resting","7329","sitting","Resting","land","land","",2016-08-16 08:57:13.434
"2016-08-16 08:57:13.486",1,0.86,0.06,0.526,0.59,1,"1.sitting",1,"1.Resting","7330","sitting","Resting","land","land","",2016-08-16 08:57:13.486
"2016-08-16 08:57:13.539",1,0.894,0.06,0.488,0.59,1,"1.sitting",1,"1.Resting","7332","sitting","Resting","land","land","",2016-08-16 08:57:13.539
"2016-08-16 08:57:13.592",1,0.908,0.038,0.472,0.59,1,"1.sitting",1,"1.Resting","7333","sitting","Resting","land","land","",2016-08-16 08:57:13.592
