"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
"2016-08-16 16:24:53.690",1,0.924,-0.424,0.14,0.5,1,"1.sitting",1,"1.Resting","00:00:00.04","sitting","Resting","land","land","sitting",2016-08-16 16:24:53.690
"2016-08-16 16:24:53.742",1,0.912,-0.434,0.146,0.48,1,"1.sitting",1,"1.Resting","00:00:00.00","sitting","Resting","land","land","",2016-08-16 16:24:53.742
"2016-08-16 16:24:53.793",1,0.916,-0.432,0.144,0.48,1,"1.sitting",1,"1.Resting","7087","sitting","Resting","land","land","",2016-08-16 16:24:53.793
"2016-08-16 16:24:53.846",1,0.912,-0.43,0.14,0.46,1,"1.sitting",1,"1.Resting","7088","sitting","Resting","land","land","",2016-08-16 16:24:53.846
"2016-08-16 16:24:53.898",1,0.908,-0.426,0.146,0.46,1,"1.sitting",1,"1.Resting","7089","sitting","Resting","land","land","",2016-08-16 16:24:53.898
"2016-08-16 16:24:53.951",1,0.878,-0.422,0.178,0.46,1,"1.sitting",1,"1.Resting","7091","sitting","Resting","land","land","",2016-08-16 16:24:53.951
"2016-08-16 16:24:54.003",1,0.906,-0.414,0.172,0.46,1,"1.sitting",1,"1.Resting","7092","sitting","Resting","land","land","",2016-08-16 16:24:54.003
"2016-08-16 16:24:54.056",1,0.998,-0.486,0.236,0.46,1,"1.sitting",1,"1.Resting","7093","sitting","Resting","land","land","",2016-08-16 16:24:54.056
"2016-08-16 16:24:54.108",1,1.06,-0.44,0.234,0.46,1,"1.sitting",1,"1.Resting","7095","sitting","Resting","land","land","",2016-08-16 16:24:54.108
"2016-08-16 16:24:54.161",1,1.054,-0.454,0.206,0.46,1,"1.sitting",1,"1.Resting","7096","sitting","Resting","land","land","",2016-08-16 16:24:54.161
"2016-08-16 16:24:54.213",1,0.934,-0.376,0.502,0.46,1,"1.sitting",1,"1.Resting","7097","sitting","Resting","land","land","",2016-08-16 16:24:54.213
"2016-08-16 16:24:54.266",1,0.724,-0.15,0.238,0.46,1,"1.sitting",1,"1.Resting","7098","sitting","Resting","land","land","",2016-08-16 16:24:54.266
"2016-08-16 16:24:54.319",1,0.41,-0.284,-0.624,0.46,1,"1.sitting",1,"1.Resting","7100","sitting","Resting","land","land","",2016-08-16 16:24:54.319
"2016-08-16 16:24:54.371",1,0.526,-0.174,0.4,0.46,1,"1.sitting",1,"1.Resting","7101","sitting","Resting","land","land","",2016-08-16 16:24:54.371
"2016-08-16 16:24:54.424",1,1.182,0.37,1.05,0.46,1,"1.sitting",1,"1.Resting","7102","sitting","Resting","land","land","",2016-08-16 16:24:54.424
"2016-08-16 16:24:54.476",1,1.112,0.088,0.626,0.46,1,"1.sitting",1,"1.Resting","7103","sitting","Resting","land","land","",2016-08-16 16:24:54.476
"2016-08-16 16:24:54.529",1,0.694,-0.234,0.6,0.46,1,"1.sitting",1,"1.Resting","7105","sitting","Resting","land","land","",2016-08-16 16:24:54.529
"2016-08-16 16:24:54.582",1,0.626,-0.334,0.57,0.46,1,"1.sitting",1,"1.Resting","7106","sitting","Resting","land","land","",2016-08-16 16:24:54.582
"2016-08-16 16:24:54.634",1,0.69,-0.254,0.546,0.46,1,"1.sitting",1,"1.Resting","7107","sitting","Resting","land","land","",2016-08-16 16:24:54.634
