"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
2016-08-16 16:33:19.789,1,0.62,0.996,0.444,3.56,1,"1.slow",1,"1.Travelling","00:00:00.04","slow","Travelling","water","surface","slow","2016-08-16 16:33:19.79"
2016-08-16 16:33:19.842,1,0.388,0.952,0.392,3.545,1,"1.slow",1,"1.Travelling","00:00:00.00","slow","Travelling","water","surface","","2016-08-16 16:33:19.83"
2016-08-16 16:33:19.894,1,0.202,1.01,0.304,3.545,1,"1.slow",1,"1.Travelling","35159","slow","Travelling","water","surface","","2016-08-16 16:33:19.88"
2016-08-16 16:33:19.947,1,0.04,1.018,0.186,3.495,1,"1.slow",1,"1.Travelling","35160","slow","Travelling","water","surface","","2016-08-16 16:33:19.93"
2016-08-16 16:33:19.999,1,0.07,1.04,0.138,3.48,1,"1.slow",1,"1.Travelling","35161","slow","Travelling","water","surface","","2016-08-16 16:33:19.97"
2016-08-16 16:33:20.052,1,0.212,1.02,0.4,3.48,1,"1.slow",1,"1.Travelling","35163","slow","Travelling","water","surface","","2016-08-16 16:33:20.04"
2016-08-16 16:33:20.104,1,0.234,0.912,0.456,3.5,1,"1.slow",1,"1.Travelling","35164","slow","Travelling","water","surface","","2016-08-16 16:33:20.08"
2016-08-16 16:33:20.157,1,0.246,0.802,0.53,3.515,1,"1.slow",1,"1.Travelling","35165","slow","Travelling","water","surface","","2016-08-16 16:33:20.14"
2016-08-16 16:33:20.209,1,0.204,0.796,0.564,3.545,1,"1.slow",1,"1.Travelling","35166","slow","Travelling","water","surface","","2016-08-16 16:33:20.18"
2016-08-16 16:33:20.262,1,0.12,0.854,0.612,3.495,1,"1.slow",1,"1.Travelling","35168","slow","Travelling","water","surface","","2016-08-16 16:33:20.25"
2016-08-16 16:33:20.314,1,-0.014,0.876,0.554,3.43,1,"1.slow",1,"1.Travelling","35169","slow","Travelling","water","surface","","2016-08-16 16:33:20.29"
2016-08-16 16:33:20.367,1,-0.086,0.858,0.58,3.355,1,"1.slow",1,"1.Travelling","35170","slow","Travelling","water","surface","","2016-08-16 16:33:20.34"
2016-08-16 16:33:20.419,1,0.022,0.744,0.62,3.34,1,"1.slow",1,"1.Travelling","35171","slow","Travelling","water","surface","","2016-08-16 16:33:20.39"
2016-08-16 16:33:20.472,1,0.078,0.638,0.676,3.325,1,"1.slow",1,"1.Travelling","35173","slow","Travelling","water","surface","","2016-08-16 16:33:20.47"
2016-08-16 16:33:20.524,1,0.054,0.638,0.692,3.325,1,"1.slow",1,"1.Travelling","35174","slow","Travelling","water","surface","","2016-08-16 16:33:20.50"
2016-08-16 16:33:20.577,1,0.078,0.62,0.598,3.295,1,"1.slow",1,"1.Travelling","35175","slow","Travelling","water","surface","","2016-08-16 16:33:20.55"
2016-08-16 16:33:20.629,1,0.122,0.644,0.624,3.295,1,"1.slow",1,"1.Travelling","35176","slow","Travelling","water","surface","","2016-08-16 16:33:20.59"
2016-08-16 16:33:20.682,1,0.178,0.558,0.724,3.295,1,"1.slow",1,"1.Travelling","35178","slow","Travelling","water","surface","","2016-08-16 16:33:20.68"
