"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw"
1,"1.sitting",1,"1.Resting",10369,"11:06.7",1,0.916,-0.176,0.36,"sitting","Resting","land","land","sitting"
1,"1.sitting",1,"1.Resting",10370,"11:06.8",1,0.928,-0.184,0.348,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10371,"11:06.8",1.03,0.932,-0.2,0.352,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10372,"11:06.9",1.03,0.932,-0.208,0.344,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10373,"11:06.9",1.03,0.924,-0.212,0.332,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10374,"11:07.0",1.03,0.912,-0.216,0.348,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10375,"11:07.0",1.03,0.92,-0.208,0.344,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10376,"11:07.1",1.03,0.912,-0.196,0.348,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10377,"11:07.1",1.03,0.924,-0.184,0.34,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10378,"11:07.2",1.03,0.924,-0.188,0.336,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10379,"11:07.2",1.03,0.932,-0.196,0.352,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10380,"11:07.3",1.03,0.924,-0.188,0.344,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10381,"11:07.3",1.03,0.928,-0.188,0.356,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10382,"11:07.4",1.03,0.924,-0.188,0.348,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10383,"11:07.4",1.03,0.912,-0.188,0.36,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10384,"11:07.5",1.03,0.904,-0.172,0.36,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10385,"11:07.5",1.03,0.904,-0.16,0.352,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10386,"11:07.6",1.03,0.9,-0.176,0.36,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10387,"11:07.6",1.03,0.904,-0.212,0.352,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10388,"11:07.7",1.03,0.912,-0.212,0.348,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10389,"11:07.7",1.03,0.916,-0.2,0.348,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10390,"11:07.8",1.03,0.92,-0.208,0.352,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10391,"11:07.8",1.03,0.908,-0.204,0.36,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10392,"11:07.9",1.03,0.92,-0.216,0.356,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10393,"11:08.0",1.03,0.92,-0.204,0.344,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10394,"11:08.0",1.03,0.92,-0.204,0.34,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10395,"11:08.0",1.03,0.916,-0.208,0.328,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10396,"11:08.1",1.03,0.924,-0.208,0.324,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10397,"11:08.1",1.03,0.932,-0.208,0.32,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10398,"11:08.2",1.03,0.936,-0.196,0.332,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10399,"11:08.2",1.03,0.928,-0.196,0.32,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10400,"11:08.3",1.03,0.932,-0.208,0.3,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10401,"11:08.3",1.03,0.932,-0.22,0.32,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10402,"11:08.4",1.03,0.94,-0.208,0.32,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10403,"11:08.4",1.03,0.948,-0.208,0.312,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10404,"11:08.5",1.03,0.948,-0.188,0.316,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10405,"11:08.5",1.03,0.936,-0.164,0.332,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10406,"11:08.6",1.03,0.916,-0.168,0.336,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10407,"11:08.7",1.03,0.888,-0.164,0.348,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10408,"11:08.7",1.03,0.88,-0.164,0.36,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10409,"11:08.7",1.03,0.876,-0.18,0.368,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10410,"11:08.8",1.03,0.872,-0.18,0.356,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10411,"11:08.8",1.03,0.896,-0.164,0.376,"sitting","Resting","land","land",""
1,"1.sitting",1,"1.Resting",10412,"11:08.9",1.03,0.896,-0.16,0.396,"sitting","Resting","land","land",""
