"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
2016-08-16 13:21:48.900,1,0.748,0.74,0.46,0.62,1,"1.sitting",1,"1.Resting","00:00:00.04","sitting","Resting","land","land","sitting","2016-08-16 13:21:48.90"
2016-08-16 13:21:48.952,1,0.558,0.256,0.644,0.635,1,"1.sitting",1,"1.Resting","00:00:00.00","sitting","Resting","land","land","","2016-08-16 13:21:48.94"
2016-08-16 13:21:49.004,1,0.462,-0.432,0.764,0.635,1,"1.sitting",1,"1.Resting","24300","sitting","Resting","land","land","","2016-08-16 13:21:48.98"
2016-08-16 13:21:49.057,1,0.474,-0.932,0.754,0.635,1,"1.sitting",1,"1.Resting","24301","sitting","Resting","land","land","","2016-08-16 13:21:49.02"
2016-08-16 13:21:49.109,1,0.716,-0.358,0.548,0.635,1,"1.sitting",1,"1.Resting","24303","sitting","Resting","land","land","","2016-08-16 13:21:49.10"
2016-08-16 13:21:49.162,1,0.696,0.302,0.508,0.62,1,"1.sitting",1,"1.Resting","24304","sitting","Resting","land","land","","2016-08-16 13:21:49.15"
2016-08-16 13:21:49.214,1,0.732,0.704,0.532,0.62,1,"1.sitting",1,"1.Resting","24305","sitting","Resting","land","land","","2016-08-16 13:21:49.19"
2016-08-16 13:21:49.267,1,0.768,0.698,0.474,0.62,1,"1.sitting",1,"1.Resting","24306","sitting","Resting","land","land","","2016-08-16 13:21:49.24"
2016-08-16 13:21:49.319,1,0.868,0.518,0.34,0.62,1,"1.sitting",1,"1.Resting","24308","sitting","Resting","land","land","","2016-08-16 13:21:49.31"
2016-08-16 13:21:49.372,1,0.78,0.556,0.308,0.635,1,"1.sitting",1,"1.Resting","24309","sitting","Resting","land","land","","2016-08-16 13:21:49.35"
2016-08-16 13:21:49.424,1,0.774,0.458,0.434,0.65,1,"1.sitting",1,"1.Resting","24310","sitting","Resting","land","land","","2016-08-16 13:21:49.40"
2016-08-16 13:21:49.477,1,0.828,0.214,0.574,0.635,1,"1.sitting",1,"1.Resting","24311","sitting","Resting","land","land","","2016-08-16 13:21:49.45"
2016-08-16 13:21:49.529,1,0.8,-0.416,0.65,0.635,1,"1.sitting",1,"1.Resting","24313","sitting","Resting","land","land","","2016-08-16 13:21:49.52"
2016-08-16 13:21:49.582,1,0.726,-0.448,0.656,0.62,1,"1.sitting",1,"1.Resting","24314","sitting","Resting","land","land","","2016-08-16 13:21:49.56"
2016-08-16 13:21:49.634,1,0.648,-0.34,0.638,0.62,1,"1.sitting",1,"1.Resting","24315","sitting","Resting","land","land","","2016-08-16 13:21:49.60"
2016-08-16 13:21:49.687,1,0.656,-0.152,0.612,0.62,1,"1.sitting",1,"1.Resting","24316","sitting","Resting","land","land","","2016-08-16 13:21:49.66"
2016-08-16 13:21:49.739,1,0.692,0.092,0.526,0.62,1,"1.sitting",1,"1.Resting","24317","sitting","Resting","land","land","","2016-08-16 13:21:49.70"
2016-08-16 13:21:49.792,1,0.772,0.62,0.42,0.62,1,"1.sitting",1,"1.Resting","24319","sitting","Resting","land","land","","2016-08-16 13:21:49.77"
2016-08-16 13:21:49.844,1,0.854,0.69,0.314,0.62,1,"1.sitting",1,"1.Resting","24320","sitting","Resting","land","land","","2016-08-16 13:21:49.81"
2016-08-16 13:21:49.897,1,0.97,0.618,0.338,0.62,1,"1.sitting",1,"1.Resting","24321","sitting","Resting","land","land","","2016-08-16 13:21:49.86"
2016-08-16 13:21:49.949,1,0.976,0.532,0.348,0.62,1,"1.sitting",1,"1.Resting","24322","sitting","Resting","land","land","","2016-08-16 13:21:49.91"
2016-08-16 13:21:50.002,1,0.848,0.536,0.336,0.62,1,"1.sitting",1,"1.Resting","24324","sitting","Resting","land","land","","2016-08-16 13:21:49.99"
2016-08-16 13:21:50.054,1,0.76,0.5,0.39,0.62,1,"1.sitting",1,"1.Resting","24325","sitting","Resting","land","land","","2016-08-16 13:21:50.02"
2016-08-16 13:21:50.107,1,0.758,0.434,0.504,0.62,1,"1.sitting",1,"1.Resting","24326","sitting","Resting","land","land","","2016-08-16 13:21:50.07"
2016-08-16 13:21:50.159,1,0.718,0.222,0.566,0.62,1,"1.sitting",1,"1.Resting","24327","sitting","Resting","land","land","","2016-08-16 13:21:50.11"
2016-08-16 13:21:50.212,1,0.628,-0.206,0.638,0.62,1,"1.sitting",1,"1.Resting","24329","sitting","Resting","land","land","","2016-08-16 13:21:50.20"
2016-08-16 13:21:50.264,1,0.584,-0.232,0.67,0.62,1,"1.sitting",1,"1.Resting","24330","sitting","Resting","land","land","","2016-08-16 13:21:50.24"
2016-08-16 13:21:50.317,1,0.588,-0.15,0.66,0.62,1,"1.sitting",1,"1.Resting","24331","sitting","Resting","land","land","","2016-08-16 13:21:50.28"
2016-08-16 13:21:50.369,1,0.694,0.42,0.444,0.62,1,"1.sitting",1,"1.Resting","24333","sitting","Resting","land","land","","2016-08-16 13:21:50.36"
2016-08-16 13:21:50.422,1,0.722,0.646,0.38,0.62,1,"1.sitting",1,"1.Resting","24334","sitting","Resting","land","land","","2016-08-16 13:21:50.41"
