"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
2016-08-16 16:24:53.690,1,0.924,-0.424,0.14,0.5,1,"1.sitting",1,"1.Resting","00:00:00.04","sitting","Resting","land","land","sitting","2016-08-16 16:24:53.69"
2016-08-16 16:24:53.742,1,0.912,-0.434,0.146,0.48,1,"1.sitting",1,"1.Resting","00:00:00.00","sitting","Resting","land","land","","2016-08-16 16:24:53.73"
2016-08-16 16:24:53.794,1,0.916,-0.432,0.144,0.48,1,"1.sitting",1,"1.Resting","7087","sitting","Resting","land","land","","2016-08-16 16:24:53.76"
2016-08-16 16:24:53.847,1,0.912,-0.43,0.14,0.46,1,"1.sitting",1,"1.Resting","7088","sitting","Resting","land","land","","2016-08-16 16:24:53.81"
2016-08-16 16:24:53.899,1,0.908,-0.426,0.146,0.46,1,"1.sitting",1,"1.Resting","7089","sitting","Resting","land","land","","2016-08-16 16:24:53.85"
2016-08-16 16:24:53.952,1,0.878,-0.422,0.178,0.46,1,"1.sitting",1,"1.Resting","7091","sitting","Resting","land","land","","2016-08-16 16:24:53.94"
2016-08-16 16:24:54.004,1,0.906,-0.414,0.172,0.46,1,"1.sitting",1,"1.Resting","7092","sitting","Resting","land","land","","2016-08-16 16:24:53.98"
2016-08-16 16:24:54.057,1,0.998,-0.486,0.236,0.46,1,"1.sitting",1,"1.Resting","7093","sitting","Resting","land","land","","2016-08-16 16:24:54.02"
2016-08-16 16:24:54.109,1,1.06,-0.44,0.234,0.46,1,"1.sitting",1,"1.Resting","7095","sitting","Resting","land","land","","2016-08-16 16:24:54.10"
2016-08-16 16:24:54.162,1,1.054,-0.454,0.206,0.46,1,"1.sitting",1,"1.Resting","7096","sitting","Resting","land","land","","2016-08-16 16:24:54.15"
2016-08-16 16:24:54.214,1,0.934,-0.376,0.502,0.46,1,"1.sitting",1,"1.Resting","7097","sitting","Resting","land","land","","2016-08-16 16:24:54.19"
2016-08-16 16:24:54.267,1,0.724,-0.15,0.238,0.46,1,"1.sitting",1,"1.Resting","7098","sitting","Resting","land","land","","2016-08-16 16:24:54.24"
2016-08-16 16:24:54.319,1,0.41,-0.284,-0.624,0.46,1,"1.sitting",1,"1.Resting","7100","sitting","Resting","land","land","","2016-08-16 16:24:54.31"
2016-08-16 16:24:54.372,1,0.526,-0.174,0.4,0.46,1,"1.sitting",1,"1.Resting","7101","sitting","Resting","land","land","","2016-08-16 16:24:54.35"
2016-08-16 16:24:54.424,1,1.182,0.37,1.05,0.46,1,"1.sitting",1,"1.Resting","7102","sitting","Resting","land","land","","2016-08-16 16:24:54.40"
2016-08-16 16:24:54.477,1,1.112,0.088,0.626,0.46,1,"1.sitting",1,"1.Resting","7103","sitting","Resting","land","land","","2016-08-16 16:24:54.45"
2016-08-16 16:24:54.529,1,0.694,-0.234,0.6,0.46,1,"1.sitting",1,"1.Resting","7105","sitting","Resting","land","land","","2016-08-16 16:24:54.52"
2016-08-16 16:24:54.582,1,0.626,-0.334,0.57,0.46,1,"1.sitting",1,"1.Resting","7106","sitting","Resting","land","land","","2016-08-16 16:24:54.56"
2016-08-16 16:24:54.634,1,0.69,-0.254,0.546,0.46,1,"1.sitting",1,"1.Resting","7107","sitting","Resting","land","land","","2016-08-16 16:24:54.60"
2016-08-16 16:24:54.687,1,0.746,-0.16,0.516,0.46,1,"1.sitting",1,"1.Resting","7108","sitting","Resting","land","land","","2016-08-16 16:24:54.66"
2016-08-16 16:24:54.739,1,0.82,-0.114,0.492,0.46,1,"1.sitting",1,"1.Resting","7109","sitting","Resting","land","land","","2016-08-16 16:24:54.70"
2016-08-16 16:24:54.792,1,0.85,-0.11,0.524,0.46,1,"1.other",2,"2.Other","7111","other","Other","land","land","","2016-08-16 16:24:54.77"
2016-08-16 16:24:54.844,1,0.802,-0.102,0.51,0.46,1,"1.other",2,"2.Other","7112","other","Other","land","land","","2016-08-16 16:24:54.81"
2016-08-16 16:24:54.897,1,0.81,-0.096,0.476,0.46,1,"1.other",2,"2.Other","7113","other","Other","land","land","","2016-08-16 16:24:54.86"
2016-08-16 16:24:54.949,1,0.862,-0.014,0.456,0.46,1,"1.other",2,"2.Other","7114","other","Other","land","land","","2016-08-16 16:24:54.91"
2016-08-16 16:24:55.002,1,0.896,0.036,0.438,0.46,1,"1.other",2,"2.Other","7116","other","Other","land","land","","2016-08-16 16:24:54.99"
2016-08-16 16:24:55.054,1,0.9,0.014,0.412,0.46,1,"1.other",2,"2.Other","7117","other","Other","land","land","","2016-08-16 16:24:55.02"
2016-08-16 16:24:55.107,1,0.936,0.006,0.37,0.46,1,"1.other",2,"2.Other","7118","other","Other","land","land","","2016-08-16 16:24:55.07"
2016-08-16 16:24:55.159,1,0.958,0.016,0.35,0.46,1,"1.other",2,"2.Other","7119","other","Other","land","land","","2016-08-16 16:24:55.11"
2016-08-16 16:24:55.212,1,0.962,0.048,0.306,0.46,1,"1.other",2,"2.Other","7121","other","Other","land","land","","2016-08-16 16:24:55.20"
2016-08-16 16:24:55.264,1,0.95,0.048,0.274,0.46,1,"1.other",2,"2.Other","7122","other","Other","land","land","","2016-08-16 16:24:55.24"
2016-08-16 16:24:55.317,1,0.94,0.048,0.252,0.46,1,"1.other",2,"2.Other","7123","other","Other","land","land","","2016-08-16 16:24:55.28"
2016-08-16 16:24:55.369,1,0.972,0.034,0.204,0.46,1,"1.other",2,"2.Other","7125","other","Other","land","land","","2016-08-16 16:24:55.36"
2016-08-16 16:24:55.422,1,0.994,0.012,0.176,0.46,1,"1.other",2,"2.Other","7126","other","Other","land","land","","2016-08-16 16:24:55.41"
2016-08-16 16:24:55.474,1,0.99,0,0.142,0.46,2,"2.sitting",3,"3.Resting","7127","sitting","Resting","land","land","sitting","2016-08-16 16:24:55.45"
2016-08-16 16:24:55.527,1,0.99,-0.012,0.11,0.46,2,"2.sitting",3,"3.Resting","7128","sitting","Resting","land","land","","2016-08-16 16:24:55.50"
2016-08-16 16:24:55.579,1,0.998,-0.036,0.05,0.46,2,"2.sitting",3,"3.Resting","7130","sitting","Resting","land","land","","2016-08-16 16:24:55.57"
2016-08-16 16:24:55.632,1,1.024,-0.048,0.02,0.46,2,"2.sitting",3,"3.Resting","7131","sitting","Resting","land","land","","2016-08-16 16:24:55.61"
2016-08-16 16:24:55.684,1,1.06,-0.06,-0.01,0.445,2,"2.sitting",3,"3.Resting","7132","sitting","Resting","land","land","","2016-08-16 16:24:55.66"
2016-08-16 16:24:55.737,1,1.07,-0.064,-0.054,0.445,2,"2.sitting",3,"3.Resting","7133","sitting","Resting","land","land","","2016-08-16 16:24:55.71"
2016-08-16 16:24:55.789,1,1.034,-0.074,-0.074,0.46,2,"2.sitting",3,"3.Resting","7135","sitting","Resting","land","land","","2016-08-16 16:24:55.78"
