number,behaviour_event,value,type_event,fps,time,depth,x,y,z,behaviour,type,location,place,raw
1,1.moving,1,1.Travelling,00:00:00.05,16:18:35.65,0.56,0.74,-0.028,0.628,moving,Travelling,land,land,moving
1,1.moving,1,1.Travelling,7923,16:18:35.70,0.56,0.812,-0.064,0.564,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7924,16:18:35.75,0.53,0.764,-0.036,0.616,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7925,16:18:35.80,0.56,0.744,-0.012,0.692,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7926,16:18:35.85,0.56,0.712,-0.144,0.732,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7927,16:18:35.90,0.56,0.68,0.012,1.028,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7928,16:18:35.95,0.56,0.428,-0.552,1.008,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7929,16:18:36.00,0.53,-0.128,0.172,0.912,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7930,16:18:36.05,0.53,0.792,0.352,1.236,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7931,16:18:36.10,0.56,-0.052,0.544,1.036,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7932,16:18:36.15,0.56,0.02,0.648,0.244,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7933,16:18:36.20,0.53,0.464,0.328,-0.296,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7934,16:18:36.25,0.53,0.928,0.42,-0.284,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7935,16:18:36.30,0.53,0.92,-0.472,0.284,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7936,16:18:36.35,0.53,1.2,-0.256,0.38,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7937,16:18:36.40,0.53,0.544,-0.176,0.912,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7938,16:18:36.45,0.53,-0.612,0.512,0.944,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7939,16:18:36.50,0.53,-0.048,-0.62,1.78,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7940,16:18:36.55,0.53,0.616,0.456,1.588,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7941,16:18:36.60,0.53,-0.212,0.892,1.32,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7942,16:18:36.65,0.53,0.32,0.688,0.456,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7943,16:18:36.70,0.53,0.496,0.476,-0.456,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7944,16:18:36.75,0.56,0.828,0.364,-0.44,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7945,16:18:36.80,0.53,0.668,0.312,0.212,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7946,16:18:36.85,0.53,-0.872,-0.78,0.7,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7947,16:18:36.90,0.56,-1.34,0.924,1.336,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7948,16:18:36.95,0.53,-0.2,1.064,1.752,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7949,16:18:37.00,0.53,0.484,0.516,0.916,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7950,16:18:37.05,0.53,0.112,0.612,1.056,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7951,16:18:37.10,0.53,-0.06,0.792,-0.34,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7952,16:18:37.15,0.53,0.8,0.608,-0.204,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7953,16:18:37.20,0.53,0.956,0.004,-0.38,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7954,16:18:37.25,0.53,1.664,-1.788,2.864,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7955,16:18:37.30,0.53,-1.276,0.328,2.444,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7956,16:18:37.35,0.53,1.576,-0.036,3.036,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7957,16:18:37.40,0.53,0.784,0.232,0.972,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7958,16:18:37.45,0.53,0.592,0.12,0.996,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7959,16:18:37.50,0.53,-0.316,0.34,-0.148,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7960,16:18:37.55,0.53,0.712,0.048,0.132,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7961,16:18:37.60,0.53,1.76,0.124,-0.352,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7962,16:18:37.65,0.53,-0.128,-0.412,-1.44,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7963,16:18:37.70,0.56,-0.376,0.248,0.836,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7964,16:18:37.75,0.53,0.084,-0.308,-0.032,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7965,16:18:37.80,0.53,0.652,0.184,0.72,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7966,16:18:37.85,0.53,0.136,0.124,-0.344,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7967,16:18:37.90,0.53,0.364,-0.084,-0.38,moving,Travelling,land,land,
1,1.moving,1,1.Travelling,7968,16:18:37.95,0.53,1.516,0.996,-1.152,moving,Travelling,land,land,
1,1.in,2,2.Other,7969,16:18:38.00,0.53,-0.592,0.02,-0.308,in,Other,water,surface,in
1,1.in,2,2.Other,7970,16:18:38.05,0.53,-0.304,0.172,-0.236,in,Other,water,surface,
1,1.in,2,2.Other,7971,16:18:38.10,0.53,0.272,0.484,-0.236,in,Other,water,surface,
1,1.in,2,2.Other,7972,16:18:38.15,0.53,-0.324,0.204,0.22,in,Other,water,surface,
1,1.in,2,2.Other,7973,16:18:38.20,0.53,-0.32,0.484,0.392,in,Other,water,surface,
1,1.in,2,2.Other,7974,16:18:38.25,0.56,-0.764,0.38,0.644,in,Other,water,surface,
1,1.in,2,2.Other,7975,16:18:38.30,0.53,-0.608,0.628,0.908,in,Other,water,surface,
1,1.in,2,2.Other,7976,16:18:38.35,0.53,-0.3,0.932,1.076,in,Other,water,surface,
1,1.in,2,2.Other,7977,16:18:38.40,0.59,0.084,0.72,1.008,in,Other,water,surface,
1,1.in,2,2.Other,7978,16:18:38.45,0.62,0.3,0.96,0.996,in,Other,water,surface,
1,1.in,2,2.Other,7979,16:18:38.50,0.65,0.604,0.972,0.896,in,Other,water,surface,
1,1.in,2,2.Other,7980,16:18:38.55,0.65,0.736,0.832,0.624,in,Other,water,surface,
1,1.slow,3,3.Travelling,7981,16:18:38.60,0.68,0.816,0.804,0.584,slow,Travelling,water,surface,slow
1,1.slow,3,3.Travelling,7982,16:18:38.65,0.68,0.82,0.88,0.492,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,7983,16:18:38.70,0.71,0.856,0.872,0.356,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,7984,16:18:38.75,0.71,0.876,0.568,0.4,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,7985,16:18:38.80,0.71,0.984,0.38,0.232,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,7986,16:18:38.85,0.68,1.08,0.064,0.252,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,7987,16:18:38.90,0.68,1.172,0.148,0.324,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,7988,16:18:38.95,0.68,1.184,0.064,0.348,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,7989,16:18:39.00,0.65,1.16,-0.096,0.352,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,7990,16:18:39.05,0.62,1.276,-0.324,0.344,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,7991,16:18:39.10,0.62,1.196,-0.168,0.18,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,7992,16:18:39.15,0.59,0.944,0.06,0.12,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,7993,16:18:39.20,0.59,0.88,0.224,0.06,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,7994,16:18:39.25,0.62,0.796,-0.276,0.276,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,7995,16:18:39.30,0.62,0.596,-0.308,0.208,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,7996,16:18:39.35,0.59,0.28,-0.216,0.116,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,7997,16:18:39.40,0.62,-0.22,-0.348,0.26,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,7998,16:18:39.45,0.62,-0.388,-0.02,0.376,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,7999,16:18:39.50,0.62,-0.72,0.484,0.456,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,8000,16:18:39.55,0.59,-0.308,0.572,0.944,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,8001,16:18:39.60,0.62,-0.412,0.968,1.104,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,8002,16:18:39.65,0.65,0.028,1.316,1.068,slow,Travelling,water,surface,
1,1.slow,3,3.Travelling,8003,16:18:39.70,0.62,0.544,1.16,1.176,slow,Travelling,water,surface,
1,1.out,4,4.Other,8004,16:18:39.75,0.56,0.92,0.964,1.488,out,Other,land,land,out
1,1.out,4,4.Other,8005,16:18:39.80,0.59,1.772,1.364,1.244,out,Other,land,land,
1,1.out,4,4.Other,8006,16:18:39.85,0.62,1.192,0.184,0.236,out,Other,land,land,
1,1.out,4,4.Other,8007,16:18:39.90,0.62,0.848,0.404,-0.168,out,Other,land,land,
1,1.out,4,4.Other,8008,16:18:39.95,0.62,0.592,0.208,-0.424,out,Other,land,land,
1,1.out,4,4.Other,8009,16:18:40.00,0.62,0.44,-0.228,-0.692,out,Other,land,land,
1,1.out,4,4.Other,8010,16:18:40.05,0.62,0.624,-0.492,-0.304,out,Other,land,land,
1,1.out,4,4.Other,8011,16:18:40.10,0.62,0.304,0.636,0.672,out,Other,land,land,
1,1.out,4,4.Other,8012,16:18:40.15,0.62,-0.516,0.804,0.608,out,Other,land,land,
1,1.out,4,4.Other,8013,16:18:40.20,0.62,-0.972,1.232,0.844,out,Other,land,land,
1,1.out,4,4.Other,8014,16:18:40.25,0.62,-0.34,1.132,1.756,out,Other,land,land,
1,1.out,4,4.Other,8015,16:18:40.30,0.59,0.712,0.124,0.212,out,Other,land,land,
2,2.moving,5,5.Travelling,8016,16:18:40.35,0.59,0.308,0.876,0.88,moving,Travelling,land,land,moving
2,2.moving,5,5.Travelling,8017,16:18:40.40,0.62,0.104,0.292,-0.008,moving,Travelling,land,land,
2,2.moving,5,5.Travelling,8018,16:18:40.45,0.59,0.28,-0.216,-0.008,moving,Travelling,land,land,
2,2.moving,5,5.Travelling,8019,16:18:40.50,0.59,0.504,0.24,-0.016,moving,Travelling,land,land,
2,2.moving,5,5.Travelling,8020,16:18:40.55,0.59,0.632,2.488,-0.396,moving,Travelling,land,land,
