"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
2016-08-16 16:21:28.700,1,0.88,-0.26,0.428,1.34,1,"1.sitting",1,"1.Resting","00:00:00.04","sitting","Resting","land","land","sitting","2016-08-16 16:21:28.70"
2016-08-16 16:21:28.752,1,0.888,-0.25,0.46,1.34,1,"1.sitting",1,"1.Resting","00:00:00.00","sitting","Resting","land","land","","2016-08-16 16:21:28.74"
2016-08-16 16:21:28.804,1,0.868,-0.26,0.466,1.34,1,"1.sitting",1,"1.Resting","7888","sitting","Resting","land","land","","2016-08-16 16:21:28.77"
2016-08-16 16:21:28.857,1,0.824,-0.288,0.47,1.34,1,"1.sitting",1,"1.Resting","7889","sitting","Resting","land","land","","2016-08-16 16:21:28.82"
2016-08-16 16:21:28.909,1,0.77,-0.298,0.47,1.34,1,"1.sitting",1,"1.Resting","7890","sitting","Resting","land","land","","2016-08-16 16:21:28.86"
2016-08-16 16:21:28.962,1,0.744,-0.316,0.448,1.34,1,"1.sitting",1,"1.Resting","7892","sitting","Resting","land","land","","2016-08-16 16:21:28.95"
2016-08-16 16:21:29.014,1,0.768,-0.318,0.448,1.34,1,"1.sitting",1,"1.Resting","7893","sitting","Resting","land","land","","2016-08-16 16:21:28.99"
2016-08-16 16:21:29.067,1,0.766,-0.318,0.452,1.34,1,"1.sitting",1,"1.Resting","7894","sitting","Resting","land","land","","2016-08-16 16:21:29.03"
2016-08-16 16:21:29.119,1,0.778,-0.292,0.524,1.34,1,"1.sitting",1,"1.Resting","7896","sitting","Resting","land","land","","2016-08-16 16:21:29.11"
2016-08-16 16:21:29.172,1,0.79,-0.252,0.53,1.34,1,"1.sitting",1,"1.Resting","7897","sitting","Resting","land","land","","2016-08-16 16:21:29.16"
2016-08-16 16:21:29.224,1,0.81,-0.21,0.506,1.34,1,"1.sitting",1,"1.Resting","7898","sitting","Resting","land","land","","2016-08-16 16:21:29.20"
2016-08-16 16:21:29.277,1,0.826,-0.166,0.482,1.34,1,"1.sitting",1,"1.Resting","7899","sitting","Resting","land","land","","2016-08-16 16:21:29.25"
2016-08-16 16:21:29.329,1,0.828,0.002,0.502,1.34,1,"1.sitting",1,"1.Resting","7901","sitting","Resting","land","land","","2016-08-16 16:21:29.32"
2016-08-16 16:21:29.382,1,0.82,0.018,0.526,1.34,1,"1.sitting",1,"1.Resting","7902","sitting","Resting","land","land","","2016-08-16 16:21:29.36"
2016-08-16 16:21:29.434,1,0.862,0.02,0.478,1.34,1,"1.sitting",1,"1.Resting","7903","sitting","Resting","land","land","","2016-08-16 16:21:29.41"
2016-08-16 16:21:29.487,1,0.902,0.044,0.454,1.34,1,"1.sitting",1,"1.Resting","7904","sitting","Resting","land","land","","2016-08-16 16:21:29.46"
2016-08-16 16:21:29.539,1,0.924,-0.032,0.458,1.34,1,"1.sitting",1,"1.Resting","7906","sitting","Resting","land","land","","2016-08-16 16:21:29.53"
2016-08-16 16:21:29.592,1,0.882,-0.096,0.482,1.34,1,"1.sitting",1,"1.Resting","7907","sitting","Resting","land","land","","2016-08-16 16:21:29.57"
2016-08-16 16:21:29.644,1,0.856,-0.14,0.488,1.34,1,"1.sitting",1,"1.Resting","7908","sitting","Resting","land","land","","2016-08-16 16:21:29.61"
