"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
"2016-08-16 16:13:26.000",1,0.904,-0.172,0.332,2.37,1,"1.sitting",1,"1.Resting","00:00:00.04","sitting","Resting","land","land","sitting",2016-08-16 16:13:26.000
"2016-08-16 16:13:26.052",1,0.894,-0.17,0.336,2.37,1,"1.sitting",1,"1.Resting","00:00:00.00","sitting","Resting","land","land","",2016-08-16 16:13:26.052
"2016-08-16 16:13:26.104",1,0.892,-0.174,0.332,2.37,1,"1.sitting",1,"1.Resting","17528","sitting","Resting","land","land","",2016-08-16 16:13:26.104
"2016-08-16 16:13:26.157",1,0.894,-0.178,0.334,2.37,1,"1.sitting",1,"1.Resting","17529","sitting","Resting","land","land","",2016-08-16 16:13:26.157
"2016-08-16 16:13:26.209",1,0.898,-0.184,0.342,2.37,1,"1.sitting",1,"1.Resting","17530","sitting","Resting","land","land","",2016-08-16 16:13:26.209
"2016-08-16 16:13:26.262",1,0.902,-0.184,0.328,2.37,1,"1.sitting",1,"1.Resting","17532","sitting","Resting","land","land","",2016-08-16 16:13:26.262
"2016-08-16 16:13:26.313",1,0.906,-0.188,0.324,2.37,1,"1.sitting",1,"1.Resting","17533","sitting","Resting","land","land","",2016-08-16 16:13:26.313
"2016-08-16 16:13:26.367",1,0.908,-0.194,0.32,2.355,1,"1.sitting",1,"1.Resting","17534","sitting","Resting","land","land","",2016-08-16 16:13:26.367
"2016-08-16 16:13:26.418",1,0.908,-0.196,0.32,2.355,1,"1.sitting",1,"1.Resting","17535","sitting","Resting","land","land","",2016-08-16 16:13:26.418
"2016-08-16 16:13:26.471",1,0.91,-0.194,0.334,2.37,1,"1.sitting",1,"1.Resting","17537","sitting","Resting","land","land","",2016-08-16 16:13:26.471
"2016-08-16 16:13:26.523",1,0.91,-0.196,0.332,2.37,1,"1.sitting",1,"1.Resting","17538","sitting","Resting","land","land","",2016-08-16 16:13:26.523
"2016-08-16 16:13:26.576",1,0.908,-0.188,0.33,2.355,1,"1.sitting",1,"1.Resting","17539","sitting","Resting","land","land","",2016-08-16 16:13:26.576
"2016-08-16 16:13:26.628",1,0.908,-0.18,0.332,2.34,1,"1.sitting",1,"1.Resting","17540","sitting","Resting","land","land","",2016-08-16 16:13:26.628
"2016-08-16 16:13:26.681",1,0.906,-0.186,0.33,2.355,1,"1.sitting",1,"1.Resting","17542","sitting","Resting","land","land","",2016-08-16 16:13:26.681
"2016-08-16 16:13:26.733",1,0.902,-0.184,0.326,2.34,1,"1.sitting",1,"1.Resting","17543","sitting","Resting","land","land","",2016-08-16 16:13:26.733
"2016-08-16 16:13:26.786",1,0.902,-0.184,0.326,2.355,1,"1.sitting",1,"1.Resting","17544","sitting","Resting","land","land","",2016-08-16 16:13:26.786
"2016-08-16 16:13:26.838",1,0.906,-0.176,0.324,2.355,1,"1.sitting",1,"1.Resting","17546","sitting","Resting","land","land","",2016-08-16 16:13:26.838
"2016-08-16 16:13:26.891",1,0.904,-0.178,0.332,2.37,1,"1.sitting",1,"1.Resting","17547","sitting","Resting","land","land","",2016-08-16 16:13:26.891
"2016-08-16 16:13:26.944",1,0.908,-0.186,0.33,2.37,1,"1.sitting",1,"1.Resting","17548","sitting","Resting","land","land","",2016-08-16 16:13:26.944
"2016-08-16 16:13:26.996",1,0.91,-0.184,0.332,2.37,1,"1.sitting",1,"1.Resting","17549","sitting","Resting","land","land","",2016-08-16 16:13:26.996
"2016-08-16 16:13:27.049",1,0.9,-0.188,0.316,2.37,1,"1.sitting",1,"1.Resting","17551","sitting","Resting","land","land","",2016-08-16 16:13:27.049
"2016-08-16 16:13:27.101",1,0.9,-0.19,0.316,2.37,1,"1.sitting",1,"1.Resting","17552","sitting","Resting","land","land","",2016-08-16 16:13:27.101
"2016-08-16 16:13:27.154",1,0.902,-0.194,0.318,2.355,1,"1.sitting",1,"1.Resting","17553","sitting","Resting","land","land","",2016-08-16 16:13:27.154
"2016-08-16 16:13:27.207",1,0.904,-0.194,0.32,2.355,1,"1.sitting",1,"1.Resting","17554","sitting","Resting","land","land","",2016-08-16 16:13:27.207
"2016-08-16 16:13:27.259",1,0.908,-0.186,0.322,2.355,1,"1.sitting",1,"1.Resting","17556","sitting","Resting","land","land","",2016-08-16 16:13:27.259
"2016-08-16 16:13:27.312",1,0.91,-0.194,0.322,2.355,1,"1.sitting",1,"1.Resting","17557","sitting","Resting","land","land","",2016-08-16 16:13:27.312
"2016-08-16 16:13:27.364",1,0.916,-0.2,0.328,2.355,1,"1.sitting",1,"1.Resting","17558","sitting","Resting","land","land","",2016-08-16 16:13:27.364
"2016-08-16 16:13:27.417",1,0.916,-0.202,0.33,2.34,1,"1.sitting",1,"1.Resting","17559","sitting","Resting","land","land","",2016-08-16 16:13:27.417
"2016-08-16 16:13:27.469",1,0.91,-0.2,0.324,2.34,1,"1.sitting",1,"1.Resting","17560","sitting","Resting","land","land","",2016-08-16 16:13:27.469
"2016-08-16 16:13:27.522",1,0.91,-0.192,0.318,2.34,1,"1.sitting",1,"1.Resting","17562","sitting","Resting","land","land","",2016-08-16 16:13:27.522
"2016-08-16 16:13:27.573",1,0.904,-0.196,0.312,2.34,1,"1.sitting",1,"1.Resting","17563","sitting","Resting","land","land","",2016-08-16 16:13:27.573
"2016-08-16 16:13:27.627",1,0.902,-0.198,0.318,2.355,1,"1.sitting",1,"1.Resting","17564","sitting","Resting","land","land","",2016-08-16 16:13:27.627
"2016-08-16 16:13:27.678",1,0.898,-0.192,0.324,2.37,1,"1.sitting",1,"1.Resting","17565","sitting","Resting","land","land","",2016-08-16 16:13:27.678
"2016-08-16 16:13:27.732",1,0.902,-0.196,0.326,2.37,1,"1.sitting",1,"1.Resting","17567","sitting","Resting","land","land","",2016-08-16 16:13:27.732
