number,behaviour_event,value,type_event,fps,time,depth,x,y,z,behaviour,type,location,place,raw,date
1,1.lying,1,1.Resting,00:00.1,59:03.0,0.87,-0.196,-0.208,0.904,lying,Resting,land,land,lying,9:59:03.0
1,1.lying,1,1.Resting,15702,59:03.0,0.87,-0.2,-0.204,0.904,lying,Resting,land,land,,9:59:03.0
1,1.lying,1,1.Resting,15703,59:03.1,0.87,-0.204,-0.204,0.9,lying,Resting,land,land,,9:59:03.1
1,1.lying,1,1.Resting,15704,59:03.1,0.87,-0.196,-0.196,0.908,lying,Resting,land,land,,9:59:03.1
1,1.lying,1,1.Resting,15705,59:03.2,0.87,-0.192,-0.2,0.916,lying,Resting,land,land,,9:59:03.2
1,1.lying,1,1.Resting,15706,59:03.2,0.87,-0.192,-0.204,0.904,lying,Resting,land,land,,9:59:03.2
1,1.lying,1,1.Resting,15707,59:03.2,0.87,-0.2,-0.2,0.896,lying,Resting,land,land,,9:59:03.3
1,1.lying,1,1.Resting,15708,59:03.3,0.87,-0.196,-0.2,0.9,lying,Resting,land,land,,9:59:03.3
1,1.lying,1,1.Resting,15709,59:03.3,0.87,-0.2,-0.208,0.9,lying,Resting,land,land,,9:59:03.4
1,1.lying,1,1.Resting,15710,59:03.4,0.87,-0.2,-0.212,0.904,lying,Resting,land,land,,9:59:03.4
1,1.lying,1,1.Resting,15711,59:03.4,0.87,-0.196,-0.212,0.888,lying,Resting,land,land,,9:59:03.5
1,1.lying,1,1.Resting,15712,59:03.4,0.87,-0.196,-0.208,0.9,lying,Resting,land,land,,9:59:03.5
1,1.lying,1,1.Resting,15713,59:03.5,0.87,-0.184,-0.204,0.9,lying,Resting,land,land,,9:59:03.6
1,1.lying,1,1.Resting,15714,59:03.5,0.87,-0.192,-0.2,0.908,lying,Resting,land,land,,9:59:03.6
1,1.lying,1,1.Resting,15715,59:03.6,0.87,-0.192,-0.2,0.9,lying,Resting,land,land,,9:59:03.7
1,1.lying,1,1.Resting,15716,59:03.6,0.87,-0.184,-0.208,0.908,lying,Resting,land,land,,9:59:03.7
