time,id,x,y,z,depth,number,behaviour_event,value,type_event,fps,behaviour,type,location,place,raw,date
16:30.2,1,0.792,-0.212,0.576,0.87,1,1.sitting,1,1.Resting,00:00.1,sitting,Resting,land,land,sitting,16:16:30.2
16:30.3,1,0.846,-0.268,0.522,0.87,1,1.sitting,1,1.Resting,00:00.0,sitting,Resting,land,land,,16:16:30.3
16:30.3,1,0.852,-0.318,0.492,0.87,1,1.sitting,1,1.Resting,9912,sitting,Resting,land,land,,16:16:30.3
16:30.4,1,0.84,-0.35,0.484,0.87,1,1.sitting,1,1.Resting,9913,sitting,Resting,land,land,,16:16:30.4
16:30.4,1,0.804,-0.34,0.468,0.87,1,1.sitting,1,1.Resting,9915,sitting,Resting,land,land,,16:16:30.4
16:30.5,1,0.802,-0.338,0.46,0.87,1,1.sitting,1,1.Resting,9916,sitting,Resting,land,land,,16:16:30.5
16:30.5,1,0.808,-0.338,0.464,0.87,1,1.sitting,1,1.Resting,9917,sitting,Resting,land,land,,16:16:30.5
16:30.6,1,0.816,-0.338,0.464,0.87,1,1.sitting,1,1.Resting,9918,sitting,Resting,land,land,,16:16:30.6
16:30.6,1,0.81,-0.316,0.45,0.87,1,1.sitting,1,1.Resting,9920,sitting,Resting,land,land,,16:16:30.6
16:30.7,1,0.81,-0.318,0.45,0.87,1,1.sitting,1,1.Resting,9921,sitting,Resting,land,land,,16:16:30.7
16:30.7,1,0.818,-0.314,0.448,0.87,1,1.sitting,1,1.Resting,9922,sitting,Resting,land,land,,16:16:30.7
16:30.8,1,0.82,-0.298,0.446,0.87,1,1.sitting,1,1.Resting,9923,sitting,Resting,land,land,,16:16:30.8
16:30.8,1,0.808,-0.292,0.452,0.87,1,1.sitting,1,1.Resting,9925,sitting,Resting,land,land,,16:16:30.8
16:30.9,1,0.794,-0.288,0.458,0.87,1,1.sitting,1,1.Resting,9926,sitting,Resting,land,land,,16:16:30.9
16:30.9,1,0.784,-0.286,0.466,0.87,1,1.sitting,1,1.Resting,9927,sitting,Resting,land,land,,16:16:30.9
16:31.0,1,0.78,-0.288,0.482,0.87,1,1.sitting,1,1.Resting,9928,sitting,Resting,land,land,,16:16:31.0
16:31.0,1,0.77,-0.272,0.506,0.87,1,1.sitting,1,1.Resting,9930,sitting,Resting,land,land,,16:16:31.0
16:31.1,1,0.768,-0.26,0.514,0.87,1,1.sitting,1,1.Resting,9931,sitting,Resting,land,land,,16:16:31.1
16:31.1,1,0.764,-0.242,0.522,0.87,1,1.sitting,1,1.Resting,9932,sitting,Resting,land,land,,16:16:31.1
16:31.2,1,0.764,-0.24,0.534,0.87,1,1.sitting,1,1.Resting,9933,sitting,Resting,land,land,,16:16:31.2
16:31.2,1,0.76,-0.258,0.536,0.87,1,1.sitting,1,1.Resting,9935,sitting,Resting,land,land,,16:16:31.2
16:31.3,1,0.758,-0.264,0.528,0.87,1,1.sitting,1,1.Resting,9936,sitting,Resting,land,land,,16:16:31.3
16:31.4,1,0.76,-0.264,0.494,0.87,1,1.sitting,1,1.Resting,9937,sitting,Resting,land,land,,16:16:31.3
16:31.4,1,0.76,-0.264,0.484,0.87,1,1.sitting,1,1.Resting,9938,sitting,Resting,land,land,,16:16:31.4
16:31.5,1,0.812,-0.314,0.478,0.87,1,1.sitting,1,1.Resting,9940,sitting,Resting,land,land,,16:16:31.4
16:31.5,1,0.842,-0.322,0.436,0.87,1,1.sitting,1,1.Resting,9941,sitting,Resting,land,land,,16:16:31.5
16:31.6,1,0.844,-0.322,0.402,0.87,1,1.sitting,1,1.Resting,9942,sitting,Resting,land,land,,16:16:31.5
16:31.6,1,0.842,-0.344,0.378,0.87,1,1.sitting,1,1.Resting,9943,sitting,Resting,land,land,,16:16:31.6
16:31.7,1,0.85,-0.376,0.39,0.87,1,1.sitting,1,1.Resting,9945,sitting,Resting,land,land,,16:16:31.6
16:31.7,1,0.848,-0.364,0.414,0.87,1,1.sitting,1,1.Resting,9946,sitting,Resting,land,land,,16:16:31.7
16:31.8,1,0.838,-0.338,0.426,0.87,1,1.sitting,1,1.Resting,9947,sitting,Resting,land,land,,16:16:31.7
16:31.8,1,0.838,-0.328,0.446,0.87,1,1.sitting,1,1.Resting,9948,sitting,Resting,land,land,,16:16:31.8
16:31.9,1,0.844,-0.384,0.462,0.87,1,1.sitting,1,1.Resting,9950,sitting,Resting,land,land,,16:16:31.8
16:31.9,1,0.876,-0.41,0.448,0.87,1,1.sitting,1,1.Resting,9951,sitting,Resting,land,land,,16:16:31.9
16:32.0,1,0.878,-0.408,0.472,0.87,1,1.sitting,1,1.Resting,9952,sitting,Resting,land,land,,16:16:31.9
16:32.0,1,0.834,-0.35,0.596,0.87,1,1.sitting,1,1.Resting,9953,sitting,Resting,land,land,,16:16:32.0
16:32.1,1,0.998,-0.312,0.788,0.87,1,1.sitting,1,1.Resting,9955,sitting,Resting,land,land,,16:16:32.0
