"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
"2016-08-16 16:28:02.799",1,0.952,0.132,0.348,0.84,1,"1.sitting",1,"1.Resting","00:00:00.04","sitting","Resting","land","land","sitting",2016-08-16 16:28:02.799
"2016-08-16 16:28:02.851",1,0.942,0.144,0.374,0.84,1,"1.sitting",1,"1.Resting","00:00:00.00","sitting","Resting","land","land","",2016-08-16 16:28:02.851
"2016-08-16 16:28:02.904",1,0.93,0.154,0.382,0.855,1,"1.sitting",1,"1.Resting","35802","sitting","Resting","land","land","",2016-08-16 16:28:02.904
"2016-08-16 16:28:02.957",1,0.908,0.148,0.394,0.885,1,"1.sitting",1,"1.Resting","35803","sitting","Resting","land","land","",2016-08-16 16:28:02.957
"2016-08-16 16:28:03.009",1,0.894,0.132,0.406,0.9,1,"1.sitting",1,"1.Resting","35804","sitting","Resting","land","land","",2016-08-16 16:28:03.009
"2016-08-16 16:28:03.062",1,0.9,0.148,0.414,0.9,1,"1.sitting",1,"1.Resting","35806","sitting","Resting","land","land","",2016-08-16 16:28:03.062
"2016-08-16 16:28:03.114",1,0.926,0.158,0.41,0.915,1,"1.sitting",1,"1.Resting","35807","sitting","Resting","land","land","",2016-08-16 16:28:03.114
"2016-08-16 16:28:03.167",1,0.942,0.154,0.404,0.93,1,"1.sitting",1,"1.Resting","35808","sitting","Resting","land","land","",2016-08-16 16:28:03.167
"2016-08-16 16:28:03.219",1,0.944,0.148,0.392,0.93,1,"1.sitting",1,"1.Resting","35809","sitting","Resting","land","land","",2016-08-16 16:28:03.219
"2016-08-16 16:28:03.272",1,0.954,0.156,0.346,0.96,1,"1.sitting",1,"1.Resting","35811","sitting","Resting","land","land","",2016-08-16 16:28:03.272
"2016-08-16 16:28:03.323",1,0.956,0.166,0.318,0.96,1,"1.sitting",1,"1.Resting","35812","sitting","Resting","land","land","",2016-08-16 16:28:03.323
"2016-08-16 16:28:03.377",1,0.952,0.174,0.3,0.96,1,"1.sitting",1,"1.Resting","35813","sitting","Resting","land","land","",2016-08-16 16:28:03.377
"2016-08-16 16:28:03.428",1,0.968,0.19,0.294,0.98,1,"1.sitting",1,"1.Resting","35814","sitting","Resting","land","land","",2016-08-16 16:28:03.428
"2016-08-16 16:28:03.482",1,0.986,0.226,0.246,1,1,"1.sitting",1,"1.Resting","35816","sitting","Resting","land","land","",2016-08-16 16:28:03.482
"2016-08-16 16:28:03.533",1,0.994,0.23,0.212,1,1,"1.sitting",1,"1.Resting","35817","sitting","Resting","land","land","",2016-08-16 16:28:03.533
"2016-08-16 16:28:03.586",1,1.008,0.234,0.194,1,1,"1.sitting",1,"1.Resting","35818","sitting","Resting","land","land","",2016-08-16 16:28:03.586
"2016-08-16 16:28:03.638",1,1.014,0.224,0.196,1,1,"1.sitting",1,"1.Resting","35819","sitting","Resting","land","land","",2016-08-16 16:28:03.638
"2016-08-16 16:28:03.691",1,1.008,0.202,0.196,1.03,1,"1.sitting",1,"1.Resting","35821","sitting","Resting","land","land","",2016-08-16 16:28:03.691
"2016-08-16 16:28:03.743",1,0.994,0.21,0.19,1.03,1,"1.sitting",1,"1.Resting","35822","sitting","Resting","land","land","",2016-08-16 16:28:03.743
"2016-08-16 16:28:03.796",1,0.988,0.19,0.182,1.015,1,"1.sitting",1,"1.Resting","35823","sitting","Resting","land","land","",2016-08-16 16:28:03.796
"2016-08-16 16:28:03.848",1,0.98,0.176,0.174,1.015,1,"1.sitting",1,"1.Resting","35824","sitting","Resting","land","land","",2016-08-16 16:28:03.848
"2016-08-16 16:28:03.901",1,0.982,0.152,0.196,1.03,1,"1.sitting",1,"1.Resting","35826","sitting","Resting","land","land","",2016-08-16 16:28:03.901
"2016-08-16 16:28:03.953",1,0.986,0.13,0.212,1.03,1,"1.sitting",1,"1.Resting","35827","sitting","Resting","land","land","",2016-08-16 16:28:03.953
"2016-08-16 16:28:04.006",1,0.982,0.1,0.224,1.03,1,"1.sitting",1,"1.Resting","35828","sitting","Resting","land","land","",2016-08-16 16:28:04.006
