"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
"2016-08-16 09:09:16.088",1,0.064,-0.452,0.932,1.15,1,"1.swimming",1,"1.Travelling","00:00:00.04","swimming","Travelling","land","land","swimming",2016-08-16 09:09:16.088
"2016-08-16 09:09:16.141",1,0.08,-0.356,0.946,1.18,1,"1.swimming",1,"1.Travelling","00:00:00.00","swimming","Travelling","land","land","",2016-08-16 09:09:16.141
"2016-08-16 09:09:16.194",1,0.102,-0.316,0.966,1.18,1,"1.swimming",1,"1.Travelling","18729","swimming","Travelling","land","land","",2016-08-16 09:09:16.194
"2016-08-16 09:09:16.246",1,0.142,-0.288,0.988,1.18,1,"1.swimming",1,"1.Travelling","18730","swimming","Travelling","land","land","",2016-08-16 09:09:16.246
"2016-08-16 09:09:16.299",1,0.186,-0.272,0.992,1.165,1,"1.swimming",1,"1.Travelling","18731","swimming","Travelling","land","land","",2016-08-16 09:09:16.299
"2016-08-16 09:09:16.351",1,0.278,-0.224,0.974,1.165,1,"1.swimming",1,"1.Travelling","18733","swimming","Travelling","land","land","",2016-08-16 09:09:16.351
"2016-08-16 09:09:16.404",1,0.33,-0.2,0.968,1.15,1,"1.swimming",1,"1.Travelling","18734","swimming","Travelling","land","land","",2016-08-16 09:09:16.404
"2016-08-16 09:09:16.457",1,0.378,-0.178,0.956,1.15,1,"1.swimming",1,"1.Travelling","18735","swimming","Travelling","land","land","",2016-08-16 09:09:16.457
"2016-08-16 09:09:16.509",1,0.412,-0.164,0.94,1.135,1,"1.swimming",1,"1.Travelling","18736","swimming","Travelling","land","land","",2016-08-16 09:09:16.509
"2016-08-16 09:09:16.562",1,0.468,-0.176,0.908,1.12,1,"1.swimming",1,"1.Travelling","18738","swimming","Travelling","land","land","",2016-08-16 09:09:16.562
"2016-08-16 09:09:16.614",1,0.484,-0.178,0.9,1.105,1,"1.swimming",1,"1.Travelling","18739","swimming","Travelling","land","land","",2016-08-16 09:09:16.614
"2016-08-16 09:09:16.667",1,0.494,-0.176,0.898,1.09,1,"1.swimming",1,"1.Travelling","18740","swimming","Travelling","land","land","",2016-08-16 09:09:16.667
"2016-08-16 09:09:16.719",1,0.51,-0.166,0.882,1.075,1,"1.swimming",1,"1.Travelling","18741","swimming","Travelling","land","land","",2016-08-16 09:09:16.719
"2016-08-16 09:09:16.772",1,0.548,-0.154,0.84,0.965,1,"1.swimming",1,"1.Travelling","18743","swimming","Travelling","land","land","",2016-08-16 09:09:16.772
"2016-08-16 09:09:16.823",1,0.564,-0.152,0.822,0.855,1,"1.swimming",1,"1.Travelling","18744","swimming","Travelling","land","land","",2016-08-16 09:09:16.823
"2016-08-16 09:09:16.877",1,0.576,-0.16,0.8,0.84,1,"1.swimming",1,"1.Travelling","18745","swimming","Travelling","land","land","",2016-08-16 09:09:16.877
"2016-08-16 09:09:16.928",1,0.608,-0.158,0.784,0.84,1,"1.swimming",1,"1.Travelling","18746","swimming","Travelling","land","land","",2016-08-16 09:09:16.928
"2016-08-16 09:09:16.982",1,0.66,-0.146,0.746,0.795,1,"1.swimming",1,"1.Travelling","18748","swimming","Travelling","land","land","",2016-08-16 09:09:16.982
"2016-08-16 09:09:17.033",1,0.686,-0.146,0.712,0.78,1,"1.swimming",1,"1.Travelling","18749","swimming","Travelling","land","land","",2016-08-16 09:09:17.033
"2016-08-16 09:09:17.086",1,0.704,-0.144,0.694,0.765,1,"1.swimming",1,"1.Travelling","18750","swimming","Travelling","land","land","",2016-08-16 09:09:17.086
"2016-08-16 09:09:17.138",1,0.716,-0.136,0.69,0.73,1,"1.swimming",1,"1.Travelling","18751","swimming","Travelling","land","land","",2016-08-16 09:09:17.138
"2016-08-16 09:09:17.191",1,0.754,-0.07,0.634,0.68,1,"1.swimming",1,"1.Travelling","18753","swimming","Travelling","land","land","",2016-08-16 09:09:17.191
"2016-08-16 09:09:17.243",1,0.768,-0.072,0.612,0.65,1,"1.swimming",1,"1.Travelling","18754","swimming","Travelling","land","land","",2016-08-16 09:09:17.243
"2016-08-16 09:09:17.296",1,0.778,-0.094,0.614,0.65,1,"1.swimming",1,"1.Travelling","18755","swimming","Travelling","land","land","",2016-08-16 09:09:17.296
"2016-08-16 09:09:17.348",1,0.798,-0.104,0.638,0.635,1,"1.swimming",1,"1.Travelling","18756","swimming","Travelling","land","land","",2016-08-16 09:09:17.348
"2016-08-16 09:09:17.401",1,0.828,-0.096,0.624,0.605,1,"1.swimming",1,"1.Travelling","18758","swimming","Travelling","land","land","",2016-08-16 09:09:17.401
"2016-08-16 09:09:17.453",1,0.842,-0.092,0.596,0.59,1,"1.swimming",1,"1.Travelling","18759","swimming","Travelling","land","land","",2016-08-16 09:09:17.453
"2016-08-16 09:09:17.506",1,0.844,-0.078,0.574,0.575,1,"1.swimming",1,"1.Travelling","18760","swimming","Travelling","land","land","",2016-08-16 09:09:17.506
"2016-08-16 09:09:17.559",1,0.826,-0.05,0.572,0.545,1,"1.swimming",1,"1.Travelling","18761","swimming","Travelling","land","land","",2016-08-16 09:09:17.559
"2016-08-16 09:09:17.611",1,0.802,0.004,0.546,0.48,1,"1.swimming",1,"1.Travelling","18763","swimming","Travelling","land","land","",2016-08-16 09:09:17.611
"2016-08-16 09:09:17.664",1,0.798,0.022,0.526,0.445,1,"1.swimming",1,"1.Travelling","18764","swimming","Travelling","land","land","",2016-08-16 09:09:17.664
"2016-08-16 09:09:17.717",1,0.8,0.048,0.53,0.415,1,"1.swimming",1,"1.Travelling","18765","swimming","Travelling","land","land","",2016-08-16 09:09:17.717
"2016-08-16 09:09:17.769",1,0.802,0.06,0.546,0.385,1,"1.swimming",1,"1.Travelling","18766","swimming","Travelling","land","land","",2016-08-16 09:09:17.769
"2016-08-16 09:09:17.822",1,0.722,0.074,0.558,0.355,1,"1.swimming",1,"1.Travelling","18768","swimming","Travelling","land","land","",2016-08-16 09:09:17.822
"2016-08-16 09:09:17.874",1,0.664,0.102,0.59,0.325,1,"1.swimming",1,"1.Travelling","18769","swimming","Travelling","land","land","",2016-08-16 09:09:17.874
"2016-08-16 09:09:17.927",1,0.61,0.098,0.614,0.31,1,"1.swimming",1,"1.Travelling","18770","swimming","Travelling","land","land","",2016-08-16 09:09:17.927
"2016-08-16 09:09:17.979",1,0.558,0.08,0.636,0.31,1,"1.swimming",1,"1.Travelling","18771","swimming","Travelling","land","land","",2016-08-16 09:09:17.979
"2016-08-16 09:09:18.032",1,0.42,0.094,0.706,0.34,1,"1.swimming",1,"1.Travelling","18773","swimming","Travelling","land","land","",2016-08-16 09:09:18.032
"2016-08-16 09:09:18.084",1,0.35,0.112,0.73,0.34,1,"1.swimming",1,"1.Travelling","18774","swimming","Travelling","land","land","",2016-08-16 09:09:18.084
"2016-08-16 09:09:18.137",1,0.294,0.138,0.744,0.34,1,"1.swimming",1,"1.Travelling","18775","swimming","Travelling","land","land","",2016-08-16 09:09:18.137
"2016-08-16 09:09:18.188",1,0.246,0.146,0.776,0.34,1,"1.swimming",1,"1.Travelling","18776","swimming","Travelling","land","land","",2016-08-16 09:09:18.188
"2016-08-16 09:09:18.242",1,0.164,0.154,0.838,0.34,1,"1.swimming",1,"1.Travelling","18778","swimming","Travelling","land","land","",2016-08-16 09:09:18.242
"2016-08-16 09:09:18.293",1,0.138,0.164,0.872,0.34,1,"1.swimming",1,"1.Travelling","18779","swimming","Travelling","land","land","",2016-08-16 09:09:18.293
"2016-08-16 09:09:18.346",1,0.116,0.172,0.888,0.34,1,"1.swimming",1,"1.Travelling","18780","swimming","Travelling","land","land","",2016-08-16 09:09:18.346
