"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
"2016-08-16 14:01:08.48",1,0.328,-0.256,0.928,0.5,1,"1.lying",1,"1.Resting","00:00:00.04","lying","Resting","land","land","lying",2016-08-16 14:01:08.48
"2016-08-16 14:01:08.51",1,0.15,-0.114,0.964,0.46,1,"1.lying",1,"1.Resting","00:00:00.00","lying","Resting","land","land","",2016-08-16 14:01:08.51
"2016-08-16 14:01:08.56",1,0.074,-0.078,0.962,0.46,1,"1.lying",1,"1.Resting","24879","lying","Resting","land","land","",2016-08-16 14:01:08.56
"2016-08-16 14:01:08.63",1,0.036,-0.068,0.96,0.46,1,"1.lying",1,"1.Resting","24880","lying","Resting","land","land","",2016-08-16 14:01:08.63
"2016-08-16 14:01:08.68",1,0.018,-0.062,0.96,0.46,1,"1.lying",1,"1.Resting","24881","lying","Resting","land","land","",2016-08-16 14:01:08.68
"2016-08-16 14:01:08.73",1,0.004,-0.046,0.96,0.46,1,"1.lying",1,"1.Resting","24883","lying","Resting","land","land","",2016-08-16 14:01:08.73
"2016-08-16 14:01:08.76",1,-0.002,-0.054,0.96,0.46,1,"1.lying",1,"1.Resting","24884","lying","Resting","land","land","",2016-08-16 14:01:08.76
"2016-08-16 14:01:08.81",1,-0.006,-0.052,0.962,0.46,1,"1.lying",1,"1.Resting","24885","lying","Resting","land","land","",2016-08-16 14:01:08.81
"2016-08-16 14:01:08.88",1,-0.016,-0.048,0.958,0.46,1,"1.lying",1,"1.Resting","24886","lying","Resting","land","land","",2016-08-16 14:01:08.88
"2016-08-16 14:01:08.93",1,-0.046,-0.044,0.966,0.46,1,"1.lying",1,"1.Resting","24888","lying","Resting","land","land","",2016-08-16 14:01:08.93
"2016-08-16 14:01:08.98",1,-0.052,-0.042,0.964,0.46,1,"1.lying",1,"1.Resting","24889","lying","Resting","land","land","",2016-08-16 14:01:08.98
"2016-08-16 14:01:09.01",1,-0.06,-0.038,0.96,0.46,1,"1.lying",1,"1.Resting","24890","lying","Resting","land","land","",2016-08-16 14:01:09.01
"2016-08-16 14:01:09.06",1,-0.072,-0.032,0.962,0.48,1,"1.lying",1,"1.Resting","24892","lying","Resting","land","land","",2016-08-16 14:01:09.06
"2016-08-16 14:01:09.13",1,-0.07,-0.028,0.946,0.48,1,"1.lying",1,"1.Resting","24893","lying","Resting","land","land","",2016-08-16 14:01:09.13
"2016-08-16 14:01:09.18",1,-0.074,-0.032,0.942,0.46,1,"1.lying",1,"1.Resting","24894","lying","Resting","land","land","",2016-08-16 14:01:09.18
"2016-08-16 14:01:09.23",1,-0.086,-0.034,0.948,0.46,1,"1.lying",1,"1.Resting","24895","lying","Resting","land","land","",2016-08-16 14:01:09.23
"2016-08-16 14:01:09.26",1,-0.116,-0.034,0.946,0.48,1,"1.lying",1,"1.Resting","24897","lying","Resting","land","land","",2016-08-16 14:01:09.26
"2016-08-16 14:01:09.31",1,-0.12,-0.046,0.96,0.46,1,"1.lying",1,"1.Resting","24898","lying","Resting","land","land","",2016-08-16 14:01:09.31
"2016-08-16 14:01:09.38",1,-0.112,-0.064,0.96,0.46,1,"1.lying",1,"1.Resting","24899","lying","Resting","land","land","",2016-08-16 14:01:09.38
"2016-08-16 14:01:09.43",1,-0.104,-0.064,0.956,0.46,1,"1.lying",1,"1.Resting","24900","lying","Resting","land","land","",2016-08-16 14:01:09.43
"2016-08-16 14:01:09.48",1,-0.114,-0.072,0.954,0.46,1,"1.lying",1,"1.Resting","24901","lying","Resting","land","land","",2016-08-16 14:01:09.48
"2016-08-16 14:01:09.51",1,-0.128,-0.018,1.018,0.46,1,"1.lying",1,"1.Resting","24903","lying","Resting","land","land","",2016-08-16 14:01:09.51
"2016-08-16 14:01:09.56",1,-0.176,-0.094,1.012,0.46,1,"1.lying",1,"1.Resting","24904","lying","Resting","land","land","",2016-08-16 14:01:09.56
"2016-08-16 14:01:09.63",1,-0.244,-0.088,0.972,0.46,1,"1.lying",1,"1.Resting","24905","lying","Resting","land","land","",2016-08-16 14:01:09.63
"2016-08-16 14:01:09.68",1,-0.224,-0.016,0.968,0.46,1,"1.lying",1,"1.Resting","24906","lying","Resting","land","land","",2016-08-16 14:01:09.68
"2016-08-16 14:01:09.73",1,-0.084,0.132,0.932,0.46,1,"1.lying",1,"1.Resting","24908","lying","Resting","land","land","",2016-08-16 14:01:09.73
"2016-08-16 14:01:09.76",1,-0.04,0.174,0.946,0.46,1,"1.lying",1,"1.Resting","24909","lying","Resting","land","land","",2016-08-16 14:01:09.76
"2016-08-16 14:01:09.81",1,0.01,0.216,0.956,0.46,1,"1.lying",1,"1.Resting","24910","lying","Resting","land","land","",2016-08-16 14:01:09.81
"2016-08-16 14:01:09.88",1,0.022,0.27,0.98,0.46,1,"1.sitting",2,"2.Resting","24911","sitting","Resting","land","land","sitting",2016-08-16 14:01:09.88
"2016-08-16 14:01:09.93",1,0.048,0.232,1.034,0.48,1,"1.sitting",2,"2.Resting","24913","sitting","Resting","land","land","",2016-08-16 14:01:09.93
"2016-08-16 14:01:09.98",1,0.154,0.17,1.026,0.46,1,"1.sitting",2,"2.Resting","24914","sitting","Resting","land","land","",2016-08-16 14:01:09.98
"2016-08-16 14:01:10.01",1,0.278,0.074,0.96,0.46,1,"1.sitting",2,"2.Resting","24915","sitting","Resting","land","land","",2016-08-16 14:01:10.01
"2016-08-16 14:01:10.06",1,0.724,0.192,0.504,0.46,1,"1.sitting",2,"2.Resting","24917","sitting","Resting","land","land","",2016-08-16 14:01:10.06
"2016-08-16 14:01:10.13",1,0.882,0.38,0.514,0.46,1,"1.sitting",2,"2.Resting","24918","sitting","Resting","land","land","",2016-08-16 14:01:10.13
"2016-08-16 14:01:10.18",1,0.808,0.414,0.436,0.46,1,"1.sitting",2,"2.Resting","24919","sitting","Resting","land","land","",2016-08-16 14:01:10.18
"2016-08-16 14:01:10.23",1,0.802,0.34,0.494,0.46,1,"1.sitting",2,"2.Resting","24920","sitting","Resting","land","land","",2016-08-16 14:01:10.23
"2016-08-16 14:01:10.26",1,0.814,0.146,0.466,0.46,1,"1.sitting",2,"2.Resting","24922","sitting","Resting","land","land","",2016-08-16 14:01:10.26
"2016-08-16 14:01:10.31",1,0.858,0.152,0.416,0.46,1,"1.sitting",2,"2.Resting","24923","sitting","Resting","land","land","",2016-08-16 14:01:10.31
"2016-08-16 14:01:10.38",1,0.896,0.172,0.41,0.46,1,"1.sitting",2,"2.Resting","24924","sitting","Resting","land","land","",2016-08-16 14:01:10.38
"2016-08-16 14:01:10.43",1,0.942,0.17,0.418,0.46,1,"1.sitting",2,"2.Resting","24925","sitting","Resting","land","land","",2016-08-16 14:01:10.43
"2016-08-16 14:01:10.48",1,0.974,0.182,0.416,0.46,1,"1.sitting",2,"2.Resting","24926","sitting","Resting","land","land","",2016-08-16 14:01:10.48
"2016-08-16 14:01:10.51",1,0.928,0.08,0.472,0.46,1,"1.sitting",2,"2.Resting","24928","sitting","Resting","land","land","",2016-08-16 14:01:10.51
"2016-08-16 14:01:10.56",1,0.818,0.062,0.51,0.46,1,"1.sitting",2,"2.Resting","24929","sitting","Resting","land","land","",2016-08-16 14:01:10.56
"2016-08-16 14:01:10.63",1,0.748,0.07,0.56,0.46,1,"1.sitting",2,"2.Resting","24930","sitting","Resting","land","land","",2016-08-16 14:01:10.63
"2016-08-16 14:01:10.68",1,0.686,0.066,0.6,0.46,1,"1.sitting",2,"2.Resting","24931","sitting","Resting","land","land","",2016-08-16 14:01:10.68
"2016-08-16 14:01:10.73",1,0.634,-0.126,0.65,0.46,1,"1.sitting",2,"2.Resting","24933","sitting","Resting","land","land","",2016-08-16 14:01:10.73
"2016-08-16 14:01:10.76",1,0.644,-0.184,0.664,0.46,1,"1.sitting",2,"2.Resting","24934","sitting","Resting","land","land","",2016-08-16 14:01:10.76
"2016-08-16 14:01:10.81",1,0.642,-0.162,0.654,0.46,1,"1.sitting",2,"2.Resting","24935","sitting","Resting","land","land","",2016-08-16 14:01:10.81
"2016-08-16 14:01:10.88",1,0.668,-0.126,0.652,0.46,1,"1.sitting",2,"2.Resting","24936","sitting","Resting","land","land","",2016-08-16 14:01:10.88
"2016-08-16 14:01:10.93",1,0.788,-0.078,0.594,0.46,1,"1.sitting",2,"2.Resting","24938","sitting","Resting","land","land","",2016-08-16 14:01:10.93
"2016-08-16 14:01:10.98",1,0.712,-0.024,0.652,0.46,1,"1.sitting",2,"2.Resting","24939","sitting","Resting","land","land","",2016-08-16 14:01:10.98
"2016-08-16 14:01:11.01",1,0.648,-0.034,0.7,0.46,1,"1.sitting",2,"2.Resting","24940","sitting","Resting","land","land","",2016-08-16 14:01:11.01
"2016-08-16 14:01:11.06",1,0.644,-0.128,0.654,0.46,1,"1.sitting",2,"2.Resting","24942","sitting","Resting","land","land","",2016-08-16 14:01:11.06
"2016-08-16 14:01:11.13",1,0.688,-0.134,0.618,0.46,1,"1.sitting",2,"2.Resting","24943","sitting","Resting","land","land","",2016-08-16 14:01:11.13
"2016-08-16 14:01:11.18",1,0.764,-0.12,0.542,0.46,1,"1.sitting",2,"2.Resting","24944","sitting","Resting","land","land","",2016-08-16 14:01:11.18
"2016-08-16 14:01:11.23",1,0.876,-0.104,0.504,0.46,1,"1.sitting",2,"2.Resting","24945","sitting","Resting","land","land","",2016-08-16 14:01:11.23
