"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
"2016-08-16 09:52:28.440",1,0.084,-0.008,0.94,0.4,1,"1.lying",1,"1.Resting","00:00:00.04","lying","Resting","water","surface","lying",2016-08-16 09:52:28.440
"2016-08-16 09:52:28.492",1,-0.768,0.062,1.406,0.4,1,"1.lying",1,"1.Resting","00:00:00.00","lying","Resting","water","surface","",2016-08-16 09:52:28.492
"2016-08-16 09:52:28.545",1,-0.662,-0.158,1.174,0.385,1,"1.lying",1,"1.Resting","65085","lying","Resting","water","surface","",2016-08-16 09:52:28.545
"2016-08-16 09:52:28.596",1,-0.22,-0.182,0.954,0.385,1,"1.lying",1,"1.Resting","65086","lying","Resting","water","surface","",2016-08-16 09:52:28.596
"2016-08-16 09:52:28.650",1,-0.02,-0.114,0.924,0.4,1,"1.lying",1,"1.Resting","65088","lying","Resting","water","surface","",2016-08-16 09:52:28.650
"2016-08-16 09:52:28.701",1,-0.096,-0.12,0.974,0.4,1,"1.lying",1,"1.Resting","65089","lying","Resting","water","surface","",2016-08-16 09:52:28.701
"2016-08-16 09:52:28.755",1,-0.176,-0.096,0.97,0.4,1,"1.lying",1,"1.Resting","65090","lying","Resting","water","surface","",2016-08-16 09:52:28.755
"2016-08-16 09:52:28.806",1,-0.186,-0.058,0.952,0.385,1,"1.lying",1,"1.Resting","65091","lying","Resting","water","surface","",2016-08-16 09:52:28.806
"2016-08-16 09:52:28.859",1,-0.142,-0.008,0.954,0.4,1,"1.lying",1,"1.Resting","65093","lying","Resting","water","surface","",2016-08-16 09:52:28.859
"2016-08-16 09:52:28.911",1,-0.148,0.006,0.956,0.4,1,"1.lying",1,"1.Resting","65094","lying","Resting","water","surface","",2016-08-16 09:52:28.911
"2016-08-16 09:52:28.964",1,-0.166,-0.002,0.956,0.4,1,"1.lying",1,"1.Resting","65095","lying","Resting","water","surface","",2016-08-16 09:52:28.964
"2016-08-16 09:52:29.016",1,-0.188,-0.014,0.964,0.4,1,"1.lying",1,"1.Resting","65096","lying","Resting","water","surface","",2016-08-16 09:52:29.016
"2016-08-16 09:52:29.069",1,-0.186,-0.012,0.944,0.4,1,"1.lying",1,"1.Resting","65098","lying","Resting","water","surface","",2016-08-16 09:52:29.069
"2016-08-16 09:52:29.121",1,-0.182,-0.008,0.938,0.4,1,"1.lying",1,"1.Resting","65099","lying","Resting","water","surface","",2016-08-16 09:52:29.121
"2016-08-16 09:52:29.174",1,-0.194,-0.004,0.934,0.4,1,"1.lying",1,"1.Resting","65100","lying","Resting","water","surface","",2016-08-16 09:52:29.174
