time,id,x,y,z,depth,number,behaviour_event,value,type_event,fps,behaviour,type,location,place,raw,date
22:18.0,1,0.124,1.008,1.324,0.62,1,1.moving,1,1.Travelling,00:00.1,moving,Travelling,water,surface,moving,13:22:17.5
22:18.0,1,0.028,0.98,0.682,0.495,1,1.moving,1,1.Travelling,00:00.0,moving,Travelling,water,surface,,13:22:17.6
22:18.1,1,0.184,0.622,0.3,0.48,1,1.moving,1,1.Travelling,25014,moving,Travelling,water,surface,,13:22:17.6
22:18.1,1,0.43,0.56,0.358,0.515,1,1.moving,1,1.Travelling,25015,moving,Travelling,water,surface,,13:22:17.7
22:18.2,1,0.354,0.61,0.744,0.545,1,1.moving,1,1.Travelling,25017,moving,Travelling,water,surface,,13:22:17.7
22:18.2,1,0.212,0.764,0.66,0.545,1,1.moving,1,1.Travelling,25018,moving,Travelling,water,surface,,13:22:17.8
22:18.2,1,0.14,0.852,0.534,0.56,1,1.moving,1,1.Travelling,25019,moving,Travelling,water,surface,,13:22:17.8
22:18.3,1,0.092,0.894,0.418,0.56,1,1.moving,1,1.Travelling,25020,moving,Travelling,water,surface,,13:22:17.9
22:18.3,1,-0.05,1.018,0.274,0.56,1,1.moving,1,1.Travelling,25022,moving,Travelling,water,surface,,13:22:17.9
22:18.4,1,-0.002,1.094,0.328,0.575,1,1.moving,1,1.Travelling,25023,moving,Travelling,water,surface,,13:22:18.0
22:18.4,1,0.086,1.134,0.418,0.59,1,1.moving,1,1.Travelling,25024,moving,Travelling,water,surface,,13:22:18.0
22:18.4,1,0.126,1.152,0.366,0.575,1,1.moving,1,1.Travelling,25025,moving,Travelling,water,surface,,13:22:18.1
22:18.5,1,0.214,1.052,0.242,0.56,1,1.moving,1,1.Travelling,25027,moving,Travelling,water,surface,,13:22:18.1
22:18.5,1,0.286,0.918,0.262,0.56,1,1.moving,1,1.Travelling,25028,moving,Travelling,water,surface,,13:22:18.2
22:18.6,1,0.366,0.78,0.24,0.545,1,1.moving,1,1.Travelling,25029,moving,Travelling,water,surface,,13:22:18.2
22:18.6,1,0.434,0.756,0.132,0.53,1,1.moving,1,1.Travelling,25030,moving,Travelling,water,surface,,13:22:18.3
22:18.6,1,0.422,0.94,0.258,0.56,1,1.moving,1,1.Travelling,25032,moving,Travelling,water,surface,,13:22:18.3
22:18.7,1,0.292,1.044,0.208,0.545,1,1.moving,1,1.Travelling,25033,moving,Travelling,water,surface,,13:22:18.4
22:18.7,1,0.276,1.044,0.172,0.53,1,1.moving,1,1.Travelling,25034,moving,Travelling,water,surface,,13:22:18.4
22:18.8,1,0.312,0.994,0.244,0.53,1,1.moving,1,1.Travelling,25035,moving,Travelling,water,surface,,13:22:18.5
22:18.8,1,0.176,0.95,0.314,0.5,1,1.moving,1,1.Travelling,25037,moving,Travelling,water,surface,,13:22:18.5
22:18.8,1,0.116,0.894,0.332,0.5,1,1.moving,1,1.Travelling,25038,moving,Travelling,water,surface,,13:22:18.6
22:18.9,1,0.046,0.82,0.308,0.5,1,1.moving,1,1.Travelling,25039,moving,Travelling,water,surface,,13:22:18.6
22:18.9,1,0.002,0.856,0.258,0.5,1,1.moving,1,1.Travelling,25040,moving,Travelling,water,surface,,13:22:18.7
22:19.0,1,0.052,0.956,0.168,0.5,1,1.moving,1,1.Travelling,25042,moving,Travelling,water,surface,,13:22:18.7
22:19.0,1,-0.054,0.976,0.168,0.5,1,1.moving,1,1.Travelling,25043,moving,Travelling,water,surface,,13:22:18.8
22:19.0,1,-0.224,0.994,0.226,0.48,1,1.moving,1,1.Travelling,25044,moving,Travelling,water,surface,,13:22:18.8
22:19.1,1,-0.316,1.002,0.238,0.46,1,1.moving,1,1.Travelling,25045,moving,Travelling,water,surface,,13:22:18.9
22:19.1,1,-0.244,1.012,0.232,0.46,1,1.moving,1,1.Travelling,25047,moving,Travelling,water,surface,,13:22:18.9
22:19.2,1,-0.336,0.94,0.3,0.46,1,1.moving,1,1.Travelling,25048,moving,Travelling,water,surface,,13:22:19.0
22:19.2,1,-0.472,0.818,0.214,0.48,1,1.moving,1,1.Travelling,25049,moving,Travelling,water,surface,,13:22:19.0
22:19.2,1,-0.498,0.876,0.092,0.5,1,1.moving,1,1.Travelling,25050,moving,Travelling,water,surface,,13:22:19.1
22:19.3,1,0.004,1.166,0.43,0.48,1,1.moving,1,1.Travelling,25052,moving,Travelling,water,surface,,13:22:19.1
22:19.3,1,-0.18,1.3,0.436,0.48,1,1.moving,1,1.Travelling,25053,moving,Travelling,water,surface,,13:22:19.2
22:19.4,1,-0.466,1.134,0.42,0.515,1,1.moving,1,1.Travelling,25054,moving,Travelling,water,surface,,13:22:19.2
22:19.4,1,-0.478,0.482,0.378,0.515,1,1.moving,1,1.Travelling,25055,moving,Travelling,water,surface,,13:22:19.3
22:19.4,1,-0.44,0.014,0.356,0.515,1,1.moving,1,1.Travelling,25057,moving,Travelling,water,surface,,13:22:19.3
22:19.5,1,-0.42,0.322,0.72,0.545,1,1.moving,1,1.Travelling,25058,moving,Travelling,water,surface,,13:22:19.4
22:19.5,1,-0.42,0.448,0.938,0.545,1,1.moving,1,1.Travelling,25059,moving,Travelling,water,surface,,13:22:19.4
22:19.6,1,-0.568,0.43,0.79,0.53,1,1.moving,1,1.Travelling,25060,moving,Travelling,water,surface,,13:22:19.5
22:19.6,1,-0.37,0.654,0.674,0.515,1,1.moving,1,1.Travelling,25062,moving,Travelling,water,surface,,13:22:19.5
22:19.6,1,-0.346,0.704,0.644,0.515,1,1.moving,1,1.Travelling,25063,moving,Travelling,water,surface,,13:22:19.6
22:19.7,1,-0.358,0.498,0.75,0.545,1,1.moving,1,1.Travelling,25064,moving,Travelling,water,surface,,13:22:19.6
22:19.7,1,-0.322,0.376,0.888,0.56,1,1.moving,1,1.Travelling,25065,moving,Travelling,water,surface,,13:22:19.7
22:19.8,1,-0.106,0.18,0.992,0.545,1,1.moving,1,1.Travelling,25067,moving,Travelling,water,surface,,13:22:19.7
22:19.8,1,-0.022,0.136,0.946,0.545,1,1.moving,1,1.Travelling,25068,moving,Travelling,water,surface,,13:22:19.8
22:19.8,1,0.046,0.146,0.884,0.53,1,1.moving,1,1.Travelling,25069,moving,Travelling,water,surface,,13:22:19.8
22:19.9,1,0.142,0.174,0.92,0.53,1,1.moving,1,1.Travelling,25070,moving,Travelling,water,surface,,13:22:19.9
22:19.9,1,0.298,0.118,0.948,0.53,1,1.moving,1,1.Travelling,25072,moving,Travelling,water,surface,,13:22:19.9
22:20.0,1,0.328,0.068,0.94,0.515,1,1.moving,1,1.Travelling,25073,moving,Travelling,water,surface,,13:22:20.0
22:20.0,1,0.416,0.016,0.928,0.515,1,1.moving,1,1.Travelling,25074,moving,Travelling,water,surface,,13:22:20.0
22:20.0,1,0.546,-0.006,0.89,0.515,1,1.moving,1,1.Travelling,25075,moving,Travelling,water,surface,,13:22:20.1
22:20.1,1,0.642,-0.012,0.828,0.5,1,1.moving,1,1.Travelling,25077,moving,Travelling,water,surface,,13:22:20.1
22:20.1,1,0.598,-0.114,0.838,0.5,1,1.moving,1,1.Travelling,25078,moving,Travelling,water,surface,,13:22:20.2
22:20.2,1,0.566,-0.212,0.774,0.48,1,1.moving,1,1.Travelling,25079,moving,Travelling,water,surface,,13:22:20.2
22:20.2,1,0.564,-0.174,0.64,0.46,1,1.moving,1,1.Travelling,25080,moving,Travelling,water,surface,,13:22:20.3
22:20.2,1,0.582,-0.042,0.808,0.5,1,1.moving,1,1.Travelling,25082,moving,Travelling,water,surface,,13:22:20.3
22:20.3,1,0.582,0.006,0.804,0.48,1,1.moving,1,1.Travelling,25083,moving,Travelling,water,surface,,13:22:20.4
22:20.3,1,0.58,0.062,0.71,0.46,1,1.moving,1,1.Travelling,25084,moving,Travelling,water,surface,,13:22:20.4
22:20.4,1,0.55,0.122,0.7,0.48,1,1.moving,1,1.Travelling,25085,moving,Travelling,water,surface,,13:22:20.5
22:20.4,1,0.512,0.234,0.71,0.48,1,1.moving,1,1.Travelling,25087,moving,Travelling,water,surface,,13:22:20.5
22:20.4,1,0.492,0.29,0.712,0.46,1,1.moving,1,1.Travelling,25088,moving,Travelling,water,surface,,13:22:20.6
22:20.5,1,0.47,0.334,0.76,0.48,1,1.moving,1,1.Travelling,25089,moving,Travelling,water,surface,,13:22:20.6
22:20.5,1,0.42,0.35,0.828,0.5,1,1.moving,1,1.Travelling,25090,moving,Travelling,water,surface,,13:22:20.7
22:20.6,1,0.342,0.354,0.93,0.48,1,1.moving,1,1.Travelling,25092,moving,Travelling,water,surface,,13:22:20.7
22:20.6,1,0.328,0.372,0.87,0.48,1,1.moving,1,1.Travelling,25093,moving,Travelling,water,surface,,13:22:20.8
22:20.6,1,0.288,0.542,0.77,0.48,1,1.moving,1,1.Travelling,25094,moving,Travelling,water,surface,,13:22:20.8
22:20.7,1,0.28,0.542,0.754,0.46,1,1.moving,1,1.Travelling,25095,moving,Travelling,water,surface,,13:22:20.9
22:20.7,1,0.264,0.234,0.848,0.46,1,1.moving,1,1.Travelling,25097,moving,Travelling,water,surface,,13:22:20.9
22:20.8,1,0.198,0.138,0.884,0.46,1,1.moving,1,1.Travelling,25098,moving,Travelling,water,surface,,13:22:21.0
