time,id,x,y,z,depth,number,behaviour_event,value,type_event,fps,behaviour,type,location,place,raw,date
21:28.7,1,0.88,-0.26,0.428,0.84,1,1.sitting,1,1.Resting,00:00.1,sitting,Resting,land,land,sitting,16:21:28.7
21:28.8,1,0.888,-0.25,0.46,0.84,1,1.sitting,1,1.Resting,00:00.0,sitting,Resting,land,land,,16:21:28.8
21:28.8,1,0.868,-0.26,0.466,0.84,1,1.sitting,1,1.Resting,7888,sitting,Resting,land,land,,16:21:28.8
21:28.9,1,0.824,-0.288,0.47,0.84,1,1.sitting,1,1.Resting,7889,sitting,Resting,land,land,,16:21:28.9
21:28.9,1,0.77,-0.298,0.47,0.84,1,1.sitting,1,1.Resting,7890,sitting,Resting,land,land,,16:21:28.9
21:29.0,1,0.744,-0.316,0.448,0.84,1,1.sitting,1,1.Resting,7892,sitting,Resting,land,land,,16:21:29.0
21:29.0,1,0.768,-0.318,0.448,0.84,1,1.sitting,1,1.Resting,7893,sitting,Resting,land,land,,16:21:29.0
21:29.1,1,0.766,-0.318,0.452,0.84,1,1.sitting,1,1.Resting,7894,sitting,Resting,land,land,,16:21:29.1
21:29.1,1,0.778,-0.292,0.524,0.84,1,1.sitting,1,1.Resting,7896,sitting,Resting,land,land,,16:21:29.1
21:29.2,1,0.79,-0.252,0.53,0.84,1,1.sitting,1,1.Resting,7897,sitting,Resting,land,land,,16:21:29.2
21:29.2,1,0.81,-0.21,0.506,0.84,1,1.sitting,1,1.Resting,7898,sitting,Resting,land,land,,16:21:29.2
21:29.3,1,0.826,-0.166,0.482,0.84,1,1.sitting,1,1.Resting,7899,sitting,Resting,land,land,,16:21:29.3
21:29.3,1,0.828,0.002,0.502,0.84,1,1.sitting,1,1.Resting,7901,sitting,Resting,land,land,,16:21:29.3
21:29.4,1,0.82,0.018,0.526,0.84,1,1.sitting,1,1.Resting,7902,sitting,Resting,land,land,,16:21:29.4
21:29.4,1,0.862,0.02,0.478,0.84,1,1.sitting,1,1.Resting,7903,sitting,Resting,land,land,,16:21:29.4
21:29.5,1,0.902,0.044,0.454,0.84,1,1.sitting,1,1.Resting,7904,sitting,Resting,land,land,,16:21:29.5
21:29.5,1,0.924,-0.032,0.458,0.84,1,1.sitting,1,1.Resting,7906,sitting,Resting,land,land,,16:21:29.5
21:29.6,1,0.882,-0.096,0.482,0.84,1,1.sitting,1,1.Resting,7907,sitting,Resting,land,land,,16:21:29.6
21:29.6,1,0.856,-0.14,0.488,0.84,1,1.sitting,1,1.Resting,7908,sitting,Resting,land,land,,16:21:29.6
21:29.7,1,0.838,-0.168,0.478,0.84,1,1.sitting,1,1.Resting,7909,sitting,Resting,land,land,,16:21:29.7
21:29.7,1,0.824,-0.188,0.486,0.84,1,1.sitting,1,1.Resting,7910,sitting,Resting,land,land,,16:21:29.7
21:29.8,1,0.8,-0.21,0.486,0.84,1,1.sitting,1,1.Resting,7912,sitting,Resting,land,land,,16:21:29.8
21:29.9,1,0.802,-0.214,0.492,0.84,1,1.sitting,1,1.Resting,7913,sitting,Resting,land,land,,16:21:29.8
21:29.9,1,0.798,-0.212,0.502,0.84,1,1.sitting,1,1.Resting,7914,sitting,Resting,land,land,,16:21:29.9
21:30.0,1,0.782,-0.212,0.516,0.84,1,1.sitting,1,1.Resting,7915,sitting,Resting,land,land,,16:21:29.9
21:30.0,1,0.766,-0.222,0.536,0.84,1,1.sitting,1,1.Resting,7917,sitting,Resting,land,land,,16:21:30.0
21:30.1,1,0.766,-0.234,0.542,0.84,1,1.sitting,1,1.Resting,7918,sitting,Resting,land,land,,16:21:30.0
21:30.1,1,0.766,-0.24,0.538,0.84,1,1.sitting,1,1.Resting,7919,sitting,Resting,land,land,,16:21:30.1
21:30.2,1,0.774,-0.236,0.534,0.84,1,1.sitting,1,1.Resting,7920,sitting,Resting,land,land,,16:21:30.1
21:30.2,1,0.772,-0.234,0.524,0.84,1,1.sitting,1,1.Resting,7922,sitting,Resting,land,land,,16:21:30.2
21:30.3,1,0.764,-0.238,0.514,0.84,1,1.sitting,1,1.Resting,7923,sitting,Resting,land,land,,16:21:30.2
21:30.3,1,0.766,-0.25,0.52,0.84,1,1.sitting,1,1.Resting,7924,sitting,Resting,land,land,,16:21:30.3
21:30.4,1,0.778,-0.26,0.522,0.84,1,1.sitting,1,1.Resting,7925,sitting,Resting,land,land,,16:21:30.3
21:30.4,1,0.782,-0.252,0.506,0.84,1,1.sitting,1,1.Resting,7927,sitting,Resting,land,land,,16:21:30.4
21:30.5,1,0.784,-0.252,0.516,0.84,1,1.sitting,1,1.Resting,7928,sitting,Resting,land,land,,16:21:30.4
21:30.5,1,0.78,-0.26,0.516,0.84,1,1.sitting,1,1.Resting,7929,sitting,Resting,land,land,,16:21:30.5
21:30.6,1,0.8,-0.246,0.512,0.84,1,1.sitting,1,1.Resting,7931,sitting,Resting,land,land,,16:21:30.5
21:30.6,1,0.802,-0.236,0.508,0.84,1,1.sitting,1,1.Resting,7932,sitting,Resting,land,land,,16:21:30.6
21:30.7,1,0.792,-0.232,0.5,0.84,1,1.sitting,1,1.Resting,7933,sitting,Resting,land,land,,16:21:30.6
21:30.7,1,0.78,-0.234,0.494,0.84,1,1.sitting,1,1.Resting,7934,sitting,Resting,land,land,,16:21:30.7
21:30.8,1,0.78,-0.232,0.512,0.84,1,1.sitting,1,1.Resting,7936,sitting,Resting,land,land,,16:21:30.7
21:30.9,1,0.784,-0.238,0.5,0.84,1,1.sitting,1,1.Resting,7937,sitting,Resting,land,land,,16:21:30.8
21:30.9,1,0.786,-0.238,0.486,0.84,1,1.sitting,1,1.Resting,7938,sitting,Resting,land,land,,16:21:30.8
21:31.0,1,0.79,-0.232,0.484,0.84,1,1.sitting,1,1.Resting,7939,sitting,Resting,land,land,,16:21:30.9
21:31.0,1,0.796,-0.23,0.496,0.84,1,1.sitting,1,1.Resting,7941,sitting,Resting,land,land,,16:21:30.9
21:31.1,1,0.796,-0.224,0.498,0.84,1,1.sitting,1,1.Resting,7942,sitting,Resting,land,land,,16:21:31.0
21:31.1,1,0.79,-0.22,0.514,0.84,1,1.sitting,1,1.Resting,7943,sitting,Resting,land,land,,16:21:31.0
21:31.2,1,0.792,-0.208,0.518,0.84,1,1.sitting,1,1.Resting,7944,sitting,Resting,land,land,,16:21:31.1
21:31.2,1,0.79,-0.2,0.508,0.84,1,1.sitting,1,1.Resting,7945,sitting,Resting,land,land,,16:21:31.1
21:31.3,1,0.774,-0.23,0.518,0.84,1,1.sitting,1,1.Resting,7947,sitting,Resting,land,land,,16:21:31.2
21:31.3,1,0.768,-0.244,0.518,0.84,1,1.sitting,1,1.Resting,7948,sitting,Resting,land,land,,16:21:31.2
21:31.4,1,0.776,-0.24,0.504,0.84,1,1.sitting,1,1.Resting,7949,sitting,Resting,land,land,,16:21:31.3
21:31.4,1,0.788,-0.238,0.496,0.84,1,1.sitting,1,1.Resting,7950,sitting,Resting,land,land,,16:21:31.3
21:31.5,1,0.784,-0.258,0.518,0.84,1,1.sitting,1,1.Resting,7952,sitting,Resting,land,land,,16:21:31.4
21:31.5,1,0.78,-0.246,0.55,0.84,1,1.sitting,1,1.Resting,7953,sitting,Resting,land,land,,16:21:31.4
21:31.6,1,0.79,-0.222,0.55,0.84,1,1.sitting,1,1.Resting,7954,sitting,Resting,land,land,,16:21:31.5
21:31.6,1,0.794,-0.21,0.53,0.84,1,1.sitting,1,1.Resting,7955,sitting,Resting,land,land,,16:21:31.5
21:31.7,1,0.726,-0.254,0.528,0.84,1,1.sitting,1,1.Resting,7957,sitting,Resting,land,land,,16:21:31.6
