"time","id","x","y","z","depth","number","behaviour_event","value","type_event","fps","behaviour","type","location","place","raw","date"
"2016-08-16 16:21:33.289",1,0.968,-0.032,0.228,0.75,1,"1.sitting",1,"1.Resting","00:00:00.04","sitting","Resting","land","land","sitting",2016-08-16 16:21:33.289
"2016-08-16 16:21:33.342",1,0.97,-0.036,0.246,0.765,1,"1.sitting",1,"1.Resting","00:00:00.00","sitting","Resting","land","land","",2016-08-16 16:21:33.342
"2016-08-16 16:21:33.394",1,0.968,-0.042,0.248,0.78,1,"1.sitting",1,"1.Resting","25041","sitting","Resting","land","land","",2016-08-16 16:21:33.394
"2016-08-16 16:21:33.447",1,0.956,-0.03,0.25,0.78,1,"1.sitting",1,"1.Resting","25042","sitting","Resting","land","land","",2016-08-16 16:21:33.447
"2016-08-16 16:21:33.500",1,0.94,-0.014,0.256,0.765,1,"1.sitting",1,"1.Resting","25044","sitting","Resting","land","land","",2016-08-16 16:21:33.500
"2016-08-16 16:21:33.552",1,0.944,-0.022,0.272,0.765,1,"1.sitting",1,"1.Resting","25045","sitting","Resting","land","land","",2016-08-16 16:21:33.552
"2016-08-16 16:21:33.605",1,0.952,-0.034,0.278,0.75,1,"1.sitting",1,"1.Resting","25046","sitting","Resting","land","land","",2016-08-16 16:21:33.605
"2016-08-16 16:21:33.657",1,0.954,-0.048,0.274,0.765,1,"1.sitting",1,"1.Resting","25047","sitting","Resting","land","land","",2016-08-16 16:21:33.657
"2016-08-16 16:21:33.710",1,0.954,-0.052,0.266,0.78,1,"1.sitting",1,"1.Resting","25048","sitting","Resting","land","land","",2016-08-16 16:21:33.710
"2016-08-16 16:21:33.762",1,0.948,-0.058,0.25,0.78,1,"1.sitting",1,"1.Resting","25050","sitting","Resting","land","land","",2016-08-16 16:21:33.762
"2016-08-16 16:21:33.815",1,0.944,-0.046,0.254,0.78,1,"1.sitting",1,"1.Resting","25051","sitting","Resting","land","land","",2016-08-16 16:21:33.815
"2016-08-16 16:21:33.867",1,0.95,-0.034,0.254,0.78,1,"1.sitting",1,"1.Resting","25052","sitting","Resting","land","land","",2016-08-16 16:21:33.867
"2016-08-16 16:21:33.920",1,0.96,-0.034,0.244,0.78,1,"1.sitting",1,"1.Resting","25053","sitting","Resting","land","land","",2016-08-16 16:21:33.920
"2016-08-16 16:21:33.971",1,0.95,-0.036,0.232,0.75,1,"1.sitting",1,"1.Resting","25055","sitting","Resting","land","land","",2016-08-16 16:21:33.971
"2016-08-16 16:21:34.025",1,0.958,-0.038,0.22,0.75,1,"1.sitting",1,"1.Resting","25056","sitting","Resting","land","land","",2016-08-16 16:21:34.025
"2016-08-16 16:21:34.076",1,0.97,-0.048,0.22,0.75,1,"1.sitting",1,"1.Resting","25057","sitting","Resting","land","land","",2016-08-16 16:21:34.076
"2016-08-16 16:21:34.130",1,0.984,-0.052,0.234,0.75,1,"1.sitting",1,"1.Resting","25058","sitting","Resting","land","land","",2016-08-16 16:21:34.130
"2016-08-16 16:21:34.181",1,1.008,-0.046,0.218,0.765,1,"1.sitting",1,"1.Resting","25060","sitting","Resting","land","land","",2016-08-16 16:21:34.181
"2016-08-16 16:21:34.234",1,1,-0.08,0.198,0.765,1,"1.sitting",1,"1.Resting","25061","sitting","Resting","land","land","",2016-08-16 16:21:34.234
"2016-08-16 16:21:34.286",1,0.974,-0.13,0.178,0.765,1,"1.sitting",1,"1.Resting","25062","sitting","Resting","land","land","",2016-08-16 16:21:34.286
"2016-08-16 16:21:34.339",1,0.936,-0.202,0.174,0.78,1,"1.sitting",1,"1.Resting","25064","sitting","Resting","land","land","",2016-08-16 16:21:34.339
"2016-08-16 16:21:34.391",1,0.95,-0.22,0.174,0.765,1,"1.sitting",1,"1.Resting","25065","sitting","Resting","land","land","",2016-08-16 16:21:34.391
"2016-08-16 16:21:34.444",1,0.962,-0.216,0.18,0.765,1,"1.sitting",1,"1.Resting","25066","sitting","Resting","land","land","",2016-08-16 16:21:34.444
"2016-08-16 16:21:34.496",1,0.966,-0.198,0.192,0.765,1,"1.sitting",1,"1.Resting","25067","sitting","Resting","land","land","",2016-08-16 16:21:34.496
"2016-08-16 16:21:34.549",1,0.984,-0.132,0.182,0.765,1,"1.sitting",1,"1.Resting","25069","sitting","Resting","land","land","",2016-08-16 16:21:34.549
"2016-08-16 16:21:34.601",1,0.998,-0.112,0.172,0.765,1,"1.sitting",1,"1.Resting","25070","sitting","Resting","land","land","",2016-08-16 16:21:34.601
"2016-08-16 16:21:34.654",1,1.006,-0.096,0.174,0.75,1,"1.sitting",1,"1.Resting","25071","sitting","Resting","land","land","",2016-08-16 16:21:34.654
"2016-08-16 16:21:34.707",1,0.998,-0.068,0.206,0.75,1,"1.sitting",1,"1.Resting","25072","sitting","Resting","land","land","",2016-08-16 16:21:34.707
"2016-08-16 16:21:34.759",1,0.974,-0.032,0.24,0.75,1,"1.sitting",1,"1.Resting","25074","sitting","Resting","land","land","",2016-08-16 16:21:34.759
"2016-08-16 16:21:34.812",1,0.948,-0.012,0.244,0.75,1,"1.sitting",1,"1.Resting","25075","sitting","Resting","land","land","",2016-08-16 16:21:34.812
"2016-08-16 16:21:34.865",1,0.918,0.004,0.264,0.75,1,"1.sitting",1,"1.Resting","25076","sitting","Resting","land","land","",2016-08-16 16:21:34.865
