"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.moving",1,"1.Travelling","00:00:00.04","2016-08-16 07:31:06.11",2.28,0.552,-0.084,0.712,"moving","Travelling","land","land","moving",2016-08-16 07:31:06.11
1,"1.moving",1,"1.Travelling","00:00:00.00","2016-08-16 07:31:06.16",2.28,-0.02,0.216,1.008,"moving","Travelling","land","land","",2016-08-16 07:31:06.16
1,"1.moving",1,"1.Travelling","11842","2016-08-16 07:31:06.20",2.25,-0.368,0.064,1.052,"moving","Travelling","land","land","",2016-08-16 07:31:06.20
1,"1.moving",1,"1.Travelling","11843","2016-08-16 07:31:06.25",2.25,-0.34,-0.544,0.98,"moving","Travelling","land","land","",2016-08-16 07:31:06.25
1,"1.moving",1,"1.Travelling","11844","2016-08-16 07:31:06.28",2.28,0.64,-0.46,2.24,"moving","Travelling","land","land","",2016-08-16 07:31:06.28
1,"1.moving",1,"1.Travelling","11845","2016-08-16 07:31:06.32",2.28,-0.12,-1.068,2.296,"moving","Travelling","land","land","",2016-08-16 07:31:06.32
1,"1.moving",1,"1.Travelling","11846","2016-08-16 07:31:06.36",2.25,0.172,0.268,0.86,"moving","Travelling","land","land","",2016-08-16 07:31:06.36
1,"1.moving",1,"1.Travelling","11847","2016-08-16 07:31:06.41",2.25,0.192,0.996,0.068,"moving","Travelling","land","land","",2016-08-16 07:31:06.41
1,"1.moving",1,"1.Travelling","11848","2016-08-16 07:31:06.46",2.25,0.492,0.512,0.444,"moving","Travelling","land","land","",2016-08-16 07:31:06.46
1,"1.moving",1,"1.Travelling","11849","2016-08-16 07:31:06.50",2.28,0.748,0.668,0.944,"moving","Travelling","land","land","",2016-08-16 07:31:06.50
1,"1.moving",1,"1.Travelling","11850","2016-08-16 07:31:06.53",2.25,0.196,0.384,-0.108,"moving","Travelling","land","land","",2016-08-16 07:31:06.53
1,"1.moving",1,"1.Travelling","11851","2016-08-16 07:31:06.57",2.25,0.716,0.732,-0.256,"moving","Travelling","land","land","",2016-08-16 07:31:06.57
1,"1.moving",1,"1.Travelling","11852","2016-08-16 07:31:06.61",2.28,1.812,0.704,-0.228,"moving","Travelling","land","land","",2016-08-16 07:31:06.61
1,"1.moving",1,"1.Travelling","11853","2016-08-16 07:31:06.67",2.25,1.372,1.252,-0.452,"moving","Travelling","land","land","",2016-08-16 07:31:06.67
1,"1.moving",1,"1.Travelling","11854","2016-08-16 07:31:06.71",2.28,0.92,-0.208,-0.344,"moving","Travelling","land","land","",2016-08-16 07:31:06.71
1,"1.moving",1,"1.Travelling","11855","2016-08-16 07:31:06.75",2.28,-0.02,-0.268,0.268,"moving","Travelling","land","land","",2016-08-16 07:31:06.75
1,"1.moving",1,"1.Travelling","11856","2016-08-16 07:31:06.78",2.28,-0.2,-0.124,0.712,"moving","Travelling","land","land","",2016-08-16 07:31:06.78
1,"1.moving",1,"1.Travelling","11857","2016-08-16 07:31:06.82",2.25,-0.28,-0.012,0.864,"moving","Travelling","land","land","",2016-08-16 07:31:06.82
1,"1.moving",1,"1.Travelling","11858","2016-08-16 07:31:06.88",2.28,-0.216,-0.032,0.944,"moving","Travelling","land","land","",2016-08-16 07:31:06.88
1,"1.moving",1,"1.Travelling","11859","2016-08-16 07:31:06.92",2.28,-0.2,-0.016,0.936,"moving","Travelling","land","land","",2016-08-16 07:31:06.92
1,"1.moving",1,"1.Travelling","11860","2016-08-16 07:31:06.96",2.28,-0.136,0.064,0.884,"moving","Travelling","land","land","",2016-08-16 07:31:06.96
