"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.slow",1,"1.Travelling","00:00:00.04","2016-08-16 16:11:42.00",5.06,-0.544,-0.492,0.492,"slow","Travelling","water","underwater","slow",2016-08-16 16:11:42.00
1,"1.slow",1,"1.Travelling","00:00:00.00","2016-08-16 16:11:42.03",5.03,-0.584,-0.488,0.556,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.03
1,"1.slow",1,"1.Travelling","10262","2016-08-16 16:11:42.07",5,-0.556,-0.484,0.628,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.07
1,"1.slow",1,"1.Travelling","10263","2016-08-16 16:11:42.13",5,-0.512,-0.488,0.672,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.13
1,"1.slow",1,"1.Travelling","10264","2016-08-16 16:11:42.17",4.96,-0.432,-0.472,0.676,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.17
1,"1.slow",1,"1.Travelling","10265","2016-08-16 16:11:42.21",5,-0.392,-0.48,0.728,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.21
1,"1.slow",1,"1.Travelling","10266","2016-08-16 16:11:42.25",4.96,-0.376,-0.5,0.728,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.25
1,"1.slow",1,"1.Travelling","10267","2016-08-16 16:11:42.28",4.93,-0.332,-0.528,0.712,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.28
1,"1.slow",1,"1.Travelling","10268","2016-08-16 16:11:42.33",4.93,-0.24,-0.552,0.664,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.33
1,"1.slow",1,"1.Travelling","10269","2016-08-16 16:11:42.38",4.93,-0.212,-0.58,0.656,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.38
1,"1.slow",1,"1.Travelling","10270","2016-08-16 16:11:42.42",4.9,-0.2,-0.604,0.664,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.42
1,"1.slow",1,"1.Travelling","10271","2016-08-16 16:11:42.46",4.9,-0.132,-0.632,0.652,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.46
1,"1.slow",1,"1.Travelling","10272","2016-08-16 16:11:42.50",4.87,-0.056,-0.652,0.664,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.50
1,"1.slow",1,"1.Travelling","10273","2016-08-16 16:11:42.54",4.9,0.124,-0.628,0.592,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.54
1,"1.slow",1,"1.Travelling","10274","2016-08-16 16:11:42.58",4.84,-0.016,-0.632,0.684,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.58
1,"1.slow",1,"1.Travelling","10275","2016-08-16 16:11:42.63",4.87,0.12,-0.732,0.612,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.63
1,"1.slow",1,"1.Travelling","10276","2016-08-16 16:11:42.67",4.84,0.204,-0.676,0.612,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.67
1,"1.slow",1,"1.Travelling","10277","2016-08-16 16:11:42.71",4.84,0.232,-0.604,0.668,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.71
1,"1.slow",1,"1.Travelling","10278","2016-08-16 16:11:42.75",4.9,0.272,-0.684,0.62,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.75
1,"1.slow",1,"1.Travelling","10279","2016-08-16 16:11:42.79",4.81,0.184,-0.66,0.652,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.79
1,"1.slow",1,"1.Travelling","10280","2016-08-16 16:11:42.83",4.87,0.308,-0.612,0.64,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.83
1,"1.slow",1,"1.Travelling","10281","2016-08-16 16:11:42.88",4.84,0.284,-0.604,0.612,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.88
1,"1.slow",1,"1.Travelling","10282","2016-08-16 16:11:42.92",4.87,0.26,-0.616,0.648,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.92
1,"1.slow",1,"1.Travelling","10283","2016-08-16 16:11:42.97",4.87,0.276,-0.596,0.7,"slow","Travelling","water","underwater","",2016-08-16 16:11:42.97
1,"1.slow",1,"1.Travelling","10284","2016-08-16 16:11:43.00",4.87,0.328,-0.604,0.684,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.00
1,"1.slow",1,"1.Travelling","10285","2016-08-16 16:11:43.04",4.87,0.308,-0.664,0.62,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.04
1,"1.slow",1,"1.Travelling","10286","2016-08-16 16:11:43.08",4.81,0.32,-0.648,0.632,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.08
1,"1.slow",1,"1.Travelling","10287","2016-08-16 16:11:43.13",4.84,0.268,-0.636,0.644,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.13
1,"1.slow",1,"1.Travelling","10288","2016-08-16 16:11:43.18",4.81,0.272,-0.604,0.7,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.18
1,"1.slow",1,"1.Travelling","10289","2016-08-16 16:11:43.22",4.81,0.248,-0.628,0.696,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.22
1,"1.slow",1,"1.Travelling","10290","2016-08-16 16:11:43.25",4.84,0.204,-0.628,0.716,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.25
1,"1.slow",1,"1.Travelling","10291","2016-08-16 16:11:43.29",4.81,0.224,-0.604,0.712,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.29
1,"1.slow",1,"1.Travelling","10292","2016-08-16 16:11:43.33",4.84,0.22,-0.644,0.708,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.33
1,"1.slow",1,"1.Travelling","10293","2016-08-16 16:11:43.39",4.84,0.228,-0.608,0.704,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.39
1,"1.slow",1,"1.Travelling","10294","2016-08-16 16:11:43.43",4.84,0.248,-0.612,0.708,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.43
1,"1.slow",1,"1.Travelling","10295","2016-08-16 16:11:43.47",4.81,0.224,-0.62,0.72,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.47
1,"1.slow",1,"1.Travelling","10296","2016-08-16 16:11:43.50",4.84,0.204,-0.616,0.716,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.50
1,"1.slow",1,"1.Travelling","10297","2016-08-16 16:11:43.54",4.81,0.2,-0.632,0.704,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.54
1,"1.slow",1,"1.Travelling","10298","2016-08-16 16:11:43.59",4.84,0.204,-0.62,0.696,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.59
1,"1.slow",1,"1.Travelling","10299","2016-08-16 16:11:43.64",4.84,0.204,-0.616,0.684,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.64
1,"1.slow",1,"1.Travelling","10300","2016-08-16 16:11:43.68",4.84,0.212,-0.648,0.704,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.68
1,"1.slow",1,"1.Travelling","10301","2016-08-16 16:11:43.72",4.84,0.18,-0.668,0.7,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.72
1,"1.slow",1,"1.Travelling","10302","2016-08-16 16:11:43.75",4.84,0.176,-0.732,0.564,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.75
1,"1.slow",1,"1.Travelling","10303","2016-08-16 16:11:43.80",4.81,0.26,-0.704,0.676,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.80
1,"1.slow",1,"1.Travelling","10304","2016-08-16 16:11:43.84",4.84,0.228,-0.644,0.684,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.84
1,"1.slow",1,"1.Travelling","10305","2016-08-16 16:11:43.89",4.81,0.22,-0.732,0.544,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.89
1,"1.slow",1,"1.Travelling","10306","2016-08-16 16:11:43.93",4.81,0.156,-0.792,0.528,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.93
1,"1.slow",1,"1.Travelling","10307","2016-08-16 16:11:43.97",4.78,0.192,-0.764,0.548,"slow","Travelling","water","underwater","",2016-08-16 16:11:43.97
1,"1.slow",1,"1.Travelling","10308","2016-08-16 16:11:44.01",4.78,0.2,-0.78,0.548,"slow","Travelling","water","underwater","",2016-08-16 16:11:44.01
1,"1.slow",1,"1.Travelling","10309","2016-08-16 16:11:44.05",4.78,0.16,-0.808,0.568,"slow","Travelling","water","underwater","",2016-08-16 16:11:44.05
