"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.swimming",1,"1.Travelling","00:00:00.04","2016-08-16 09:09:16.09",1.15,0.064,-0.452,0.932,"swimming","Travelling",NA,NA,"swimming",2016-08-16 09:09:16.09
1,"1.swimming",1,"1.Travelling","00:00:00.00","2016-08-16 09:09:16.14",1.18,0.076,-0.376,0.94,"swimming","Travelling",NA,NA,"",2016-08-16 09:09:16.14
1,"1.swimming",1,"1.Travelling","18729","2016-08-16 09:09:16.18",1.18,0.084,-0.336,0.952,"swimming","Travelling",NA,NA,"",2016-08-16 09:09:16.18
1,"1.swimming",1,"1.Travelling","18730","2016-08-16 09:09:16.23",1.18,0.12,-0.296,0.98,"swimming","Travelling",NA,NA,"",2016-08-16 09:09:16.23
1,"1.swimming",1,"1.Travelling","18731","2016-08-16 09:09:16.26",1.18,0.164,-0.28,0.996,"swimming","Travelling",NA,NA,"",2016-08-16 09:09:16.26
1,"1.swimming",1,"1.Travelling","18732","2016-08-16 09:09:16.30",1.15,0.208,-0.264,0.988,"swimming","Travelling",NA,NA,"",2016-08-16 09:09:16.30
1,"1.swimming",1,"1.Travelling","18733","2016-08-16 09:09:16.34",1.18,0.252,-0.232,0.976,"swimming","Travelling",NA,NA,"",2016-08-16 09:09:16.34
1,"1.swimming",1,"1.Travelling","18734","2016-08-16 09:09:16.39",1.15,0.304,-0.216,0.972,"swimming","Travelling",NA,NA,"",2016-08-16 09:09:16.39
1,"1.swimming",1,"1.Travelling","18735","2016-08-16 09:09:16.44",1.15,0.356,-0.184,0.964,"swimming","Travelling",NA,NA,"",2016-08-16 09:09:16.44
1,"1.swimming",1,"1.Travelling","18736","2016-08-16 09:09:16.48",1.15,0.4,-0.172,0.948,"swimming","Travelling",NA,NA,"",2016-08-16 09:09:16.48
1,"1.swimming",1,"1.Travelling","18737","2016-08-16 09:09:16.51",1.12,0.424,-0.156,0.932,"swimming","Travelling",NA,NA,"",2016-08-16 09:09:16.51
1,"1.swimming",1,"1.Travelling","18738","2016-08-16 09:09:16.55",1.12,0.456,-0.176,0.916,"swimming","Travelling",NA,NA,"",2016-08-16 09:09:16.55
1,"1.swimming",1,"1.Travelling","18739","2016-08-16 09:09:16.59",1.12,0.48,-0.176,0.9,"swimming","Travelling",NA,NA,"",2016-08-16 09:09:16.59
