"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.lying",1,"1.Resting","00:00:00.04","2016-08-16 14:01:08.48",0.5,0.328,-0.256,0.928,"lying","Resting","land","land","lying",2016-08-16 14:01:08.48
1,"1.lying",1,"1.Resting","00:00:00.00","2016-08-16 14:01:08.51",0.46,0.2,-0.14,0.964,"lying","Resting","land","land","",2016-08-16 14:01:08.51
1,"1.lying",1,"1.Resting","24879","2016-08-16 14:01:08.55",0.46,0.1,-0.088,0.964,"lying","Resting","land","land","",2016-08-16 14:01:08.55
1,"1.lying",1,"1.Resting","24880","2016-08-16 14:01:08.59",0.46,0.048,-0.068,0.96,"lying","Resting","land","land","",2016-08-16 14:01:08.59
1,"1.lying",1,"1.Resting","24881","2016-08-16 14:01:08.64",0.46,0.024,-0.068,0.96,"lying","Resting","land","land","",2016-08-16 14:01:08.64
1,"1.lying",1,"1.Resting","24882","2016-08-16 14:01:08.68",0.46,0.012,-0.056,0.96,"lying","Resting","land","land","",2016-08-16 14:01:08.68
1,"1.lying",1,"1.Resting","24883","2016-08-16 14:01:08.72",0.46,0.008,-0.04,0.964,"lying","Resting","land","land","",2016-08-16 14:01:08.72
1,"1.lying",1,"1.Resting","24884","2016-08-16 14:01:08.75",0.46,0,-0.052,0.956,"lying","Resting","land","land","",2016-08-16 14:01:08.75
1,"1.lying",1,"1.Resting","24885","2016-08-16 14:01:08.79",0.46,-0.004,-0.056,0.964,"lying","Resting","land","land","",2016-08-16 14:01:08.79
1,"1.lying",1,"1.Resting","24886","2016-08-16 14:01:08.83",0.46,-0.008,-0.048,0.96,"lying","Resting","land","land","",2016-08-16 14:01:08.83
1,"1.lying",1,"1.Resting","24887","2016-08-16 14:01:08.88",0.46,-0.024,-0.048,0.956,"lying","Resting","land","land","",2016-08-16 14:01:08.88
1,"1.lying",1,"1.Resting","24888","2016-08-16 14:01:08.92",0.46,-0.044,-0.044,0.96,"lying","Resting","land","land","",2016-08-16 14:01:08.92
