"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.lying",1,"1.Resting","00:00:00.04","2016-08-16 09:52:28.44",0.4,0.084,-0.008,0.94,"lying","Resting",NA,NA,"lying",2016-08-16 09:52:28.44
1,"1.lying",1,"1.Resting","00:00:00.00","2016-08-16 09:52:28.48",0.4,-0.52,0.172,1.488,"lying","Resting",NA,NA,"",2016-08-16 09:52:28.48
1,"1.lying",1,"1.Resting","65085","2016-08-16 09:52:28.51",0.4,-1.016,-0.048,1.324,"lying","Resting",NA,NA,"",2016-08-16 09:52:28.51
1,"1.lying",1,"1.Resting","65086","2016-08-16 09:52:28.56",0.37,-0.308,-0.268,1.024,"lying","Resting",NA,NA,"",2016-08-16 09:52:28.56
1,"1.lying",1,"1.Resting","65087","2016-08-16 09:52:28.60",0.4,-0.132,-0.096,0.884,"lying","Resting",NA,NA,"",2016-08-16 09:52:28.60
1,"1.lying",1,"1.Resting","65088","2016-08-16 09:52:28.65",0.4,0,-0.1,0.88,"lying","Resting",NA,NA,"",2016-08-16 09:52:28.65
1,"1.lying",1,"1.Resting","65089","2016-08-16 09:52:28.69",0.4,-0.04,-0.128,0.968,"lying","Resting",NA,NA,"",2016-08-16 09:52:28.69
1,"1.lying",1,"1.Resting","65090","2016-08-16 09:52:28.73",0.4,-0.152,-0.112,0.98,"lying","Resting",NA,NA,"",2016-08-16 09:52:28.73
1,"1.lying",1,"1.Resting","65091","2016-08-16 09:52:28.77",0.4,-0.2,-0.08,0.96,"lying","Resting",NA,NA,"",2016-08-16 09:52:28.77
1,"1.lying",1,"1.Resting","65092","2016-08-16 09:52:28.81",0.37,-0.172,-0.036,0.944,"lying","Resting",NA,NA,"",2016-08-16 09:52:28.81
1,"1.lying",1,"1.Resting","65093","2016-08-16 09:52:28.85",0.4,-0.144,-0.02,0.948,"lying","Resting",NA,NA,"",2016-08-16 09:52:28.85
1,"1.lying",1,"1.Resting","65094","2016-08-16 09:52:28.90",0.4,-0.14,0.004,0.96,"lying","Resting",NA,NA,"",2016-08-16 09:52:28.90
1,"1.lying",1,"1.Resting","65095","2016-08-16 09:52:28.94",0.4,-0.156,0.008,0.952,"lying","Resting",NA,NA,"",2016-08-16 09:52:28.94
1,"1.lying",1,"1.Resting","65096","2016-08-16 09:52:28.99",0.4,-0.176,-0.012,0.96,"lying","Resting",NA,NA,"",2016-08-16 09:52:28.99
1,"1.lying",1,"1.Resting","65097","2016-08-16 09:52:29.02",0.4,-0.2,-0.016,0.968,"lying","Resting",NA,NA,"",2016-08-16 09:52:29.02
1,"1.lying",1,"1.Resting","65098","2016-08-16 09:52:29.06",0.4,-0.192,-0.016,0.948,"lying","Resting",NA,NA,"",2016-08-16 09:52:29.06
1,"1.lying",1,"1.Resting","65099","2016-08-16 09:52:29.10",0.4,-0.18,-0.008,0.94,"lying","Resting",NA,NA,"",2016-08-16 09:52:29.10
1,"1.lying",1,"1.Resting","65100","2016-08-16 09:52:29.15",0.4,-0.184,-0.008,0.936,"lying","Resting",NA,NA,"",2016-08-16 09:52:29.15
1,"1.lying",1,"1.Resting","65101","2016-08-16 09:52:29.20",0.4,-0.204,0,0.932,"lying","Resting",NA,NA,"",2016-08-16 09:52:29.20
1,"1.lying",1,"1.Resting","65102","2016-08-16 09:52:29.24",0.4,-0.2,0,0.944,"lying","Resting",NA,NA,"",2016-08-16 09:52:29.24
1,"1.lying",1,"1.Resting","65103","2016-08-16 09:52:29.27",0.4,-0.216,-0.004,0.948,"lying","Resting",NA,NA,"",2016-08-16 09:52:29.27
1,"1.lying",1,"1.Resting","65104","2016-08-16 09:52:29.31",0.4,-0.228,-0.044,0.98,"lying","Resting",NA,NA,"",2016-08-16 09:52:29.31
1,"1.lying",1,"1.Resting","65105","2016-08-16 09:52:29.35",0.4,-0.232,-0.056,0.952,"lying","Resting",NA,NA,"",2016-08-16 09:52:29.35
1,"1.lying",1,"1.Resting","65106","2016-08-16 09:52:29.41",0.4,-0.212,-0.024,0.936,"lying","Resting",NA,NA,"",2016-08-16 09:52:29.41
1,"1.lying",1,"1.Resting","65107","2016-08-16 09:52:29.45",0.4,-0.176,-0.02,0.94,"lying","Resting",NA,NA,"",2016-08-16 09:52:29.45
1,"1.lying",1,"1.Resting","65108","2016-08-16 09:52:29.49",0.4,-0.136,-0.004,0.968,"lying","Resting",NA,NA,"",2016-08-16 09:52:29.49
1,"1.lying",1,"1.Resting","65109","2016-08-16 09:52:29.52",0.4,-0.096,0,0.96,"lying","Resting",NA,NA,"",2016-08-16 09:52:29.52
1,"1.other",2,"2.Other","65110","2016-08-16 09:52:29.56",0.4,-0.144,0.04,0.996,"other","Other",NA,NA,"other",2016-08-16 09:52:29.56
1,"1.other",2,"2.Other","65111","2016-08-16 09:52:29.61",0.4,-0.212,0.02,1.02,"other","Other",NA,NA,"",2016-08-16 09:52:29.61
1,"1.other",2,"2.Other","65112","2016-08-16 09:52:29.66",0.4,-0.232,-0.06,0.956,"other","Other",NA,NA,"",2016-08-16 09:52:29.66
1,"1.other",2,"2.Other","65113","2016-08-16 09:52:29.70",0.4,-0.204,-0.036,0.904,"other","Other",NA,NA,"",2016-08-16 09:52:29.70
1,"1.other",2,"2.Other","65114","2016-08-16 09:52:29.74",0.4,-0.16,-0.032,1.028,"other","Other",NA,NA,"",2016-08-16 09:52:29.74
1,"1.other",2,"2.Other","65115","2016-08-16 09:52:29.77",0.4,-0.072,0.008,1.064,"other","Other",NA,NA,"",2016-08-16 09:52:29.77
1,"1.other",2,"2.Other","65116","2016-08-16 09:52:29.82",0.4,-0.004,-0.048,1.016,"other","Other",NA,NA,"",2016-08-16 09:52:29.82
1,"1.other",2,"2.Other","65117","2016-08-16 09:52:29.86",0.4,0.064,-0.108,1,"other","Other",NA,NA,"",2016-08-16 09:52:29.86
1,"1.other",2,"2.Other","65118","2016-08-16 09:52:29.91",0.4,0.208,-0.1,0.936,"other","Other",NA,NA,"",2016-08-16 09:52:29.91
1,"1.other",2,"2.Other","65119","2016-08-16 09:52:29.95",0.4,0.324,-0.06,0.852,"other","Other",NA,NA,"",2016-08-16 09:52:29.95
1,"1.other",2,"2.Other","65120","2016-08-16 09:52:29.99",0.4,0.388,-0.152,0.808,"other","Other",NA,NA,"",2016-08-16 09:52:29.99
1,"1.other",2,"2.Other","65121","2016-08-16 09:52:30.03",0.4,0.524,-0.124,0.852,"other","Other",NA,NA,"",2016-08-16 09:52:30.03
1,"1.other",2,"2.Other","65122","2016-08-16 09:52:30.07",0.4,0.512,-0.08,0.76,"other","Other",NA,NA,"",2016-08-16 09:52:30.07
1,"1.other",2,"2.Other","65123","2016-08-16 09:52:30.11",0.4,0.612,-0.092,0.776,"other","Other",NA,NA,"",2016-08-16 09:52:30.11
1,"1.other",2,"2.Other","65124","2016-08-16 09:52:30.16",0.4,0.628,-0.14,0.74,"other","Other",NA,NA,"",2016-08-16 09:52:30.16
1,"1.other",2,"2.Other","65125","2016-08-16 09:52:30.20",0.4,0.672,-0.244,0.688,"other","Other",NA,NA,"",2016-08-16 09:52:30.20
1,"1.other",2,"2.Other","65126","2016-08-16 09:52:30.25",0.4,0.688,-0.328,0.712,"other","Other",NA,NA,"",2016-08-16 09:52:30.25
1,"1.other",2,"2.Other","65127","2016-08-16 09:52:30.28",0.4,0.716,-0.4,0.584,"other","Other",NA,NA,"",2016-08-16 09:52:30.28
1,"1.other",2,"2.Other","65128","2016-08-16 09:52:30.32",0.4,0.844,0.1,0.64,"other","Other",NA,NA,"",2016-08-16 09:52:30.32
1,"1.other",2,"2.Other","65129","2016-08-16 09:52:30.36",0.4,0.748,0.136,0.712,"other","Other",NA,NA,"",2016-08-16 09:52:30.36
1,"1.other",2,"2.Other","65130","2016-08-16 09:52:30.41",0.4,0.664,0.196,0.568,"other","Other",NA,NA,"",2016-08-16 09:52:30.41
1,"1.other",2,"2.Other","65131","2016-08-16 09:52:30.46",0.4,0.656,0.144,0.524,"other","Other",NA,NA,"",2016-08-16 09:52:30.46
1,"1.other",2,"2.Other","65132","2016-08-16 09:52:30.50",0.4,0.704,0.06,0.676,"other","Other",NA,NA,"",2016-08-16 09:52:30.50
1,"1.other",2,"2.Other","65133","2016-08-16 09:52:30.53",0.4,0.76,-0.092,0.692,"other","Other",NA,NA,"",2016-08-16 09:52:30.53
1,"1.other",2,"2.Other","65134","2016-08-16 09:52:30.57",0.4,0.696,0.056,0.712,"other","Other",NA,NA,"",2016-08-16 09:52:30.57
1,"1.other",2,"2.Other","65135","2016-08-16 09:52:30.61",0.4,0.7,0.024,0.732,"other","Other",NA,NA,"",2016-08-16 09:52:30.61
