"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.sitting",1,"1.Resting","00:00:00.04","2016-08-16 16:21:28.70",1.34,0.88,-0.26,0.428,"sitting","Resting","land","land","sitting",2016-08-16 16:21:28.70
1,"1.sitting",1,"1.Resting","00:00:00.00","2016-08-16 16:21:28.74",1.34,0.892,-0.264,0.46,"sitting","Resting","land","land","",2016-08-16 16:21:28.74
1,"1.sitting",1,"1.Resting","7888","2016-08-16 16:21:28.77",1.34,0.884,-0.236,0.46,"sitting","Resting","land","land","",2016-08-16 16:21:28.77
1,"1.sitting",1,"1.Resting","7889","2016-08-16 16:21:28.82",1.34,0.852,-0.284,0.472,"sitting","Resting","land","land","",2016-08-16 16:21:28.82
1,"1.sitting",1,"1.Resting","7890","2016-08-16 16:21:28.86",1.34,0.796,-0.292,0.468,"sitting","Resting","land","land","",2016-08-16 16:21:28.86
1,"1.sitting",1,"1.Resting","7891","2016-08-16 16:21:28.91",1.34,0.744,-0.304,0.472,"sitting","Resting","land","land","",2016-08-16 16:21:28.91
1,"1.sitting",1,"1.Resting","7892","2016-08-16 16:21:28.95",1.34,0.724,-0.316,0.444,"sitting","Resting","land","land","",2016-08-16 16:21:28.95
1,"1.sitting",1,"1.Resting","7893","2016-08-16 16:21:28.99",1.34,0.764,-0.316,0.452,"sitting","Resting","land","land","",2016-08-16 16:21:28.99
1,"1.sitting",1,"1.Resting","7894","2016-08-16 16:21:29.03",1.34,0.772,-0.32,0.444,"sitting","Resting","land","land","",2016-08-16 16:21:29.03
1,"1.sitting",1,"1.Resting","7895","2016-08-16 16:21:29.07",1.34,0.76,-0.316,0.46,"sitting","Resting","land","land","",2016-08-16 16:21:29.07
1,"1.sitting",1,"1.Resting","7896","2016-08-16 16:21:29.11",1.34,0.776,-0.308,0.512,"sitting","Resting","land","land","",2016-08-16 16:21:29.11
1,"1.sitting",1,"1.Resting","7897","2016-08-16 16:21:29.16",1.34,0.78,-0.276,0.536,"sitting","Resting","land","land","",2016-08-16 16:21:29.16
1,"1.sitting",1,"1.Resting","7898","2016-08-16 16:21:29.20",1.34,0.8,-0.228,0.524,"sitting","Resting","land","land","",2016-08-16 16:21:29.20
1,"1.sitting",1,"1.Resting","7899","2016-08-16 16:21:29.25",1.34,0.82,-0.192,0.488,"sitting","Resting","land","land","",2016-08-16 16:21:29.25
1,"1.sitting",1,"1.Resting","7900","2016-08-16 16:21:29.28",1.34,0.832,-0.14,0.476,"sitting","Resting","land","land","",2016-08-16 16:21:29.28
1,"1.sitting",1,"1.Resting","7901","2016-08-16 16:21:29.32",1.34,0.856,-0.024,0.448,"sitting","Resting","land","land","",2016-08-16 16:21:29.32
1,"1.sitting",1,"1.Resting","7902","2016-08-16 16:21:29.36",1.34,0.8,0.028,0.556,"sitting","Resting","land","land","",2016-08-16 16:21:29.36
1,"1.sitting",1,"1.Resting","7903","2016-08-16 16:21:29.41",1.34,0.84,0.008,0.496,"sitting","Resting","land","land","",2016-08-16 16:21:29.41
1,"1.sitting",1,"1.Resting","7904","2016-08-16 16:21:29.46",1.34,0.884,0.032,0.46,"sitting","Resting","land","land","",2016-08-16 16:21:29.46
1,"1.sitting",1,"1.Resting","7905","2016-08-16 16:21:29.50",1.34,0.92,0.056,0.448,"sitting","Resting","land","land","",2016-08-16 16:21:29.50
1,"1.sitting",1,"1.Resting","7906","2016-08-16 16:21:29.53",1.34,0.952,0.008,0.452,"sitting","Resting","land","land","",2016-08-16 16:21:29.53
1,"1.sitting",1,"1.Resting","7907","2016-08-16 16:21:29.57",1.34,0.896,-0.072,0.464,"sitting","Resting","land","land","",2016-08-16 16:21:29.57
1,"1.sitting",1,"1.Resting","7908","2016-08-16 16:21:29.61",1.34,0.868,-0.12,0.5,"sitting","Resting","land","land","",2016-08-16 16:21:29.61
1,"1.sitting",1,"1.Resting","7909","2016-08-16 16:21:29.67",1.34,0.844,-0.16,0.476,"sitting","Resting","land","land","",2016-08-16 16:21:29.67
1,"1.sitting",1,"1.Resting","7910","2016-08-16 16:21:29.71",1.34,0.832,-0.176,0.48,"sitting","Resting","land","land","",2016-08-16 16:21:29.71
1,"1.sitting",1,"1.Resting","7911","2016-08-16 16:21:29.75",1.34,0.816,-0.2,0.492,"sitting","Resting","land","land","",2016-08-16 16:21:29.75
1,"1.sitting",1,"1.Resting","7912","2016-08-16 16:21:29.78",1.34,0.8,-0.204,0.484,"sitting","Resting","land","land","",2016-08-16 16:21:29.78
1,"1.sitting",1,"1.Resting","7913","2016-08-16 16:21:29.82",1.34,0.8,-0.216,0.488,"sitting","Resting","land","land","",2016-08-16 16:21:29.82
1,"1.sitting",1,"1.Resting","7914","2016-08-16 16:21:29.88",1.34,0.804,-0.212,0.496,"sitting","Resting","land","land","",2016-08-16 16:21:29.88
1,"1.sitting",1,"1.Resting","7915","2016-08-16 16:21:29.92",1.34,0.792,-0.212,0.508,"sitting","Resting","land","land","",2016-08-16 16:21:29.92
1,"1.sitting",1,"1.Resting","7916","2016-08-16 16:21:29.96",1.34,0.772,-0.212,0.524,"sitting","Resting","land","land","",2016-08-16 16:21:29.96
1,"1.sitting",1,"1.Resting","7917","2016-08-16 16:21:30.00",1.34,0.764,-0.216,0.532,"sitting","Resting","land","land","",2016-08-16 16:21:30.00
1,"1.sitting",1,"1.Resting","7918","2016-08-16 16:21:30.03",1.34,0.768,-0.228,0.54,"sitting","Resting","land","land","",2016-08-16 16:21:30.03
1,"1.sitting",1,"1.Resting","7919","2016-08-16 16:21:30.08",1.34,0.764,-0.24,0.544,"sitting","Resting","land","land","",2016-08-16 16:21:30.08
1,"1.sitting",1,"1.Resting","7920","2016-08-16 16:21:30.13",1.34,0.768,-0.24,0.532,"sitting","Resting","land","land","",2016-08-16 16:21:30.13
1,"1.sitting",1,"1.Resting","7921","2016-08-16 16:21:30.17",1.34,0.78,-0.232,0.536,"sitting","Resting","land","land","",2016-08-16 16:21:30.17
1,"1.sitting",1,"1.Resting","7922","2016-08-16 16:21:30.21",1.34,0.776,-0.232,0.532,"sitting","Resting","land","land","",2016-08-16 16:21:30.21
1,"1.sitting",1,"1.Resting","7923","2016-08-16 16:21:30.25",1.34,0.768,-0.236,0.516,"sitting","Resting","land","land","",2016-08-16 16:21:30.25
1,"1.sitting",1,"1.Resting","7924","2016-08-16 16:21:30.29",1.34,0.76,-0.24,0.512,"sitting","Resting","land","land","",2016-08-16 16:21:30.29
